用户名,会员,星级,评论,类型1,评论时间1,评论时间2,类型2,评论时间3,评论时间4
****y,,"<div class=""comment-star star1""></div>",三盒一点用都没有wc血亏,美白黑炭面膜10片,2018-03-25 09:48,,,,
韩***帅,PLUS会员,"<div class=""comment-star star1""></div>",不好就是不好不行就是不行,美白黑炭面膜10片,2017-08-17 13:42,,,,
m***n,PLUS会员,"<div class=""comment-star star1""></div>",用不了618那张货到付款的优，惠，券，不开心,美白黑炭面膜10片,2017-06-23 15:13,,,,
u***8,,"<div class=""comment-star star1""></div>",包装简陋，就是一个塑料袋……,美白黑炭面膜10片,2018-09-17 12:11,,,,
****_,,"<div class=""comment-star star1""></div>",只能说不值这价钱，比较油腻,美白黑炭面膜10片,2018-07-30 22:40,,,,
****a,,"<div class=""comment-star star1""></div>",不是正品。用了脸发红，长痘,【焕白因子】美白保湿黑面膜,,,,,2019-11-21 20:25
容***_,,"<div class=""comment-star star1""></div>",用了脸上痒，不知道是不是假货,美白黑炭面膜,,,,,2019-08-20 12:02
****u,PLUS会员,"<div class=""comment-star star1""></div>",满减的就不能信，没有什么精华,美白黑炭面膜10片,2017-09-25 15:30,,,,
月***花,,"<div class=""comment-star star1""></div>",还没开始用，包装简陋，，挤压的盒子都裂了,美白黑炭面膜10片,2017-11-14 21:08,,,,
x***2,,"<div class=""comment-star star1""></div>",送来的都全部爆开的，其中一盒里少了2片,美白黑炭面膜10片,2018-06-19 10:04,,,,
I***W,,"<div class=""comment-star star1""></div>",感觉用了几天根本没什么效果,美白黑炭面膜10片,,,,,
****a,,"<div class=""comment-star star1""></div>",敷完油腻，以前店铺买的都不是的,美白黑炭面膜10片,2018-06-15 21:54,,,,
****q,,"<div class=""comment-star star1""></div>",这个辣椒产品用一点用也没有,美白黑炭面膜10片,2017-10-08 11:45,,,,
****8,PLUS会员,"<div class=""comment-star star1""></div>",还没有发货就降价，还不退差价，差差差,美白黑炭面膜,,,,,2019-07-05 17:36
****e,,"<div class=""comment-star star1""></div>",一般般，用了半年感觉没啥效果,美白黑炭面膜10片,2018-05-21 15:30,,,,
****p,,"<div class=""comment-star star1""></div>",其它都挺好的，就是没什么效果！,美白黑炭面膜10片,2018-06-18 15:14,,,,
****0,PLUS会员,"<div class=""comment-star star1""></div>",不知道是不是正品，包装全是被拆过的！,,,2018-07-14 09:16,美白黑炭面膜10片,,
****0,,"<div class=""comment-star star1""></div>",包装破损，并且问客服都没人回复,【焕白因子】美白保湿黑面膜,,,,,2020-03-14 16:04
****v,,"<div class=""comment-star star1""></div>",不好，没我胶原蛋白的那款好用,美白黑炭面膜,,,,,2019-03-18 19:27
u***w,,"<div class=""comment-star star1""></div>",还没用，用完之后在评价,美白黑炭面膜10片,2018-06-21 12:36,,,,
****7,,"<div class=""comment-star star1""></div>",买完就打折然后客服联系不上供应商不管,,,2018-05-13 16:40,美白黑炭面膜10片,,
u***j,PLUS会员,"<div class=""comment-star star1""></div>",用了刺激性刺激较大个人觉得。,美白黑炭面膜10片,2018-01-04 22:22,,,,
u***f,,"<div class=""comment-star star1""></div>",和韩国买的不一样，假的。,美白黑炭面膜10片,2017-09-04 09:54,,,,
高***5,,"<div class=""comment-star star1""></div>",包装捡漏，面膜盒都坏了。,,,2020-06-18 20:09,【补水提亮】美白保湿黑面膜,,
胖***基,,"<div class=""comment-star star1""></div>",两盒都没有密封，和中间的比较下,,,,美白黑炭面膜,2019-06-10 00:02,
c***1,PLUS会员,"<div class=""comment-star star1""></div>",商品还不错，下次再来买！,美白黑炭面膜10片,2017-04-29 17:42,,,,
u***z,,"<div class=""comment-star star1""></div>",就这包装真是不敢恭维,,,,美白黑炭面膜,2019-06-13 20:09,
****r,,"<div class=""comment-star star1""></div>",里面面膜的盒子都开了,美白黑炭面膜,,,,,2019-07-18 20:32
****v,,"<div class=""comment-star star1""></div>",拿到手每个包装都破了,【焕白因子】美白保湿黑面膜,,,,,2019-11-23 16:05
****6,,"<div class=""comment-star star1""></div>",破烂包装，买不起箱子吗？,,,2018-07-28 09:38,美白黑炭面膜10片,,
d***z,PLUS会员,"<div class=""comment-star star1""></div>",这是什么鬼？收到就这样了,,,2017-09-06 21:31,美白黑炭面膜10片,,
****r,,"<div class=""comment-star star1""></div>",包装简陋，脏兮兮的感觉像好久的压箱底货了,美白黑炭面膜,,,,,2019-03-07 11:39
u***e,,"<div class=""comment-star star1""></div>",怎么做完油油的，是正品吗？,美白黑炭面膜10片,2017-11-06 20:42,,,,
****x,,"<div class=""comment-star star1""></div>",用其他东西的快递盒装的怀疑不是正品,美白黑炭面膜,,,,,2019-05-17 13:20
安***o,PLUS会员,"<div class=""comment-star star1""></div>",和我在韩国买的不一样，这个薄很多,透亮黑炭面膜10片,2016-10-31 16:23,,,,
****j,,"<div class=""comment-star star1""></div>",扫码扫不出不知道为啥,【焕白因子】美白保湿黑面膜,,,,,2019-11-13 13:35
u***2,,"<div class=""comment-star star1""></div>",包装简陋，二维码扫不出来，有破损,美白黑炭面膜10片,2017-09-15 12:54,,,,
D***-,,"<div class=""comment-star star1""></div>",快递被别人领走了找不到,美白黑炭面膜10片,2017-08-11 00:16,,,,
C***净,PLUS会员,"<div class=""comment-star star1""></div>",盒子没有是被人开封过的，,【补水提亮】美白保湿黑面膜,2020-10-31 13:41,,,,
****N,,"<div class=""comment-star star1""></div>",全部没有透明膜包装。失望。,美白黑炭面膜10片,2018-03-12 15:15,,,,
请***宝,,"<div class=""comment-star star1""></div>",这个东西用了几天感觉脸不舒服,美白黑炭面膜10片,2018-10-12 01:22,,,,
雷***雯,,"<div class=""comment-star star1""></div>",水挺多的，效果不是很好。,美白黑炭面膜10片,2017-07-15 06:38,,,,
****9,,"<div class=""comment-star star1""></div>",假类假类包装忒次贴了脸就痒,美白黑炭面膜10片,2018-02-05 12:13,,,,
3***岁,,"<div class=""comment-star star1""></div>",假的果然是便宜没好货,美白黑炭面膜10片,2017-11-22 08:03,,,,
u***v,,"<div class=""comment-star star1""></div>",不怎么样，感觉像假的，面膜竟是碎片,美白黑炭面膜10片,2017-07-30 12:47,,,,
****c,,"<div class=""comment-star star1""></div>",这味道有点重呀。我只想说：呵呵。。,美白黑炭面膜10片,2018-05-16 23:18,,,,
千***梦,PLUS会员,"<div class=""comment-star star1""></div>",用了脸痒，眼睛完全肿了。,美白黑炭面膜,,,,,2019-03-30 17:16
A***1,,"<div class=""comment-star star1""></div>",昨天买活动是满*今天就成满*了；无故又买贵*钱,透亮黑炭面膜10片,2016-10-17 13:01,,,,
于***妍,,"<div class=""comment-star star1""></div>",刚买完就降价了没什么说的,【焕白因子】美白保湿黑面膜,,,,,2020-04-24 22:29
X***9,PLUS会员,"<div class=""comment-star star1""></div>",用着不怎么样，没什么效果,美白黑炭面膜10片,2017-11-18 10:11,,,,
a***妈,,"<div class=""comment-star star1""></div>",不知道好用吧。试试在说吧,美白黑炭面膜10片,2017-11-23 13:42,,,,
d***c,PLUS会员,"<div class=""comment-star star1""></div>",这个包装也是醉醉的，拿到全都成这样了…,,,,美白黑炭面膜,2019-06-05 12:10,
****e,,"<div class=""comment-star star1""></div>",这一星给快递吧！快递不错！,,,2017-06-12 22:59,美白黑炭面膜10片,,
u***p,,"<div class=""comment-star star1""></div>",没有密封条，感觉被拆过的,美白黑炭面膜,,,,,2019-07-09 22:12
u***t,PLUS会员,"<div class=""comment-star star1""></div>",这次送来的和商品图案不一致,透亮黑炭面膜10片,2016-11-13 20:26,,,,
n***e,,"<div class=""comment-star star1""></div>",产品好用就是快递员服务太差,透亮黑炭面膜10片,2016-11-15 10:53,,,,
若***8,,"<div class=""comment-star star1""></div>",缺货不给补，联系客服不给处理,【补水提亮】美白保湿黑面膜,2020-07-07 23:11,,,,
****e,,"<div class=""comment-star star1""></div>",刚买完你们就打折，不服,美白黑炭面膜10片,2017-06-01 20:03,,,,
事***厌,,"<div class=""comment-star star1""></div>",盒子压扁了，我这怎么送人啊，***,透亮黑炭面膜10片,2016-11-19 13:45,,,,
****4,,"<div class=""comment-star star1""></div>",快递拿来连个盒子都没有，被挤压的变形！,,,,【焕白因子】美白保湿黑面膜,2020-05-29 19:34,
****i,,"<div class=""comment-star star1""></div>",感觉像假的，跟以前用的不一样,【补水提亮】美白保湿黑面膜,2020-06-15 22:11,,,,
F***6,,"<div class=""comment-star star1""></div>",不知道是韩国的，下次肯定不买了?,美白黑炭面膜10片,,,,,
****j,,"<div class=""comment-star star1""></div>",假的，扫码扫不出来用了脸上过敏,美白黑炭面膜10片,2017-07-25 22:13,,,,
l***7,PLUS会员,"<div class=""comment-star star1""></div>",包装压坏了，里面东西这个样子，看了不放心,,,,美白黑炭面膜,2019-08-24 04:36,
****z,PLUS会员,"<div class=""comment-star star1""></div>",没什么效果。个人用后感觉。,美白黑炭面膜10片,2017-12-04 20:16,,,,
大***2,,"<div class=""comment-star star1""></div>",不是正品，和我在韩国买的不一样*,透亮黑炭面膜10片,2016-10-30 13:10,,,,
小***寬,,"<div class=""comment-star star1""></div>",还是不错的，就是太贵了,透亮黑炭面膜10片,2016-11-13 15:50,,,,
****2,,"<div class=""comment-star star1""></div>",包装是开着的就算了，满满的荧光粉,美白黑炭面膜10片,,,,,
m***j,PLUS会员,"<div class=""comment-star star1""></div>",包装是拆开的，盒子也坏了，不知道是不是真的,美白黑炭面膜10片,2018-06-22 09:43,,,,
格***1,,"<div class=""comment-star star1""></div>",韩国面膜以后不在使用,美白黑炭面膜10片,,,,,
****0,,"<div class=""comment-star star1""></div>",不好没有上面说的效果,美白黑炭面膜10片,2017-06-18 09:19,,,,
晋***兵,,"<div class=""comment-star star1""></div>",一般啊噢，我是下一次不会购买的。,透亮黑炭面膜10片,2016-12-10 21:28,,,,
****9,PLUS会员,"<div class=""comment-star star1""></div>",才买几天就降价，还不肯退差价,【补水提亮】美白保湿黑面膜,2020-11-02 21:24,,,,
落***雨,PLUS会员,"<div class=""comment-star star1""></div>",同一天买了两盒，相差了*，没有差价保护，不能退货。,,,2017-09-03 14:23,美白黑炭面膜10片,,
****d,,"<div class=""comment-star star1""></div>",还行吧，没有明显的效果,美白黑炭面膜10片,2017-05-02 20:09,,,,
B***雄,PLUS会员,"<div class=""comment-star star1""></div>",用的效果，不是特别明显吧,,,,美白黑炭面膜,2019-06-24 17:43,
陳***-,,"<div class=""comment-star star1""></div>",用起来很一般，没效果，白浪费,,,2017-06-07 00:48,美白黑炭面膜10片,,
****d,PLUS会员,"<div class=""comment-star star1""></div>",不是正品和上次购买的明显有区别,美白黑炭面膜10片,2018-04-29 22:15,,,,
v***P,PLUS会员,"<div class=""comment-star star1""></div>",不知道是不是假的；用在脸上刺刺的疼,美白黑炭面膜,,,,,2019-03-01 11:41
u***k,,"<div class=""comment-star star1""></div>",用着过敏，送人了。体验不好！,美白黑炭面膜10片,2017-10-24 13:12,,,,
夏***你,,"<div class=""comment-star star1""></div>",包装都压坏了，看上去比较假货一样,美白黑炭面膜10片,2018-08-21 22:21,,,,
****财,PLUS会员,"<div class=""comment-star star1""></div>",感觉有点化学品的味道，,美白黑炭面膜10片,2017-06-06 21:34,,,,
****条,,"<div class=""comment-star star1""></div>",好像没什么用，有点辣辣的,美白黑炭面膜10片,2017-05-08 08:36,,,,
****k,,"<div class=""comment-star star1""></div>",盒子被拆开过估计是@的重新装的,美白黑炭面膜10片,2018-09-07 21:46,,,,
x***0,PLUS会员,"<div class=""comment-star star1""></div>",换货回来还是拆封过的，618做活动也不至于这样吧！,美白黑炭面膜,,,,,2019-06-20 09:06
****j,,"<div class=""comment-star star1""></div>",用了一片拿出来面膜纸干干的假货,美白黑炭面膜10片,,,,,
****1,,"<div class=""comment-star star1""></div>",包装都是开的，像假的一样，而且是每一盒。,【焕白因子】美白保湿黑面膜,,,,,2020-02-05 12:28
1***p,,"<div class=""comment-star star1""></div>",就这个包装啊我说你能不能弄个盒子。都烂了……,,,2018-07-14 19:37,美白黑炭面膜10片,,
名***了,,"<div class=""comment-star star1""></div>",敷上去啥感觉都没有，0分,,,2017-06-07 20:50,美白黑炭面膜10片,,
萍***卫,PLUS会员,"<div class=""comment-star star1""></div>",面膜里面居然有头发，不愧是大品牌。,美白黑炭面膜10片,2017-11-16 21:05,,,,
****p,,"<div class=""comment-star star1""></div>",包装都坏了，就用一个破袋子装的，盒子都坏了,美白黑炭面膜,,,,,2018-11-23 15:19
壹***雲,PLUS会员,"<div class=""comment-star star1""></div>",补水效果很好，已多次购买。包装损坏,,,2018-03-15 14:29,美白黑炭面膜10片,,
雨***y,PLUS会员,"<div class=""comment-star star1""></div>",包装这个样子，我没拆，而且外包装就一个塑料袋,,,2018-04-02 17:46,美白黑炭面膜10片,,
****1,PLUS会员,"<div class=""comment-star star1""></div>",刚买完就降价，赔我金豆！,,,2016-08-24 22:15,透亮黑炭面膜10片,,
s***2,,"<div class=""comment-star star1""></div>",差劲，面膜的包装盒是拆开的，还是旧的,美白黑炭面膜,,,,,2019-07-31 14:40
陳***-,,"<div class=""comment-star star1""></div>",用了一段时间，没有什么感觉,,,2017-09-11 15:17,美白黑炭面膜10片,,
D***2,PLUS会员,"<div class=""comment-star star1""></div>",买完就降价了还将了好多下次不买了,美白黑炭面膜10片,,,,,
b***g,PLUS会员,"<div class=""comment-star star1""></div>",用了以后过敏，化妆品类的东西谨慎选择。,美白黑炭面膜10片,2016-12-27 10:59,,,,
****y,,"<div class=""comment-star star1""></div>",发错了那个贵的少发了2盒换了便宜的,透亮黑炭面膜10片,2016-12-15 20:40,,,,
尚***言,,"<div class=""comment-star star1""></div>",同时买的两盒这一盒少一片只有9片是什么意思？？？？？,美白黑炭面膜10片,2018-06-11 19:44,,,,
r***0,,"<div class=""comment-star star1""></div>",买了第二天就搞促销不高兴,美白黑炭面膜10片,2017-06-02 14:26,,,,
小***库,,"<div class=""comment-star star1""></div>",敷起来感觉一般，效果也不明显,美白黑炭面膜10片,2018-04-03 12:20,,,,
****n,,"<div class=""comment-star star1""></div>",女朋友说有怪味道，闻了想吐,透亮黑炭面膜10片,2016-10-25 08:35,,,,
8***喝,,"<div class=""comment-star star1""></div>",收到包装是拆开的，而且条形码不一样,,,,美白黑炭面膜,2019-07-08 18:30,
u***5,,"<div class=""comment-star star1""></div>",盒子都打开的，每个盒子里少了三张，一共六盒少了18片,美白黑炭面膜10片,2017-11-01 10:48,,,,
A***i,PLUS会员,"<div class=""comment-star star1""></div>",第一次在京东碰到这样的包装，封条都开的，套装勿拆,,,2018-07-20 16:43,美白黑炭面膜10片,,
符***芳,PLUS会员,"<div class=""comment-star star1""></div>",一般般，没什么感觉。不过又不知道买什么。,美白黑炭面膜,,,,,2019-01-12 13:22
江***9,,"<div class=""comment-star star1""></div>",没一点效果好像也不便宜,【补水提亮】美白保湿黑面膜,2020-11-26 16:56,,,,
u***i,,"<div class=""comment-star star1""></div>",拆封过的真不敢用了怀疑会不会有问题,,,2017-08-07 11:24,美白黑炭面膜10片,,
H***f,PLUS会员,"<div class=""comment-star star1""></div>",一直用的，以后再也不用了。,美白黑炭面膜10片,,,,,
u***g,PLUS会员,"<div class=""comment-star star1""></div>",买的时候是128一盒，第二天就199三盒有种想退货的感觉,美白黑炭面膜,,,,,2019-04-08 18:59
萧***5,PLUS会员,"<div class=""comment-star star1""></div>",不知道是不是假的，包装不一样,透亮黑炭面膜10片,2016-11-12 10:42,,,,
u***b,,"<div class=""comment-star star1""></div>",没用之前还好用完脸上就起一片小豆豆,透亮黑炭面膜10片,2016-08-16 11:42,,,,
****x,,"<div class=""comment-star star1""></div>",这次买的假货，乳液跟水一样,【补水提亮】美白保湿黑面膜,2020-11-25 00:48,,,,
d***2,,"<div class=""comment-star star1""></div>",貌似不是真的，面膜相对比较小,美白黑炭面膜10片,2017-06-03 08:22,,,,
清***了,PLUS会员,"<div class=""comment-star star1""></div>",这包装盒都破了。盒上都是油腻的粘液。,,,2018-09-03 17:54,美白黑炭面膜10片,,
正***浪,PLUS会员,"<div class=""comment-star star1""></div>",先不说东西好坏就这包装就能看出来到底是什么货色,,,2018-05-14 18:02,美白黑炭面膜10片,,
S***n,,"<div class=""comment-star star1""></div>",逼我写好洋，有没有更过分的？！,透亮黑炭面膜10片,2016-08-28 08:41,,,,
****c,,"<div class=""comment-star star1""></div>",东西差的不能再差了发货也慢买了之后半个月不发货,美白黑炭面膜,,,,,2019-08-11 10:55
****f,,"<div class=""comment-star star1""></div>",面膜一盒少了2贴，买了两盒少了4贴,【焕白因子】美白保湿黑面膜,,,,,2020-02-03 17:42
x***0,,"<div class=""comment-star star1""></div>",面膜小了额头和两边脸贴不到,美白黑炭面膜10片,,,,,
****u,,"<div class=""comment-star star1""></div>",差真的差面膜小精华液少包装粗糙自营都这么假了？？？,美白黑炭面膜10片,2017-12-24 07:35,,,,
冯***栋,PLUS会员,"<div class=""comment-star star1""></div>",包装不一样-_-||拂过之后感觉怪怪的。,美白黑炭面膜,,,,,2019-10-03 10:30
u***g,,"<div class=""comment-star star1""></div>",这什么玩意啊拆开包装就这样?,,,2017-05-12 14:31,美白黑炭面膜10片,,
米***3,,"<div class=""comment-star star1""></div>",盒子脏脏的而且都是打开的盒子就送过来了，大写的服。,美白黑炭面膜10片,2017-08-23 10:23,,,,
无***p,PLUS会员,"<div class=""comment-star star1""></div>",打开后内盒没封，直接掉出来了,美白黑炭面膜,,,,,2019-06-03 19:50
4***2,PLUS会员,"<div class=""comment-star star1""></div>",用完脸上长痘，也没有美白的效果,美白黑炭面膜10片,2018-05-04 09:26,,,,
****e,,"<div class=""comment-star star1""></div>",一点用都没有，敷完还粘糊粘糊的,美白黑炭面膜10片,2018-06-23 04:01,,,,
深***士,,"<div class=""comment-star star1""></div>",没有一点效果假的不要上当,美白黑炭面膜10片,2017-04-27 20:45,,,,
哇***啊,,"<div class=""comment-star star1""></div>",像是拆过的，，精华液不多，便宜还是没好货,美白黑炭面膜,,,,,2019-07-05 10:11
w***p,PLUS会员,"<div class=""comment-star star1""></div>",四盒有两盒被拆开过，尴尬，不管真假，包装让人感觉不好?,【焕白因子】美白保湿黑炭面膜,,,,,2019-11-02 09:29
自***姐,PLUS会员,"<div class=""comment-star star1""></div>",用着还不错，可惜就是韩国产的，所以只能一星,美白黑炭面膜10片,,,,,
Q***i,,"<div class=""comment-star star1""></div>",用了几过敏，过了7天不能换，??,【补水提亮】美白保湿黑面膜,2020-07-20 13:11,,,,
****7,,"<div class=""comment-star star1""></div>",面膜可以是可以就是物流太慢了客服态度也不好！,透亮黑炭面膜10片,2016-11-15 11:27,,,,
****a,,"<div class=""comment-star star1""></div>",一个字就是差，干的面膜不知道用来干嘛的,美白黑炭面膜10片,2018-09-15 00:11,,,,
x***g,PLUS会员,"<div class=""comment-star star1""></div>",送货小哥为什么在我没有收到物品的时候，已经提交签收？,美白黑炭面膜10片,2017-05-13 10:34,,,,
w***萍,PLUS会员,"<div class=""comment-star star1""></div>",快递包装都开了，真的怀疑不是正品，之前被人打开过,,,,美白黑炭面膜,2019-06-18 17:25,
****8,,"<div class=""comment-star star1""></div>",商品包装没封口，像地摊货,【补水提亮】美白保湿黑面膜,2020-07-12 00:54,,,,
****z,,"<div class=""comment-star star1""></div>",刚拿到，包装损坏，怎么能随便打开，不知道是不是正品,,,2018-04-17 20:43,美白黑炭面膜10片,,
****F,,"<div class=""comment-star star1""></div>",我是油性皮肤用完更油了受不了还这么贵,美白黑炭面膜10片,,,,,
****1,PLUS会员,"<div class=""comment-star star1""></div>",如果是正品，我想这种面膜卖不了多久就得倒闭，完全糊弄人,美白黑炭面膜,,,,,2019-08-08 09:43
坤***1,,"<div class=""comment-star star1""></div>",用了以后脸部长了好多小红疙瘩,美白黑炭面膜10片,,,,,
人***难,,"<div class=""comment-star star1""></div>",这不会是假的吧，连包装都没有？塑料袋一装就发货了？,,,2018-06-27 14:04,美白黑炭面膜10片,,
初***冬,PLUS会员,"<div class=""comment-star star1""></div>",就是随便拿个产品盒给我装10片，干脆给10片散装算了。,美白黑炭面膜,,,,,2019-08-05 13:07
H***E,,"<div class=""comment-star star1""></div>",还没用，用后评价，快递还是挺快的,透亮黑炭面膜10片,2016-12-22 21:31,,,,
n***9,PLUS会员,"<div class=""comment-star star1""></div>",假的，荧光粉加多了用了会过敏,美白黑炭面膜10片,2017-05-19 23:51,,,,
一***程,PLUS会员,"<div class=""comment-star star1""></div>",收到货为什么是这样的？请给我一个合理的解释,,,2020-07-22 12:06,【补水提亮】美白保湿黑面膜,,
j***y,PLUS会员,"<div class=""comment-star star1""></div>",老公用了过敏，我到不会,【提亮焕肤】美白保湿黑面膜,2021-04-07 21:37,,,,
****d,,"<div class=""comment-star star1""></div>",盒子是打开的，是不是别人退货，二次销售的,,,,美白黑炭面膜,2019-06-21 10:19,
****b,,"<div class=""comment-star star1""></div>",不好用，精华很少，也没什么效果,美白黑炭面膜10片,2017-05-06 06:45,,,,
情***u,,"<div class=""comment-star star1""></div>",用了好久这个产品这次买来用了起满脸的红疙瘩确定是假货,美白黑炭面膜,,,,,2019-09-29 13:50
随***8,,"<div class=""comment-star star1""></div>",官方标价*，这里标价*这是什么情况，扫出来官方也是*??,美白黑炭面膜10片,,,,,
P***9,,"<div class=""comment-star star1""></div>",有一盒是拆开过的片数不够。。服了,【补水提亮】美白保湿黑面膜,2020-07-22 21:33,,,,
依***一,PLUS会员,"<div class=""comment-star star1""></div>",绿色的过敏，粉色的就正常,,,2018-04-30 14:32,美白黑炭面膜10片,,
****1,,"<div class=""comment-star star1""></div>",盒子上面一层灰，还是封口还是打开的?,【焕白因子】美白保湿黑面膜,,,,,2020-01-11 18:26
李***3,,"<div class=""comment-star star1""></div>",脸敷上了特别烫，特别不舒服,美白黑炭面膜10片,,,,,
_***_,PLUS会员,"<div class=""comment-star star1""></div>",不爱好用，过敏了，脸整个肿了,,,2016-12-18 08:01,透亮黑炭面膜10片,,
R***血,PLUS会员,"<div class=""comment-star star1""></div>",味道和在实体店买的不一样，不知道真假了,【焕白因子】美白保湿黑面膜,,,,,2020-03-09 14:20
****v,,"<div class=""comment-star star1""></div>",已经用了一盒了，但是没有明显效果,【补水提亮】美白保湿黑面膜,2020-10-09 16:24,,,,
那***我,,"<div class=""comment-star star1""></div>",服了敷面膜第二天早上起来整个脸就红肿了,美白黑炭面膜,,,,,2019-06-19 11:04
不***6,,"<div class=""comment-star star1""></div>",跟第一次买的不一样。面膜里面根本就没有精华,美白黑炭面膜10片,2018-04-12 11:28,,,,
年***女,,"<div class=""comment-star star1""></div>",还没用封贴撕开了，不知道什么原因,美白黑炭面膜10片,2017-12-14 15:30,,,,
****f,,"<div class=""comment-star star1""></div>",使用感受：跟好不搭边，没用过这么差的面膜,【补水提亮】美白保湿黑面膜,2020-10-20 10:19,,,,
