用户名,会员,星级,评论,类型1,评论时间1,评论时间2,类型2,评论时间3,评论时间4
严***大,,"<div class=""comment-star star1""></div>",使用感受：怀疑是假货，没扫出条形码！,【镇定肌肤】茶树面膜,2020-11-22 17:06,,,,
****0,PLUS会员,"<div class=""comment-star star1""></div>",别买这个版本的，用完脸刺激发红,,,2020-10-29 10:36,【镇定肌肤】茶树面膜,,
h***v,,"<div class=""comment-star star1""></div>",绿色的包装盒，烂了，其他三个完好,,,2021-02-24 17:42,【调理水油平衡】茶树面膜,,
拥***哪,PLUS会员,"<div class=""comment-star star1""></div>",面膜纸上有的地方没有面膜液，都是干的,【缓解痘痘】茶树面膜,,,,,2020-02-13 21:02
x***7,,"<div class=""comment-star star1""></div>",这款是正品，可是另一款蓝色包装的怎么是假货呢？呵呵,茶树面膜10片,2016-10-15 21:47,,,,
十***l,,"<div class=""comment-star star1""></div>",哪里有你们说的那么好，没什么效果,茶树面膜10片,2018-09-12 16:56,,,,
L***-,PLUS会员,"<div class=""comment-star star1""></div>",使用感受：用完后脸上开始冒痘，涨了一片,【镇定肌肤】茶树面膜,2020-06-27 23:12,,,,
飘***2,PLUS会员,"<div class=""comment-star star1""></div>",没给增品，149元3件，也不说清楚要买3盒一样的，算了懒得退,【镇定祛痘】茶树面膜,,,,,2020-04-26 13:20
糖***咪,PLUS会员,"<div class=""comment-star star1""></div>",使用感受：里面的精油特别少，面膜特别干,【缓解痘痘】茶树面膜,,,,,2019-12-12 12:26
u***5,,"<div class=""comment-star star1""></div>",没什么效果。大家散了吧,控油战痘茶树面膜25ml*10,2016-07-01 15:21,,,,
****N,,"<div class=""comment-star star1""></div>",买四个，没一个是完整的！,,,2021-01-26 19:28,【调理水油平衡】茶树面膜,,
j***n,,"<div class=""comment-star star1""></div>",价格还是原价但是199买四保价都没办法，不高兴没空退就这吧,茶树面膜,,,,,2019-05-24 09:42
****4,,"<div class=""comment-star star1""></div>",再也不买，一点精华都没有,【调理水油平衡】茶树面膜,2021-02-19 00:56,,,,
u***x,,"<div class=""comment-star star1""></div>",东西收到了…扫不出码来……不知道真假…,茶树面膜10片,2017-06-13 23:39,,,,
****m,,"<div class=""comment-star star1""></div>",第一次买，包装烂了着实不高兴！！希望用的好吧,【镇定肌肤】茶树面膜,2020-11-03 14:27,,,,
****3,,"<div class=""comment-star star1""></div>",收到包装全是打开的，外包装又黄又旧，不知道是否是正品,,,,茶树面膜,2019-05-27 10:39,
任***飞,PLUS会员,"<div class=""comment-star star1""></div>",才买了几天活动降价20，让我这个一次性买了一堆的人情何以堪？？？,【缓解痘痘】茶树面膜,,,,,2020-02-28 20:41
****t,PLUS会员,"<div class=""comment-star star1""></div>",基本上每盒都被开封过，封口处透明胶还有手印,【镇定祛痘】茶树面膜,,,,,2020-05-24 14:13
u***l,,"<div class=""comment-star star1""></div>",我感觉没有以前的好用膜布就是不一样,【镇定肌肤】茶树面膜,2020-11-17 10:55,,,,
****9,PLUS会员,"<div class=""comment-star star1""></div>",不知道从哪拿出来的货，连封口贴都没有。,,,2020-12-10 17:06,【调理水油平衡】茶树面膜,,
u***w,,"<div class=""comment-star star1""></div>",假的用了两片不敢用了苏小红买的都不一样,茶树面膜10片,2018-03-23 21:34,,,,
海***空,,"<div class=""comment-star star1""></div>",京东要倒闭了吗，随便用塑料袋子装，东西都压成什么样了。,茶树面膜10片,2018-09-28 20:25,,,,
u***q,,"<div class=""comment-star star1""></div>",是从破烂堆里捡出来的么，刘看到了是不是要发飙的。,茶树面膜10片,2018-07-16 18:39,,,,
s***拍,,"<div class=""comment-star star1""></div>",很干，里面精华很少，和之前买的不一样,【缓解痘痘】茶树面膜,,,,,2020-03-01 13:34
u***1,,"<div class=""comment-star star1""></div>",盒子烂的要死连个盒子也不给东西不好用,控油战痘茶树面膜25ml*10,2016-04-28 19:04,,,,
东***凉,,"<div class=""comment-star star1""></div>",刚收到快递打开就是坏的，不知道是不是正品，还没用,【缓解痘痘】茶树面膜,,,,,2019-11-25 16:12
****v,,"<div class=""comment-star star1""></div>",包装盒怎么这样破，胶带封口被打开过，各位亲你们自己看吧，那些好评都从那来的。差,茶树面膜10片,2017-08-05 17:30,,,,
u***u,PLUS会员,"<div class=""comment-star star1""></div>",绿色的这盒外盒没有整盒勿撕和中文标示的标签，怎么回事？,控油战痘茶树面膜25ml*10,2016-06-25 14:49,,,,
****6,,"<div class=""comment-star star1""></div>",破烂包装，破烂物流。,茶树面膜10片,2018-07-28 09:39,,,,
****v,,"<div class=""comment-star star1""></div>",商品外包装被撕毁，难道我不该担心商品的真伪吗？,【水油平衡】茶树面膜,2021-03-30 11:09,,,,
姜***睡,,"<div class=""comment-star star1""></div>",脸部屏障不能用？越用脸部越红,【水油平衡】茶树面膜,2021-03-19 15:33,,,,
****f,,"<div class=""comment-star star1""></div>",包装破损严重，面膜里面精华也少，不好用,,,,【缓解痘痘】茶树面膜,2019-12-23 11:06,
E***6,,"<div class=""comment-star star1""></div>",二维码贴了两层，感觉有猫腻，不知道是真是假,,,2016-08-26 20:51,茶树面膜10片,,
小***货,PLUS会员,"<div class=""comment-star star1""></div>",敷了五次，痘痘反而越来越多，哎，还买了两盒，估计都要扔了。,茶树面膜,,,,,2019-05-09 09:44
M***气,,"<div class=""comment-star star1""></div>",应该是假的吧，有难闻的味道，一丁点效果也没,茶树面膜10片,2017-10-15 08:01,,,,
u***s,,"<div class=""comment-star star1""></div>",**玩意，毛的用没有！！！,茶树面膜10片,2017-06-23 00:42,,,,
****p,,"<div class=""comment-star star1""></div>",不知道***得这么好，我用了脸上长痘痘不敢用,茶树面膜10片,2018-08-04 19:59,,,,
傻***的,PLUS会员,"<div class=""comment-star star1""></div>",感觉没什么作用，和说明上的效果完全没有体现,茶树面膜10片,2018-02-04 15:08,,,,
****Z,,"<div class=""comment-star star1""></div>",收到面膜包装是开这的，懒得退了，和之前买的也不一样，假货。。。,【镇定肌肤】茶树面膜,2020-07-18 12:17,,,,
****d,,"<div class=""comment-star star1""></div>",包装实在让人失望，产品里面还可以，但是给人的第一印象就不好，一般般!,茶树面膜10片,2018-02-05 17:28,,,,
B***D,,"<div class=""comment-star star1""></div>",感这次买到@货，额头都盖不到，味道也怪怪的,茶树面膜10片,2018-09-14 10:39,,,,
****k,,"<div class=""comment-star star1""></div>",东西还没用不知道怎么样可这包装都烂了挺影响心情的一拿面膜都掉到快递袋子里了,,,,茶树面膜,2018-11-13 15:11,
颖***3,PLUS会员,"<div class=""comment-star star1""></div>",贴合效果不好面膜残缺不完整,【缓解痘痘】茶树面膜,,,,,2020-04-14 12:44
蚂***_,PLUS会员,"<div class=""comment-star star1""></div>",为什么补水的那个效果很好，这个根本没什么效果,茶树面膜10片,2018-06-06 12:52,,,,
莫***e,,"<div class=""comment-star star1""></div>",十分不好用，面膜纸歪七扭八的，以前买的都不这样。。,茶树面膜10片,2017-07-08 23:04,,,,
****4,,"<div class=""comment-star star1""></div>",就是个假面膜，用上没任何效果。还没国产用的效果好，,茶树面膜,,,,,2019-09-22 09:12
****d,,"<div class=""comment-star star1""></div>",使用感受：感觉不怎么样，面膜有点粗糙精华也不是很多,【缓解痘痘】茶树面膜,,,,,2020-02-28 19:36
****4,PLUS会员,"<div class=""comment-star star1""></div>",买了两包面膜，一包没事，这包面膜挤压的都变形了，双十一都不容易，凑活用吧！,茶树面膜10片,2016-11-13 14:57,,,,
****s,,"<div class=""comment-star star1""></div>",前天买的今天就便宜三十多，保价保不了，包装破烂，像是被拆封过的,,,2020-11-01 14:56,【镇定肌肤】茶树面膜,,
君***K,PLUS会员,"<div class=""comment-star star1""></div>",包装也是烂到了极致，感觉像放了n久的库存……蓝色那盒连封口都没有,,,2018-07-10 16:38,茶树面膜10片,,
****x,,"<div class=""comment-star star1""></div>",过敏，精华水格外的少,【缓解痘痘】茶树面膜,,,,,2020-03-30 13:03
q***4,,"<div class=""comment-star star1""></div>",可以说没有任何效果。,【镇定肌肤】茶树面膜,2020-10-22 03:31,,,,
****3,,"<div class=""comment-star star1""></div>",一般，没有以前的好，打开部分都干了，下次换一家平台,茶树面膜,,,,,2019-09-24 21:30
****o,,"<div class=""comment-star star1""></div>",原来一直对京东比较满意，对商品包装很到位，这次面膜居然用一个袋子一包就送来了，来了都这个样了，外包装直接挤烂了。,,,2018-03-11 08:06,茶树面膜10片,,
****少,,"<div class=""comment-star star1""></div>",以前一直买的这个。哇这次你是放了多久。面膜上全是干的水都没有！,茶树面膜,,,,,2019-10-05 16:18
咳***5,PLUS会员,"<div class=""comment-star star1""></div>",面膜做的不够大众，都不够大，尤其是嘴巴,,,2021-05-14 01:19,【水油平衡】茶树面膜,,
b***9,,"<div class=""comment-star star1""></div>",跟我在免税店买的不一样估计是假货买了4盒都试了一下用着感觉不好,茶树面膜10片,2018-02-10 23:48,,,,
喵***爱,,"<div class=""comment-star star1""></div>",感觉这次发的面膜要不就过期了要不就是假货，一点茶树味道都没有，跟我之前买的不一样呢？,茶树面膜10片,2017-08-26 13:22,,,,
****4,,"<div class=""comment-star star1""></div>",茶树的昨天刚用了一片，眼周旁边过敏。以前在商场里买的跟这里买的剪裁跟纸质不一样！不知道真的假的,茶树面膜10片,2017-07-18 09:31,,,,
****k,PLUS会员,"<div class=""comment-star star1""></div>",一直都是用这个，没有以前的好用了，升级了越来越不好用,【缓解痘痘】茶树面膜,,,,,2019-12-16 16:28
****c,,"<div class=""comment-star star1""></div>",觉得除了配送速度确实比较快，其他都不怎么好，面膜到货的时候，盒子都破了，包装特别粗糙，联系了一下客服，就把情况说了一下，态度也不好。,茶树面膜,,,,,2019-05-11 12:41
1***p,,"<div class=""comment-star star1""></div>",收到快递。面膜里面的盒子是被拆过的。感觉……不会再回购了,,,2017-11-03 13:46,茶树面膜10片,,
u***u,,"<div class=""comment-star star1""></div>",不要说效果了，贴的时候感觉就是面膜纸上撒一些水而已,【镇定肌肤】茶树面膜,,,,,2020-06-05 16:36
****2,,"<div class=""comment-star star1""></div>",打开里边面膜的包装盒底部是有破损的，而且盒子封口处没有封住，怀疑是否正品.,【缓解痘痘】茶树面膜,,,,,2019-11-07 11:17
y***9,PLUS会员,"<div class=""comment-star star1""></div>",一收到快递就有一盒面膜是被打开的了，不知道是不是正品，不太敢用………………心塞，果然便宜没好货,,,2016-11-28 12:19,茶树面膜10片,,
****h,,"<div class=""comment-star star1""></div>",不推荐这款绿色的，没啥精华，都几乎挤不出水，干干的,【缓解痘痘】茶树面膜,,,,,2020-03-02 21:06
****w,,"<div class=""comment-star star1""></div>",为什么有盒是打开的？？？？包装看上去都不像正品！！！,,,2021-07-06 11:18,【水油平衡】茶树面膜,,
8***2,,"<div class=""comment-star star1""></div>",买了三盒，后来才发现，两盒都没有封口的标签贴，感觉顿时不好了,【镇定肌肤】茶树面膜,2020-11-07 22:44,,,,
****W,,"<div class=""comment-star star1""></div>",价格刚买完就降价，目前用了一个茶树的，用完脸有点发烫。,【调理水油平衡】茶树面膜,2021-02-28 17:20,,,,
旧***侣,PLUS会员,"<div class=""comment-star star1""></div>",没法好评收到包装也没包好，也不知道是不是正品，不好用,,,2020-07-20 00:42,【镇定肌肤】茶树面膜,,
j***n,,"<div class=""comment-star star1""></div>",买了三盒，京东纸盒完好无损，茶树面膜盒包装破损且压根没有胶条封口，另有一盒封口胶条没粘住的，一言难尽……既然这样的自营商品也能正常出库为什么没有负分评价体系？？？,,,,【镇定祛痘】茶树面膜,2020-05-18 23:23,
就***哦,PLUS会员,"<div class=""comment-star star1""></div>",不能保护好商品吗？都给压瘪戳漏了。工作压力大也不能用商品出气吧？,,,2018-06-27 11:48,茶树面膜10片,,
未***然,,"<div class=""comment-star star1""></div>",物流很快，昨天下午买的今天早上就到了，但感觉不是正品，跟我之前买的不一样，效果选择还不知道,【缓解痘痘】茶树面膜,,,,,2019-12-18 19:03
初***啊,,"<div class=""comment-star star1""></div>",搞活动确实便宜但连个外包装盒子都没有有点过分吧,,,2021-11-03 18:49,【镇定舒缓】茶树面膜,,
****3,,"<div class=""comment-star star1""></div>",不知道放了多久的反正不好劝大家别买,【镇定舒缓】茶树面膜,2021-12-21 19:52,,,,
****0,,"<div class=""comment-star star1""></div>",买了就降价。而且有异味，不好用,【水油平衡】茶树面膜,2021-07-24 07:03,,,,
u***d,,"<div class=""comment-star star1""></div>",用这个牌子的其他的面膜还不错，不是一家店买的这个居然局部过敏了。眼都肿着?,茶树面膜,,,,,2018-11-21 21:50
1***x,,"<div class=""comment-star star1""></div>",收到货之后发现有两盒的盒子竟然是破的，不知道是不是真货。,,,2021-08-31 22:01,【水油平衡】茶树面膜,,
****2,,"<div class=""comment-star star1""></div>",用了之后鼻头的皮肤脱皮了，不知道是不是我皮肤原因,【水油平衡】茶树面膜,2021-03-28 16:20,,,,
****o,,"<div class=""comment-star star1""></div>",快递没有纸盒包装送到里面都开了，外面是湿的，面膜敷完没有效果不建议买。,茶树面膜10片,2018-10-25 00:49,,,,
****2,PLUS会员,"<div class=""comment-star star1""></div>",面膜收到了包装居然是坏的，面膜全掉出来了，不知道里面的面膜有没有问题！,茶树面膜10片,2017-12-10 12:13,,,,
****m,,"<div class=""comment-star star1""></div>",@人，条码被覆盖，扫不出来，把它撕掉扫里面的发现价格不对，包装也不好，都压扁了,,,2018-09-24 23:02,茶树面膜10片,,
****3,,"<div class=""comment-star star1""></div>",打开以后面膜是干的，里面也没啥水,【镇定舒缓】茶树面膜,2022-03-21 21:55,,,,
莫***子,PLUS会员,"<div class=""comment-star star1""></div>",用起来很一般，面膜补水效果并不好，用了没啥感觉,【水油平衡】茶树面膜,2021-04-22 15:45,,,,
如***讯,,"<div class=""comment-star star1""></div>",这次购买的面膜材料薄精华液少比之前的差多了联系客服没有回应,茶树面膜,,,,,2019-03-15 08:43
1***p,PLUS会员,"<div class=""comment-star star1""></div>",快递小哥挺好的.送的也挺快的.但是感觉这次买到假货赛的.面膜一打开有很大的酒精味.这是怎么个意思.,控油战痘茶树面膜25ml*10,2016-05-28 11:55,,,,
l***0,PLUS会员,"<div class=""comment-star star1""></div>",包装差劲，塑封都没有,【水油平衡】茶树面膜,2021-06-21 23:43,,,,
****3,PLUS会员,"<div class=""comment-star star1""></div>",昨天买了送来的包装盒是开的，申请换新后，送来的，包装封签也是开的，盒子二维码一扫进官网，但是里边面膜是否被换过不知道,,,2017-12-14 12:52,茶树面膜10片,,
****6,,"<div class=""comment-star star1""></div>",包装不知道为什么是这样，写了勿拆，还是拆的混乱，但是昨天敷了一张暂无不好的效果，就是现在脸有点痒,,,,,,
****u,,"<div class=""comment-star star1""></div>",买来就敷了一片，真的差，跟块粗糙的布一样，就是上面有点水而已，而且面膜的形状跟脸不怎么贴合？,【镇定肌肤】茶树面膜,2020-06-18 17:44,,,,
c***y,,"<div class=""comment-star star1""></div>",很大一股酒精的味道，里面的面膜包装也是坏的用了完全没效果，不好用不是正品里面的包装破了,茶树面膜10片,2016-11-27 13:15,,,,
****l,,"<div class=""comment-star star1""></div>",刚收到快递，快递很快，但发现面膜有一盒是拆过的，外面封的胶带没了，不知道什么情况,【缓解痘痘】茶树面膜,,,,,2019-11-13 23:12
雪***2,,"<div class=""comment-star star1""></div>",使用感受：这是我买的最不好用的面膜了，干的贴不上，总是掉补水效果：面膜贴上去秒干掉下来,【缓解痘痘】茶树面膜,,,,,2020-02-22 07:59
满***儿,PLUS会员,"<div class=""comment-star star1""></div>",就想知道为什么4盒面膜有3盒底部是被打开跟被打开过的？,,,,,,
蓝***猪,,"<div class=""comment-star star1""></div>",快递收到了。打开快递，里面的面膜都是被拆开的。就那个保湿的，有胶带封口，其他的都没有，而且还是被拆开的。,,,2020-09-28 18:13,【镇定肌肤】茶树面膜,,
零***儿,PLUS会员,"<div class=""comment-star star1""></div>",用了一段时间前来评论。下次一定要多留意评论，真的是一点用都没有，另外请问是不是脸部发痒还有点蛰疼，是不是过敏现状？？？,茶树面膜10片,2017-11-26 23:22,,,,
****8,PLUS会员,"<div class=""comment-star star1""></div>",用了就开始爆痘还以为不适合这款停了下用了另外一款同样的不舒服起痘买了三盒不同的用了两张就不敢用了看到那么多好评难道三件五折便宜的就是假的吗？,茶树面膜,,,,,2019-06-15 22:10
a***1,PLUS会员,"<div class=""comment-star star1""></div>",我是油性皮肤，这款产品对我不是很合适，有点干，本来不怎么长痘，用了一次，第二天就长痘，接下去几天又长了好几颗痘痘,茶树面膜10片,2018-07-24 22:48,,,,
B***9,,"<div class=""comment-star star1""></div>",不会再买，促销活动整得都是懵的，反正没有我们赚的，买下来还贵点，客服态度差差差！！！,【镇定舒缓】茶树面膜,2021-11-12 13:49,,,,
****v,,"<div class=""comment-star star1""></div>",用完脸上起痘痘了我以前用什么化妆品面膜脸都不会过敏不知道为什么用这几天这个就起痘痘了,,,,【缓解痘痘】茶树面膜,2020-03-13 07:11,
****8,,"<div class=""comment-star star1""></div>",跟以前的不一样了，面膜纸都是硬的，没有之前用的服帖，味道也不一样，是我买到假货了，还是怎么的，,【镇定肌肤】茶树面膜,2020-08-28 20:47,,,,
没***性,,"<div class=""comment-star star1""></div>",贴合效果：不服帖产品质感：一般使用感受：一般其他特色：没有想象中那么好，性价比不高，这个价格贵了，活动一下子买了4盒，觉得挺亏的，同比其他牌子的面膜，这个价格真心不值，由于都拆封了，所以也不能退货，,,,2020-11-18 13:55,【镇定肌肤】茶树面膜,,
秋***0,PLUS会员,"<div class=""comment-star star1""></div>",用过后有点痒，不是正品。首先，面膜的大小和我在韩国买的不一样，其次，味道也有点不一样，最后用过后，脸不太舒服。我的脸是不过敏肤质的,茶树面膜10片,2017-07-27 09:42,,,,
风***来,PLUS会员,"<div class=""comment-star star1""></div>",面膜是假的，以前的面膜有印花上面是人家公司的名字，这次买的没有印花。而且感觉面膜里面的液体也没有，原来里面的液体多，连面膜那个纸都不一样，以前那个光滑，现在这个稍微有点粗糙。我认为跟原来差距有，这么多点，感觉面膜是假的。,,,,茶树面膜,2019-03-03 21:15,
u***q,,"<div class=""comment-star star1""></div>",刚买到手就降价不给补差价说可以退货重买买面膜就是为了用的肯定打开了根本没法退货其实就是不给补差价没多钱懒得要这个差价就是觉得商家这样做挺次的,【水油平衡】茶树面膜,2021-06-19 09:12,,,,
w****,PLUS会员,"<div class=""comment-star star1""></div>",面膜还不错。水润润的。味道很好，不油腻很清爽。不知道为什么和宣传图上有区别呢。没有那个X3倍的标志。我质疑产品质量,,,,茶树面膜10片,,
u***f,PLUS会员,"<div class=""comment-star star1""></div>",我前一天刚用完实体店的这款面膜，昨晚就用京东买的，面膜纸不一样，有太多的精华水，拿出面膜纸都在滴，而且面膜纸的大小也不一样，比实体店的小了很多。还有味道闻起也不一样。我一直信赖京东自营，但这次确实蒙了。,茶树面膜10片,2018-06-24 10:20,,,,
周***手,PLUS会员,"<div class=""comment-star star1""></div>",活动价女朋友买的，也不知道效果好不好，还没用，反应这种东西样子货，送货也快，基本一天内就送到，没有40个豆子晒单都嫌麻烦，抵制韩国棒子货，以后不准她再买棒子国的了,,,2017-04-04 20:41,茶树面膜10片,,
周***0,PLUS会员,"<div class=""comment-star star1""></div>",这次买的面膜真心不好用，到了当晚就试了，第二天还是很干的脸。以往我敷完面膜第二天很好上妆也不会干，这个明显补水效果不好,【镇定舒缓】茶树面膜,2022-03-11 22:41,,,,
****h,,"<div class=""comment-star star1""></div>",这个拆开用了一次后有点长闭口，不知道是不是产品的问题，用第二片也有点，目前不敢再用了，茶树不是应该是祛痘的吗，怎么还长痘痘呢,,,2022-03-11 17:30,【镇定舒缓】茶树面膜,,
****8,,"<div class=""comment-star star1""></div>",面膜挺好得之前没多少痘痘得我天天敷以为会好点一段时间后脸上全是满脸粉刺真的特别是嘴角两边那粉刺自己看着是真烦人啊密密麻麻得小豆豆长满了现在停了慢慢在好点了一下买了4盒全打开了现在也没办法用估计得扔掉了,,,2021-10-25 07:27,【镇定舒缓】茶树面膜,,
****o,,"<div class=""comment-star star1""></div>",包装成这样！都破了！差评,,,2017-12-11 11:22,茶树面膜10片,,
邹***爱,,"<div class=""comment-star star1""></div>",这个是我的脸太大还是假货?,,,,茶树面膜,2019-07-13 20:10,
丁***娴,,"<div class=""comment-star star1""></div>",快递太暴力了，这次包装也差,,,2018-03-08 11:52,茶树面膜10片,,
****g,,"<div class=""comment-star star1""></div>",什么玩意，特别容易过敏,茶树面膜10片,2017-08-13 11:24,,,,
N***A,,"<div class=""comment-star star1""></div>",假货，还另外贴了商标，查不了的，,,,,茶树面膜,2019-04-04 14:21,
小***5,,"<div class=""comment-star star1""></div>",盒子破损很严重！很无语！,,,2018-07-01 14:52,茶树面膜10片,,
喵***0,,"<div class=""comment-star star1""></div>",感觉买到了假货以后不会买了,【缓解痘痘】茶树面膜,,,,,2020-03-01 22:47
幸***人,PLUS会员,"<div class=""comment-star star1""></div>",收到包装是这样的，无语了。,,,2017-12-13 16:50,茶树面膜10片,,
永***里,PLUS会员,"<div class=""comment-star star1""></div>",别问我为何给差评，京东快递辣么暴力？？,,,2017-09-04 15:47,茶树面膜10片,,
H***Y,PLUS会员,"<div class=""comment-star star1""></div>",差劲，面膜就用个袋子装，里面全压烂了,茶树面膜10片,2018-03-04 11:49,,,,
****1,PLUS会员,"<div class=""comment-star star1""></div>",收到盒子包装都是打开的？这么欺骗消费者？,茶树面膜10片,2017-12-16 13:17,,,,
1***1,,"<div class=""comment-star star1""></div>",差评，包装都惨不忍睹，京东真是越来越垃圾了,控油战痘茶树面膜25ml*10,2016-05-28 16:55,,,,
江***6,,"<div class=""comment-star star1""></div>",无语，他们家无人售卖店,【镇定肌肤】茶树面膜,2020-11-03 18:44,,,,
贝***棋,PLUS会员,"<div class=""comment-star star1""></div>",盒子散了，送人很不好，自己甩了,【调理水油平衡】茶树面膜,2020-12-26 20:59,,,,
****a,,"<div class=""comment-star star1""></div>",辣鸡客服机器人?敷衍了事?速度倒是真真的,茶树面膜10片,2016-12-31 00:29,,,,
****U,,"<div class=""comment-star star1""></div>",什么狗几巴面膜贴完就长痘坑坑坑,茶树面膜10片,2018-05-04 22:17,,,,
****3,,"<div class=""comment-star star1""></div>",醉了面膜都是开的还破了假货吗？,【镇定肌肤】茶树面膜,2020-11-02 13:39,,,,
画***皮,,"<div class=""comment-star star1""></div>",包装盒太差了，还没有用不知道效果,茶树面膜10片,2018-06-30 12:10,,,,
糖***8,,"<div class=""comment-star star1""></div>",特别不好，不好不好，假的假的,茶树面膜10片,2017-05-10 11:32,,,,
u***l,,"<div class=""comment-star star1""></div>",非常差刚买完就大幅降价买贵了近一倍,茶树面膜10片,,,,,
Z***K,,"<div class=""comment-star star1""></div>",骗人的，假货，味道超难闻,茶树面膜10片,2016-08-24 21:03,,,,
****y,,"<div class=""comment-star star1""></div>",真的是垃圾，就这还销量第一，大家千万不要买，,【镇定肌肤】茶树面膜,2020-08-12 10:45,,,,
****a,,"<div class=""comment-star star1""></div>",面膜纸是干的，精华太少,【镇定肌肤】茶树面膜,2020-11-13 23:47,,,,
****2,PLUS会员,"<div class=""comment-star star1""></div>",真心骗人呢，收到的和看到的都不样！和客服说客服都不搭理，，,茶树面膜10片,2017-04-14 16:00,,,,
u***2,,"<div class=""comment-star star1""></div>",效果极差，没有补水效果，假货！差评,茶树面膜,,,,,2019-09-23 22:06
****z,,"<div class=""comment-star star1""></div>",绝对假的，二维码扫不到，以前买的都能扫到,,,,【缓解痘痘】茶树面膜,2020-02-16 16:27,
****q,,"<div class=""comment-star star1""></div>",快递员态度极差，居然是用饿了么的快递员来送的....,【缓解痘痘】茶树面膜,,,,,2020-02-08 14:08
羽***E,,"<div class=""comment-star star1""></div>",面膜纸好厚，跟我之前买的差多了，我觉得是假货。,茶树面膜,,,,,2019-02-18 21:42
u***j,,"<div class=""comment-star star1""></div>",面膜真心不好一点水都没有谨慎购买,【镇定肌肤】茶树面膜,2020-07-21 22:21,,,,
