用户名,会员,星级,评论,类型1,评论时间1,评论时间2,类型2,评论时间3,评论时间4
S***y,,"<div class=""comment-star star1""></div>",取出快递，就是敞开的，面膜，往脸上敷的，疫情这么严重，这怎么让人放心？,,,2022-03-02 22:51,【焕亮肤色】维他命安瓶面膜,,
G***a,,"<div class=""comment-star star1""></div>",一般般，面膜大小竟然不能覆盖全脸，我的脸已经很小了,【焕亮肤色】维他命安瓶面膜,2022-02-07 15:34,,,,
****3,PLUS会员,"<div class=""comment-star star1""></div>",购物最差的一次我也不知道这个面膜怎么做的打开一个面膜就有一根头发丝第二个一根头发丝加两根眼睫毛我就想知道做面膜是要把脸放进去套膜吗？差评差评差评！,新品【焕亮肤色】维C安瓶面膜,2021-09-14 22:54,,,,
****g,,"<div class=""comment-star star1""></div>",我用了一次整个脸发痒，第二天满脸都是逗，以为我不适合就送给朋友用，昨天晚上朋友用了，早上满脸都发炎了，这是我在京东购买最差的一次面膜,新品【焕亮肤色】维C安瓶面膜,2021-07-21 08:46,,,,
****5,PLUS会员,"<div class=""comment-star star1""></div>",也不晓得这么多好评怎么来的，无语惨了，一次性买了这么多，一点用都没,【焕亮肤色】维他命安瓶面膜,2021-11-18 17:45,,,,
w***1,,"<div class=""comment-star star1""></div>",物流服务很快，但是对商品服务很不满意，价格太乱，买了10多天产品就降了差不多50元，面膜都还没用两片就贬值这么厉害，真的无语了！毕竟我还没怎么用，产品好不好我就不说了，但是卖家价保只有7天，建议买的人下单一定要问后期优惠，不然真的几天一个价。买了的用着心里也不舒服！,新品【焕亮肤色】维C安瓶面膜,2021-07-13 09:12,,,,
w***1,PLUS会员,"<div class=""comment-star star1""></div>",说好凌晨0-2点的活动，结果改成全天活动，害我守到半夜，严重影响睡眠。,新品【焕亮肤色】维C安瓶面膜,2021-06-10 19:19,,,,
1***p,,"<div class=""comment-star star1""></div>",此用户未及时填写评价内容,【维C透亮】维他命安瓶面膜,2022-04-19 09:14,,,,
****q,,"<div class=""comment-star star1""></div>",买几次了，越来越差,新品【焕亮肤色】维C安瓶面膜,2021-09-28 17:45,,,,
****h,PLUS会员,"<div class=""comment-star star1""></div>",用过最差的面膜,【焕亮肤色】维他命安瓶面膜,2021-10-21 11:41,,,,
我***了,,"<div class=""comment-star star1""></div>",？,,,2021-06-01 11:31,新品【焕亮肤色】维C安瓶面膜,,
****t,,"<div class=""comment-star star1""></div>",货都发错,新品【焕亮肤色】维C安瓶面膜,2021-07-01 16:44,,,,
加***猫,PLUS会员,"<div class=""comment-star star1""></div>",如图所示,,,2021-08-11 20:18,新品【焕亮肤色】维C安瓶面膜,,
****s,,"<div class=""comment-star star1""></div>",套路太深,新品【焕亮肤色】维C安瓶面膜,2021-08-22 09:04,,,,
****z,PLUS会员,"<div class=""comment-star star1""></div>",垃圾,新品【焕亮肤色】维C安瓶面膜,2021-09-15 14:26,,,,
轩***昧,,"<div class=""comment-star star1""></div>",不是正品,【焕亮肤色】维他命安瓶面膜,2021-10-20 16:49,,,,
****s,,"<div class=""comment-star star1""></div>",假的感觉,【焕亮肤色】维他命安瓶面膜,2021-11-02 19:28,,,,
****m,,"<div class=""comment-star star1""></div>",别买，假货，面膜膜纸没有Logo，用了脸过敏，还退不了。,【焕亮肤色】维他命安瓶面膜,2022-02-06 23:09,,,,
****f,,"<div class=""comment-star star1""></div>",咱也没有见到也没有收到货等了那么久快递没有打电话系统就确认收货快递通知拿快递咋咋也找不到丢了现在对京东无语?失望?,新品【焕亮肤色】维C安瓶面膜,2021-08-24 20:57,,,,
l***梦,,"<div class=""comment-star star1""></div>",垃圾，让人非常生气，我昨天买3盒139，四盒189，今天就变成了4盒159。#，啥也不是。还打算一直用果断放弃。,新品【焕亮肤色】维C安瓶面膜,2021-08-17 11:25,,,,
我***艺,PLUS会员,"<div class=""comment-star star1""></div>",10号买的，说的隔天到，结果三四天都还不发货，一问客服就有理了，2分钟不到说了三个理由，一会是端午节延迟发货，一会是高速堵车，一会是仓库放假，呵呵，最后又说仓库没有放假，真棒，找理由欺骗，差评，差评，垃圾玩意,新品【焕亮肤色】维C安瓶面膜,2021-06-14 19:49,,,,
****X,,"<div class=""comment-star star1""></div>",此用户未及时填写评价内容,新品【焕亮肤色】维C安瓶面膜,2021-09-13 20:49,,,,
右***羊,PLUS会员,"<div class=""comment-star star1""></div>",这个差评是给商家和京东客服，总共购买8盒面膜一个赠品都没送，找客服回复结果是必须购买同一种面膜才可以我也是无语了；第一商家在活动页面上明确写了买4件及以上送赠品没有说明必须同一种，第二当时参与赠品活动的包含其他几款面膜而且都是149元买4盒活动存在误导，第三售后联系客服反馈情况回复结果不满意有店大欺客行为。,【焕亮肤色】维他命安瓶面膜,2022-01-13 23:05,,,,
右***羊,PLUS会员,"<div class=""comment-star star1""></div>",这个差评是给商家和京东客服，总共购买8盒面膜一个赠品都没送，找客服回复结果是必须购买同一种面膜才可以我也是无语了；第一商家在活动页面上明确写了买4件及以上送赠品没有说明必须同一种，第二当时参与赠品活动的包含其他几款面膜而且都是149元买4盒活动存在误导，第三售后联系客服反馈情况回复结果不满意有店大欺客行为。,【焕亮肤色】维他命安瓶面膜,2022-01-13 23:03,,,,
****c,,"<div class=""comment-star star1""></div>",大家快看看骗钱的，三盒打五折，我买的太快买到两盒，199元，早上买的下午就收到了，买完上班没注意看手机所以没发现，后来收到货联系客服，叫我退回去重买，可以，我也是有这打算，谁知道货退回去了，只给我退99元，收了我这100元，还说跟她们店没关系，这么光明正大的骗钱。**，良心的东西,新品【焕亮肤色】维C安瓶面膜,2021-08-29 14:36,,,,
u***q,,"<div class=""comment-star star1""></div>",刚买到手就降价不给补差价说可以退货重买买面膜就是为了用的肯定打开了根本没法退货该重买耽误时间其实就是不给补差价的借口没多钱懒得要差价就是觉得商家这么做挺次的,新品【焕亮肤色】维C安瓶面膜,2021-06-19 09:16,,,,
l***h,PLUS会员,"<div class=""comment-star star1""></div>",买了四盒，做活动价格还算可以的，黄色绿色蓝色，感觉还是蓝色的最好用，但是广告里说买四送一盒涂抹面膜没有收到，差评鼓励一下，再接再励。,【焕亮肤色】维他命安瓶面膜,2022-01-08 21:47,,,,
1***9,PLUS会员,"<div class=""comment-star star1""></div>",以前坚信京东没有假货，现在知道了，假货很多很多，东西中间被拆开过，用的是火腿肠盒子的外包装，胶带是从原来的包装上撕下来，缠到现在的包装上，申请换货图片都附上了，就是不给受理，拖到错过售后期，东西扫描二维码没有，显示转移至~，这不是妥妥的假货吗？上次买了两支阿玛尼的口红，一只正常，一只明显假货，味道都不对，京东好几年的老粉，寒了心了,【焕亮肤色】维他命安瓶面膜,2021-12-09 19:35,,,,
y***4,PLUS会员,"<div class=""comment-star star1""></div>",不好，眼睛，嘴巴的地方几个大框框，不能很好的贴合，就这样，还面膜纸很小，还没有定型纸，拿出来一坨，撑开大洞洞之外还贴不完脸，这也太省了。。效果不效果的都不评价了。,新品【焕亮肤色】维C安瓶面膜,2021-07-05 22:47,,,,
