用户名,会员,星级,评论,类型1,评论时间1,评论时间2,类型2,评论时间3,评论时间4
****s,,"<div class=""comment-star star1""></div>",才买就降价，不相信京东了,【紧致肌肤】毛孔紧致黑面膜,2020-07-23 10:28,,,,
猫***-,,"<div class=""comment-star star1""></div>",快递包装就**一个塑料袋，面膜全压扁了,毛孔紧致黑炭面膜10片,2018-09-23 09:13,,,,
二***9,,"<div class=""comment-star star1""></div>",二维码还一挡住，盒子都压瘪了不知道用个大盒子装,【紧致细腻】毛孔紧致黑炭面膜,,,,,2019-11-02 15:33
q***L,,"<div class=""comment-star star1""></div>",让朋友试了一贴，因她一直有用，试完后她说是假的，不是真品，,毛孔紧致黑炭面膜10片,2017-10-27 06:29,,,,
****m,,"<div class=""comment-star star1""></div>",用了一片，一点感觉没有，能退么？,毛孔紧致黑炭面膜,,,,,2019-09-14 09:01
w***U,PLUS会员,"<div class=""comment-star star1""></div>",货品封标有问题，联系客服一直没有处理。,【紧致肌肤】毛孔紧致黑面膜,2020-11-03 17:45,,,,
蒙***8,PLUS会员,"<div class=""comment-star star1""></div>",有点蜇皮肤再试试看吧,毛孔紧致黑炭面膜10片,2016-08-16 21:24,,,,
星***琐,PLUS会员,"<div class=""comment-star star1""></div>",打开包裹就是这样的，明显就是被人拆开了,,,2018-02-08 14:56,毛孔紧致黑炭面膜10片,,
****r,PLUS会员,"<div class=""comment-star star1""></div>",京东配送，就这样的包装，袋子就来了，盒子都破了！,,,2018-02-10 22:28,毛孔紧致黑炭面膜10片,,
月***a,,"<div class=""comment-star star1""></div>",一般使用感受：有点干补水效果：一般,【清洁收缩毛孔】毛孔紧致黑面膜,2020-12-12 22:59,,,,
u***b,,"<div class=""comment-star star1""></div>",效果还没用未知，但是包装是烂的,【紧致肌肤】毛孔紧致黑面膜,2020-07-28 18:47,,,,
****0,PLUS会员,"<div class=""comment-star star1""></div>",价格一天一个样，没有标准，当别人是傻子,【紧致细腻】毛孔紧致黑面膜,,,,,2020-04-27 23:08
要***-,,"<div class=""comment-star star1""></div>",寄来是这个样子的没有封口，封口是坏的,,,,【紧致细腻】毛孔紧致黑面膜,2020-02-20 20:06,
****i,,"<div class=""comment-star star1""></div>",呃不知道这是什么意思，扫码扫不出来，也不知道是不是正品,,,,毛孔紧致黑炭面膜,2019-09-28 23:48,
****4,,"<div class=""comment-star star1""></div>",产品质感：没用了一周没任何效果，连国产车都不如,毛孔紧致黑炭面膜,,,,,2019-09-22 09:14
初***冬,PLUS会员,"<div class=""comment-star star1""></div>",就是随便拿个产品盒给我装10片，干脆给10片散装算了。,毛孔紧致黑炭面膜,,,,,2019-08-05 13:07
W***I,PLUS会员,"<div class=""comment-star star1""></div>",不好用.不支持七天无理由退货.算了.不会再买,毛孔紧致黑炭面膜10片,2018-03-10 21:54,,,,
我***y,,"<div class=""comment-star star1""></div>",第一次购买这牌子的，感觉不是正品，没效果。,毛孔紧致黑炭面膜10片,,,,,
****9,PLUS会员,"<div class=""comment-star star1""></div>",粉盒粘贴其他两盒有，是不是被拆过,,,2020-07-19 12:55,【紧致肌肤】毛孔紧致黑面膜,,
****2,,"<div class=""comment-star star1""></div>",一贴就好，一贴就让你满脸起痘，购买需慎重,毛孔紧致黑炭面膜,,,,,2018-11-24 11:59
内***王,,"<div class=""comment-star star1""></div>",盒子都坏了，里面的东西有点旧像是假的,毛孔紧致黑炭面膜,,,,,2019-06-01 16:48
****至,PLUS会员,"<div class=""comment-star star1""></div>",用完感觉皮肤好干，掉皮，不适合我吧。,毛孔紧致黑炭面膜10片,,,,,
H***5,PLUS会员,"<div class=""comment-star star1""></div>",棒子的东西还是不行，不行上当了，没有一叶子好,毛孔紧致黑炭面膜,,,,,2018-12-01 22:09
情***u,,"<div class=""comment-star star1""></div>",用了好久这个产品这次买来用了起满脸的红疙瘩确定是假货,毛孔紧致黑炭面膜,,,,,2019-09-29 13:49
小***8,PLUS会员,"<div class=""comment-star star1""></div>",用了脸上起了很多痘痘。不敢用了。,毛孔紧致黑炭面膜10片,2018-04-09 10:47,,,,
u***4,,"<div class=""comment-star star1""></div>",包装盒被人拆开了，不知道是不是正品，还没用,毛孔紧致黑炭面膜10片,2018-08-02 19:28,,,,
****a,PLUS会员,"<div class=""comment-star star1""></div>",面膜太硬，没什么精华，皮肤紧致,毛孔紧致黑炭面膜,,,,,2019-09-17 21:40
****n,,"<div class=""comment-star star1""></div>",难道没有人发现日期都是18年的吗,,,2020-11-11 21:31,【紧致肌肤】毛孔紧致黑面膜,,
2***妙,PLUS会员,"<div class=""comment-star star1""></div>",使用感受：单层的，补水效果差。精华都不黏,,,2020-06-15 21:25,【紧致肌肤】毛孔紧致黑面膜,,
u***4,,"<div class=""comment-star star1""></div>",?买过的最好的面膜，包装自带开口的。,,,,毛孔紧致黑炭面膜,2018-12-13 21:03,
****o,PLUS会员,"<div class=""comment-star star1""></div>",包装破破烂烂的，都不知道被压成什么样子了,毛孔紧致黑炭面膜,,,,,2019-03-31 21:13
森***r,PLUS会员,"<div class=""comment-star star1""></div>",面膜掉毛，晚上用完，第二天脸上有毛。,毛孔紧致黑炭面膜,,,,,2019-05-27 20:49
****c,PLUS会员,"<div class=""comment-star star1""></div>",补水效果差像假货。越贴越干,【紧致肌肤】毛孔紧致黑面膜,2020-11-01 01:33,,,,
O***G,,"<div class=""comment-star star1""></div>",面膜有点不像正品，面膜里面没有logo,,,2020-06-23 16:50,【紧致肌肤】毛孔紧致黑面膜,,
胖***基,,"<div class=""comment-star star1""></div>",两盒都是没有密封的，什么都没有，和中间的比较下,,,,毛孔紧致黑炭面膜,2019-06-10 00:01,
****D,,"<div class=""comment-star star1""></div>",产品质感：一股奇怪的味道，我吐了,【紧致细腻】毛孔紧致黑面膜,,,,,2020-04-19 19:46
****9,,"<div class=""comment-star star1""></div>",不好，用完长痘痘。气死我了！,【紧致肌肤】毛孔紧致黑面膜,2020-07-10 23:21,,,,
1***p,,"<div class=""comment-star star1""></div>",盒子为什么拆成这种，我可以理解成拆了后放进去的吗，吓得不敢买了,,,2018-04-20 10:52,毛孔紧致黑炭面膜10片,,
防***燕,,"<div class=""comment-star star1""></div>",买完还没收到就降价了，发现所谓的做活动，全是套路,【清洁收缩毛孔】毛孔紧致黑面膜,2020-12-15 13:38,,,,
沙***少,,"<div class=""comment-star star1""></div>",这面膜怎么鼻子部位没有的，难道是买到了假货,,,2017-06-17 00:08,毛孔紧致黑炭面膜10片,,
浓***致,,"<div class=""comment-star star1""></div>",用了一张，长了好多好多豆，没敢用了，骇人,毛孔紧致黑炭面膜,,,,,2019-01-21 18:49
j***4,PLUS会员,"<div class=""comment-star star1""></div>",第一次买的还不错这一次买的怎么像假的一样两次买的都不一样醉了,毛孔紧致黑炭面膜10片,2018-05-23 00:10,,,,
****t,PLUS会员,"<div class=""comment-star star1""></div>",基本上每盒都被开封过，封口处透明胶还有手印,【紧致细腻】毛孔紧致黑面膜,,,,,2020-05-24 14:13
q***4,,"<div class=""comment-star star1""></div>",可以说没有任何效果，京东不值得信赖。,【紧致肌肤】毛孔紧致黑面膜,2020-10-22 03:31,,,,
1***p,,"<div class=""comment-star star1""></div>",面膜质量差，没的之前买的好，相差太大,【紧致细腻】毛孔紧致黑面膜,,,,,2019-11-15 11:05
f***B,,"<div class=""comment-star star1""></div>",商家故意提高价格再卖低价，感觉效果也不是很好,,,2017-11-10 17:03,毛孔紧致黑炭面膜10片,,
****y,,"<div class=""comment-star star1""></div>",盒子收到口都是分开的，感觉像别人退回的又发给我了，一般般，不确定真假.,,,,毛孔紧致黑炭面膜,2019-08-23 08:33,
C***e,PLUS会员,"<div class=""comment-star star1""></div>",不知道发生什么事包装成了这样不知道是真是假,,,2018-06-29 23:56,毛孔紧致黑炭面膜10片,,
****8,,"<div class=""comment-star star1""></div>",不知真假，包装坏了，没效果还长痘！,毛孔紧致黑炭面膜10片,2016-11-17 14:05,,,,
6***c,PLUS会员,"<div class=""comment-star star1""></div>",没有精华液，没几分钟就干了，慎拍,【紧致肌肤】毛孔紧致黑面膜,2020-07-28 23:43,,,,
u***g,,"<div class=""comment-star star1""></div>",快递员送货上门，还有意见，对其他同一个地方取快递的还背后说人,毛孔紧致黑炭面膜10片,2018-08-21 11:51,,,,
X***S,,"<div class=""comment-star star1""></div>",我想说这个面膜也不是那么次，包装能不能用点心。,毛孔紧致黑炭面膜10片,2017-12-30 15:37,,,,
****k,,"<div class=""comment-star star1""></div>",包装盒都压坏了，包装盒上的码扫不出来，不知道是不是正品？？？,毛孔紧致黑炭面膜,,,,,2019-01-16 18:42
付***语,,"<div class=""comment-star star1""></div>",降价了，可我还没打开,毛孔紧致黑炭面膜10片,2017-07-21 12:33,,,,
魂***a,,"<div class=""comment-star star1""></div>",一星给质量，但是第一天买完第二天就降价还不给补差价属实有点瓜皮了吧？,【紧致细腻】毛孔紧致黑面膜,,,,,2019-11-14 01:41
****.,PLUS会员,"<div class=""comment-star star1""></div>",盒子是拆过的，不满意,毛孔紧致黑炭面膜10片,2017-10-22 22:00,,,,
