用户名,会员,星级,评论,类型1,评论时间1,评论时间2,类型2,评论时间3,评论时间4
新***义,PLUS会员,"<div class=""comment-star star1""></div>",为什么打开快递包装，里面盒子是破的？,,,2018/5/2 9:20,胶原蛋白面膜10片,,
****w,,"<div class=""comment-star star1""></div>",不是很满意，面膜是去年的积压货,胶原蛋白面膜10片,,,,,
小***6,PLUS会员,"<div class=""comment-star star1""></div>",这包装真省事，都不用我拆了！,,,2018/8/17 12:01,胶原蛋白面膜10片,,
****f,,"<div class=""comment-star star1""></div>",一般不怎么好用，个人觉得,【弹力紧致】胶原蛋白面膜,,,,,2020/3/8 12:31
u***o,,"<div class=""comment-star star1""></div>",收到就是开的，也不知道为什么！,,,,胶原蛋白面膜,2018/11/3 18:35,
宝***猪,PLUS会员,"<div class=""comment-star star1""></div>",刚收到，包装都是打开的，这是什么情况？,,,2017/12/13 11:59,胶原蛋白面膜10片,,
u***p,,"<div class=""comment-star star1""></div>",没有密封条，感觉被拆过,胶原蛋白面膜,,,,,2019/7/9 22:13
深***洋,PLUS会员,"<div class=""comment-star star1""></div>",过敏用这个牌子的面膜,胶原蛋白面膜10片,2018/6/2 20:52,,,,
****j,PLUS会员,"<div class=""comment-star star1""></div>",包装不好，像是被打开过,,,2018/4/8 19:40,胶原蛋白面膜10片,,
u***x,PLUS会员,"<div class=""comment-star star1""></div>",包装盒都是拆开，烂了的,胶原蛋白面膜10片,2017/12/6 20:39,,,,
h***6,,"<div class=""comment-star star1""></div>",包装是开的，感觉是假的,,,2020/9/22 19:36,【提亮紧致】胶原蛋白面膜,,
C***净,PLUS会员,"<div class=""comment-star star1""></div>",盒子都给别人开封过的,【提亮紧致】胶原蛋白面膜,2020/10/31 13:41,,,,
l***语,,"<div class=""comment-star star1""></div>",不开心盒子都烂了包装盒是打开的状态,胶原蛋白面膜10片,2017/11/14 19:54,,,,
m***磊,,"<div class=""comment-star star1""></div>",买了两个包装都是破的直接没法忍受,,,,【弹力紧致】胶原蛋白面膜,2020/3/9 21:32,
****u,,"<div class=""comment-star star1""></div>",产品包装盒是被打开过的,胶原蛋白面膜10片,2017/12/13 21:52,,,,
****r,,"<div class=""comment-star star1""></div>",包装简陋，脏兮兮的感觉像好久的压箱底货了,胶原蛋白面膜,,,,,2019/3/7 11:40
a***0,PLUS会员,"<div class=""comment-star star1""></div>",不知道是不是正品，有一盒被开过……,胶原蛋白面膜10片,2018/6/2 21:12,,,,
u***a,,"<div class=""comment-star star1""></div>",水份少，干干的，不是正品,胶原蛋白面膜10片,2018/4/16 17:38,,,,
****n,,"<div class=""comment-star star1""></div>",这次买的没有上几次好干干的,胶原蛋白面膜,,,,,2019/3/4 7:53
****9,,"<div class=""comment-star star1""></div>",购物感受好差，送到打开是这样的……,,,,胶原蛋白面膜,2018/10/4 11:30,
****a,,"<div class=""comment-star star1""></div>",包装口全开了，坏的。不知道是不是正品，,,,,胶原蛋白面膜,2018/11/17 13:30,
****H,,"<div class=""comment-star star1""></div>",都开了外面有防伪有什么用,,,,【弹力紧致】胶原蛋白面膜,2020/1/23 10:35,
****x,,"<div class=""comment-star star1""></div>",打开快就看到包装被拆开了,,,2018/2/2 16:20,胶原蛋白面膜10片,,
u***i,,"<div class=""comment-star star1""></div>",封条包装被拆开过，假货,胶原蛋白面膜10片,2018/5/29 0:15,,,,
****f,,"<div class=""comment-star star1""></div>",以后改善一下包装吧，都烂了,,,2020/8/5 20:22,【提亮紧致】胶原蛋白面膜,,
****n,,"<div class=""comment-star star1""></div>",打开包装就是开着的，货到付款，不能退！后悔！,,,,胶原蛋白面膜,2019/8/1 21:13,
****i,,"<div class=""comment-star star1""></div>",到货还没用发现已经被拆。。。。,,,2017/12/9 19:43,胶原蛋白面膜10片,,
j***头,,"<div class=""comment-star star1""></div>",很一般，没有多余的精华液,,,,胶原蛋白面膜,2019/6/10 16:10,
u***t,PLUS会员,"<div class=""comment-star star1""></div>",这次送来的和商品图片不一致,胶原蛋白面膜10片,2016/11/13 20:26,,,,
鸟***歌,PLUS会员,"<div class=""comment-star star1""></div>",东西怎样不知道，但送货给一星,胶原蛋白面膜10片,2017/10/19 18:59,,,,
三***灬,,"<div class=""comment-star star1""></div>",这个价格，忽高忽低，我也是醉了,胶原蛋白面膜10片,2016/12/15 16:22,,,,
u***b,,"<div class=""comment-star star1""></div>",感觉没有上次的好，不知道怎么回事,胶原蛋白面膜10片,2017/11/5 17:04,,,,
****u,,"<div class=""comment-star star1""></div>",有二盒打开过，就像散装一一样,,,2020/8/28 21:38,【提亮紧致】胶原蛋白面膜,,
谨***慎,,"<div class=""comment-star star1""></div>",这个是被拆过的…给个说法,,,,胶原蛋白面膜,2019/3/2 12:28,
z***3,PLUS会员,"<div class=""comment-star star1""></div>",同样的商品包装不一样联系京东客服联系不上,,,2018/3/23 20:30,胶原蛋白面膜10片,,
快***光,PLUS会员,"<div class=""comment-star star1""></div>",**，前天买的打8折，今天就满199减去100，差价怎么算，?,胶原蛋白面膜10片,2017/10/12 18:31,,,,
辉***属,,"<div class=""comment-star star1""></div>",送来的时候盒子底下是漏的，，明显盒子拆开过，，,,,,胶原蛋白面膜,2018/11/7 18:58,
含***8,PLUS会员,"<div class=""comment-star star1""></div>",我这货还没收到那你们怎么就自动算我收货了？,胶原蛋白面膜10片,2017/12/20 20:08,,,,
u***a,,"<div class=""comment-star star1""></div>",条码扫不出来包装也是拆了的！,,,2018/2/5 18:00,胶原蛋白面膜10片,,
****o,,"<div class=""comment-star star1""></div>",皮肤用后居然红肿，痛，不介意用这个,胶原蛋白面膜10片,2017/11/22 9:28,,,,
1***3,,"<div class=""comment-star star1""></div>",促销买的不好，没有之前的质量好不是正品,【弹力紧致】胶原蛋白面膜,,,,,2020/1/10 10:48
4***7,,"<div class=""comment-star star1""></div>",包装封口有被拆开的痕迹，假的吧,,,2017/8/29 18:25,胶原蛋白面膜10片,,
D***0,,"<div class=""comment-star star1""></div>",不好用，京东秒杀的东西一般都是不好的,胶原蛋白面膜,,,,,2019/6/23 23:37
Z***0,,"<div class=""comment-star star1""></div>",面膜补水还可以，就是有点厚,胶原蛋白面膜10片,2017/11/4 22:05,,,,
g***8,,"<div class=""comment-star star1""></div>",不是真品不好用，劝大家不要贪便宜,胶原蛋白面膜10片,2018/8/15 12:01,,,,
涵***颖,PLUS会员,"<div class=""comment-star star1""></div>",用了后有微痛感，与在韩国买的不一样。,,,,,,
****f,,"<div class=""comment-star star1""></div>",觉着搞活动的变了跟以前的不一样了,胶原蛋白面膜,,,,,2019/3/9 18:01
山***沂,,"<div class=""comment-star star1""></div>",希望快递员好好保护这个。都收钱了。,胶原蛋白面膜10片,2017/8/2 9:49,,,,
谢***儿,,"<div class=""comment-star star1""></div>",用了之后长痘痘。还长了很多。,胶原蛋白面膜,,,,,2019/4/17 17:11
大***鳖,PLUS会员,"<div class=""comment-star star1""></div>",没有更差，只有最差，最差，差,【提亮紧致】胶原蛋白面膜,2020/11/8 23:02,,,,
我***L,,"<div class=""comment-star star1""></div>",运输有问题，包装被撞褶皱了，不满意的一次购物,,,2017/8/27 22:24,胶原蛋白面膜10片,,
u***x,PLUS会员,"<div class=""comment-star star1""></div>",是正品吗？我用着怎么有刺痒的感觉。,胶原蛋白面膜10片,2017/6/19 10:48,,,,
b***A,,"<div class=""comment-star star1""></div>",自己想了能买多少好东西啊，用了一张就感觉是假的，,胶原蛋白面膜10片,,,,,
****c,,"<div class=""comment-star star1""></div>",买来送人的，但是过期了过期了过期了！,胶原蛋白面膜10片,2018/1/23 16:46,,,,
y***7,PLUS会员,"<div class=""comment-star star1""></div>",网购10年，你家的面膜是真不好用!,【弹力紧致】胶原蛋白面膜,,,,,2020/3/13 21:34
z***3,,"<div class=""comment-star star1""></div>",还没用，开箱包装就是破的。,,,2020/12/27 16:00,【盈润光滑弹嫩】胶原蛋白面膜,,
****1,PLUS会员,"<div class=""comment-star star1""></div>",快递是挺快，东西也没少，但是这样我还怎么送人,,,,胶原蛋白面膜,2019/6/17 13:25,
欣***吖,,"<div class=""comment-star star1""></div>",面膜盒没有密封像是被拆开过一样,【弹力紧致】胶原蛋白面膜,,,,,2020/2/20 15:34
犇***羴,PLUS会员,"<div class=""comment-star star1""></div>",降价不让保价，还解释不出个所以然来,,,,胶原蛋白面膜,2018/11/1 23:08,
肥***i,,"<div class=""comment-star star1""></div>",快递是快，东西也没少，包装盒还帮我打开了！,,,,【弹力紧致】胶原蛋白面膜,2020/3/8 19:23,
q***4,,"<div class=""comment-star star1""></div>",没有作用，没有作用，没有作用。,【提亮紧致】胶原蛋白面膜,2020/10/22 3:31,,,,
啊***崔,,"<div class=""comment-star star1""></div>",味道和我之前用的不一样，怀疑是@货,胶原蛋白面膜10片,2018/9/22 10:12,,,,
u***z,,"<div class=""comment-star star1""></div>",怀疑是假的呐面膜比以前小精华液也少,胶原蛋白面膜10片,2018/7/2 10:48,,,,
****t,PLUS会员,"<div class=""comment-star star1""></div>",哇回来都这样了，我真是怀疑是不是正品,,,,胶原蛋白面膜,2018/10/6 19:02,
****c,PLUS会员,"<div class=""comment-star star1""></div>",产品质感：取出来都快干了，质量不如以前了,【弹力紧致】胶原蛋白面膜,,,,,2019/12/26 21:39
****e,,"<div class=""comment-star star1""></div>",不想说什么了，你们自己看吧。,胶原蛋白面膜10片,2017/12/13 11:51,,,,
何***8,,"<div class=""comment-star star1""></div>",刚刚买完一两天就降价了，还不给保价，真的是醉了,【弹力紧致】胶原蛋白面膜,,,,,2019/11/4 8:11
诗***沁,PLUS会员,"<div class=""comment-star star1""></div>",刚收到货，就降价，好过分呀，这商品还有质量保障吗,胶原蛋白面膜,,,,,2019/8/5 16:42
用***_,PLUS会员,"<div class=""comment-star star1""></div>",到了还没用，包装直接撕碎的？这种能发货？,,,,【弹力紧致】胶原蛋白面膜,2019/12/13 12:41,
爱***8,PLUS会员,"<div class=""comment-star star1""></div>",太干了，不好用，比以前买的差多了,【提亮紧致】胶原蛋白面膜,2020/9/17 21:19,,,,
高***5,,"<div class=""comment-star star1""></div>",快递盒是牛奶盒，有一盒面膜包装破损。,,,2020/6/18 20:06,【提亮紧致】胶原蛋白面膜,,
s***2,,"<div class=""comment-star star1""></div>",贴上一点效果都没有，钱都打了水漂，难过！,胶原蛋白面膜,,,,,2019/2/11 9:46
穷***采,,"<div class=""comment-star star1""></div>",我一定是买了假面膜，从没遇到过这般质量,胶原蛋白面膜10片,2017/11/15 22:17,,,,
u***t,,"<div class=""comment-star star1""></div>",没有塑封膜，商品渠道让人怀疑，是否正品。,胶原蛋白面膜10片,2017/12/20 21:03,,,,
H***8,,"<div class=""comment-star star1""></div>",刚买了就降价，我也是醉了，这样的商家，怎么相信你？,,,,胶原蛋白面膜,2018/11/17 21:39,
****p,,"<div class=""comment-star star1""></div>",收到快递打开包装一看，包装盒都开了，也不知咋回事,胶原蛋白面膜10片,2017/11/8 14:00,,,,
****a,,"<div class=""comment-star star1""></div>",水少用完脸起皮不会再买了,胶原蛋白面膜,,,,,2019/4/7 22:10
陈***姐,PLUS会员,"<div class=""comment-star star1""></div>",1号下单说好的2号可以到，佛山到广州也要3-4天。这真是龟速,胶原蛋白面膜10片,2018/3/5 8:01,,,,
****d,,"<div class=""comment-star star1""></div>",便宜没好货，一分钱一分质量！,,,2021/1/26 19:54,【盈润光滑弹嫩】胶原蛋白面膜,,
u***i,,"<div class=""comment-star star1""></div>",包装都烂了，都散出来了，怎么用？？？？？！！！！,胶原蛋白面膜10片,2017/10/20 14:45,,,,
希***a,,"<div class=""comment-star star1""></div>",买了三盒有两盒是开的不知道是包装问题还是什么,胶原蛋白面膜10片,2017/10/19 9:40,,,,
李***方,,"<div class=""comment-star star1""></div>",建议大家别买，水货，用过后脸痒,【盈润光滑弹嫩】胶原蛋白面膜,2020/12/14 19:45,,,,
****t,,"<div class=""comment-star star1""></div>",不好，产品不好，快递非常好，也很快，史上最快的快递,胶原蛋白面膜,,,,,2018/12/17 9:03
****g,,"<div class=""comment-star star1""></div>",用起来不怎么样，精华少的要命，,胶原蛋白面膜,,,,,2019/6/23 22:16
****e,PLUS会员,"<div class=""comment-star star1""></div>",第一次用，一点精华没有，也不知道是不是真的,胶原蛋白面膜,,,,,2019/6/27 12:56
b***7,,"<div class=""comment-star star1""></div>",不怎么样，感觉效果不好,【提亮紧致】胶原蛋白面膜,2020/7/18 14:39,,,,
楚***尘,PLUS会员,"<div class=""comment-star star1""></div>",好烦这个包装没一个隔离纸的，每次要摊开面膜都要弄好久。,胶原蛋白面膜10片,2016/12/1 18:36,,,,
****q,PLUS会员,"<div class=""comment-star star1""></div>",精华确实有点少，使用感受：很快就干了,【弹力紧致】胶原蛋白面膜,,,,,2019/11/30 9:24
****e,,"<div class=""comment-star star1""></div>",要送人的这盒子破的有点说不过去了吧...,,,,【弹力紧致】胶原蛋白面膜,2019/11/11 11:03,
****h,,"<div class=""comment-star star1""></div>",自己看看这盒子包装也不弄好一点用了再来评价,,,,胶原蛋白面膜,2018/11/21 11:52,
****v,,"<div class=""comment-star star1""></div>",为何每次买的面膜质量都不一样，精华少的可怜,胶原蛋白面膜,,,,,2019/9/2 17:42
****b,PLUS会员,"<div class=""comment-star star1""></div>",暂时只用了这一张，但是，用了第二天爆痘了,胶原蛋白面膜10片,2018/5/23 20:08,,,,
u***1,,"<div class=""comment-star star1""></div>",包装坏了，而且一起买的没有一起发，就用一个袋子装过来,胶原蛋白面膜10片,2017/8/11 16:08,,,,
****I,,"<div class=""comment-star star1""></div>",不好用，补水效果不好，不服帖！,【弹力紧致】胶原蛋白面膜,,,,,2019/11/12 17:21
晴***妈,PLUS会员,"<div class=""comment-star star1""></div>",面膜收到了，还没用，不过盒子都压扁了！,胶原蛋白面膜10片,2016/10/25 1:27,,,,
F***8,,"<div class=""comment-star star1""></div>",不好，面膜厚不柔软，精华液少又稀,胶原蛋白面膜,,,,,2019/9/4 19:40
狼***6,PLUS会员,"<div class=""comment-star star1""></div>",还没收到货就改优惠政策，就你家套路深，一点都没保价！,【弹力紧致】胶原蛋白面膜,,,,,2019/11/5 10:04
****8,,"<div class=""comment-star star1""></div>",不知真假，包装坏了，没效果还长痘！,胶原蛋白面膜10片,2016/11/17 14:05,,,,
权***呦,,"<div class=""comment-star star1""></div>",感觉没啥**，用完脸上还干巴巴,【弹力紧致】胶原蛋白面膜,,,,,2020/3/20 21:28
****e,,"<div class=""comment-star star1""></div>",拆开包装盒子是烂的，就像被打开过一样，不高兴,胶原蛋白面膜10片,2017/11/14 21:28,,,,
u***j,PLUS会员,"<div class=""comment-star star1""></div>",为什么拿着就是开的，外面没胶纸封好,,,2020/9/27 23:00,【提亮紧致】胶原蛋白面膜,,
爱***6,PLUS会员,"<div class=""comment-star star1""></div>",用了会过敏，脸上起了红点和小疙瘩！,胶原蛋白面膜,,,,,2019/4/4 22:40
u***r,,"<div class=""comment-star star1""></div>",精华少了好多，，但面膜效果是不错的,【弹力紧致】胶原蛋白面膜,,,,,2019/12/7 10:20
****k,,"<div class=""comment-star star1""></div>",没有一滴精华?要是正品我就佩服这个品牌的很,【提亮紧致】胶原蛋白面膜,2020/11/7 13:46,,,,
u***g,PLUS会员,"<div class=""comment-star star1""></div>",面膜纸为啥比我从韩国带回来的小呢，脸都盖不全！,胶原蛋白面膜10片,2017/11/19 9:19,,,,
谦***S,,"<div class=""comment-star star1""></div>",包装越来越糊弄，三盒包装都破损，看着都生气,胶原蛋白面膜,,,,,2019/6/15 13:05
哇***啊,,"<div class=""comment-star star1""></div>",便宜没好货，不像之前用过都那样好,胶原蛋白面膜,,,,,2019/7/5 10:13
T***7,PLUS会员,"<div class=""comment-star star1""></div>",贪了便宜感觉不是正品不好用，用完脸会乌突突,胶原蛋白面膜10片,2017/11/20 11:53,,,,
M***x,PLUS会员,"<div class=""comment-star star1""></div>",没有什么精华，几分钟就干掉！,【提亮紧致】胶原蛋白面膜,2020/7/11 17:15,,,,
u***u,,"<div class=""comment-star star1""></div>",包装不好，盒子都压扁了不知道是不是正品条码都是粘上勒,,,2018/8/23 11:54,胶原蛋白面膜10片,,
****6,,"<div class=""comment-star star1""></div>",面膜怎么那么干，没什么精华液，这么抠,胶原蛋白面膜,,,,,2019/6/14 22:47
****j,,"<div class=""comment-star star1""></div>",使用了几次没有什么效果有点后悔了下次不买了,胶原蛋白面膜10片,2016/10/15 11:25,,,,
****w,,"<div class=""comment-star star1""></div>",不好，没有我在唯买的用着服帖，特厚,胶原蛋白面膜,,,,,2018/11/23 8:47
哥***坏,PLUS会员,"<div class=""comment-star star1""></div>",包装盒底部完全是拆开过的，无法理解什么情况,,,2018/5/18 21:50,胶原蛋白面膜10片,,
****y,,"<div class=""comment-star star1""></div>",没看到面膜不知道谁收了不予评价,胶原蛋白面膜,,,,,2018/11/27 13:13
****m,,"<div class=""comment-star star1""></div>",还没有用，皮肤是过敏性的，害怕伤皮肤,胶原蛋白面膜10片,2016/11/30 16:11,,,,
小***1,,"<div class=""comment-star star1""></div>",包装盒是打开过的，懒得换就这样吧，心里不舒服，,胶原蛋白面膜,,,,,2018/11/21 14:22
****w,,"<div class=""comment-star star1""></div>",不好用，面膜纸不对称，精华太少,胶原蛋白面膜,,,,,2019/6/18 22:05
****h,,"<div class=""comment-star star1""></div>",这款面膜是不是变了，敷起来没有以前好，严重怀疑,胶原蛋白面膜,,,,,2019/7/7 22:53
浏***岽,PLUS会员,"<div class=""comment-star star1""></div>",怀疑是假面膜，后面买的用了皮肤有问题，不敢用了,胶原蛋白面膜10片,,,,,
****s,,"<div class=""comment-star star1""></div>",不好用，没效果，不补水，不服帖,胶原蛋白面膜,,,,,2019/10/24 10:05
****l,,"<div class=""comment-star star1""></div>",买了三盒，说好赠送的直接不送，客服也不解决,【提亮紧致】胶原蛋白面膜,2020/9/1 11:18,,,,
L***皓,,"<div class=""comment-star star1""></div>",我不知道怎么说了买面膜它寄闹钟,胶原蛋白面膜10片,2017/11/15 13:03,,,,
p***O,,"<div class=""comment-star star1""></div>",以前刚买的时候感觉还可以！一直用！可这两次买了！真心的没以前货！质量好！,胶原蛋白面膜,,,,,2019/3/13 0:10
****e,,"<div class=""comment-star star1""></div>",产品质感：一般补水效果：一般使用感受：不好,【光滑弹嫩】胶原蛋白面膜,2021/3/29 21:20,,,,
i***v,,"<div class=""comment-star star1""></div>",第一次购精华水好多第二个购面膜干干的没水份,胶原蛋白面膜,,,,,2019/4/22 13:40
L***7,PLUS会员,"<div class=""comment-star star1""></div>",大家自己看吧，包装条码都对不上，还说不支持扫码验证，要买的要慎重了,,,,胶原蛋白面膜,2019/8/4 19:25,
****n,,"<div class=""comment-star star1""></div>",这次好买的明显没上次的好而且包装的封口竟然贴的是什么套装品,胶原蛋白面膜10片,2017/12/5 0:10,,,,
d***年,,"<div class=""comment-star star1""></div>",和脸不贴，不好用，水分不够,【提亮紧致】胶原蛋白面膜,2020/9/19 13:04,,,,
任***飞,PLUS会员,"<div class=""comment-star star1""></div>",才买了几天活动降价20，让我这个一次性买了一堆的人情何以堪？？？,【弹力紧致】胶原蛋白面膜,,,,,2020/2/28 20:41
****4,,"<div class=""comment-star star1""></div>",使用感受：膜打开有点干。精华太少了。,【提亮紧致】胶原蛋白面膜,2020/11/7 16:23,,,,
****h,,"<div class=""comment-star star1""></div>",收到盒子是没有密封的，联系客服全是机器人，郁闷,,,2020/9/10 11:35,【提亮紧致】胶原蛋白面膜,,
s***8,,"<div class=""comment-star star1""></div>",差差，贴了长痘了，皮肤越来越干，还过敏了,胶原蛋白面膜10片,2017/8/19 15:43,,,,
u***q,,"<div class=""comment-star star1""></div>",面膜不错就是出库太慢用了24小时才从仓库出来,胶原蛋白面膜10片,2018/3/28 12:23,,,,
1***n,,"<div class=""comment-star star1""></div>",和上次买的没用完的对比不一样啊，这次薄了很多，,【莹润肌肤】胶原蛋白面膜,,,,,2020/5/17 9:16
M***然,,"<div class=""comment-star star1""></div>",第二次买了，觉得不错才继续买明显比第一次差的远不像是正品,胶原蛋白面膜10片,2018/7/23 12:09,,,,
贞***武,PLUS会员,"<div class=""comment-star star1""></div>",不一样包装里面膜的材质也是不一样,胶原蛋白面膜10片,2016/12/19 19:01,,,,
u***w,,"<div class=""comment-star star1""></div>",假的用了两片不敢用了苏小红买的都不一样,胶原蛋白面膜10片,2018/3/23 21:34,,,,
C***o,,"<div class=""comment-star star1""></div>",不明真假，与之一起买的另外已和包装盒的外表都被撕开了，不是密封状态。,胶原蛋白面膜10片,2018/2/1 16:24,,,,
七***Y,,"<div class=""comment-star star1""></div>",不好用用了起痘痘面膜纸太厚,胶原蛋白面膜10片,2017/9/20 21:22,,,,
w***4,,"<div class=""comment-star star1""></div>",补水效果：比旗舰店精华少太多了，几乎没有,【弹力紧致】胶原蛋白面膜,,,,,2019/12/10 10:55
B***_,,"<div class=""comment-star star1""></div>",包装带都不是封好的，被人拆开了，不知道是不是正品,胶原蛋白面膜10片,2017/11/15 3:47,,,,
****t,,"<div class=""comment-star star1""></div>",前天买的，昨天用了，产品没以前好产品是假的，而且包装口就没封。,胶原蛋白面膜,,,,,2019/7/29 12:02
落***E,,"<div class=""comment-star star1""></div>",补水效果：一般适合肤质：干皮贴合效果：挺好使用感受：一般产品质感：一般,胶原蛋白面膜,,,,,2019/9/18 23:57
****u,,"<div class=""comment-star star1""></div>",不好，包装是打开的，不是正品！快递不送货上门影响京东信誉！,,,2017/10/11 20:02,胶原蛋白面膜10片,,
吃***梦,,"<div class=""comment-star star1""></div>",为什么盒子是开的啊，发货时不能细心点,,,2017/12/25 18:29,胶原蛋白面膜10片,,
****8,,"<div class=""comment-star star1""></div>",产品质感：膜有点厚使用感受：水份太少补水效果：一般,【弹力紧致】胶原蛋白面膜,,,,,2019/11/14 20:43
g***k,PLUS会员,"<div class=""comment-star star1""></div>",补水效果：和以前比，水分超级少，辣鸡产品。,【弹力紧致】胶原蛋白面膜,,,,,2020/2/20 23:30
魂***a,,"<div class=""comment-star star1""></div>",一星给质量，但是第一天买完第二天就降价还不给补差价属实有点瓜皮了吧？,【弹力紧致】胶原蛋白面膜,,,,,2019/11/14 1:41
****g,,"<div class=""comment-star star1""></div>",没收到货，被人给偷了,胶原蛋白面膜10片,2017/11/13 13:06,,,,
