用户名,会员,星级,评论,采集时间,类型1,类型2,评论时间1,评论时间2,评论时间3
1***p,,"<div class=""comment-star star3""></div>",物流挺快，看封面包装就已经少一星了。用一个礼拜我看看效果才，在修改。,55:50.8,毛孔紧致黑炭面膜10片,,2017/9/9 8:26,,
c***8,,"<div class=""comment-star star3""></div>",比较服帖，还行吧，要是精华再多一点就好了，感觉很少,55:50.9,【紧致肌肤】毛孔紧致黑面膜,,2020/11/10 10:45,,
g***陶,,"<div class=""comment-star star3""></div>",这个还没用但愿好用吧希望不要像那个胶原蛋白的那样可怕,55:51.0,毛孔紧致黑炭面膜,,,,2019/1/15 15:30
兮***娥,,"<div class=""comment-star star3""></div>",还没有用，感觉好像是假的，标签是帖上去的，用过再来评价，不过京东快递很好，我说放在房东那，他还不放心叫房东听电话，再三确定，3颗星是给快递的,55:51.1,毛孔紧致黑炭面膜10片,,2017/8/8 18:23,,
Y***M,,"<div class=""comment-star star3""></div>",敷着还行就是不知道刚打开的时候拿出来为什么会有泡泡？,55:51.2,【紧致肌肤】毛孔紧致黑面膜,,2020/11/20 12:17,,
****t,PLUS会员,"<div class=""comment-star star3""></div>",没有补水的那款好！！！！！！！！,55:51.3,【紧致肌肤】毛孔紧致黑面膜,,2020/6/23 15:47,,
a***1,,"<div class=""comment-star star3""></div>",我觉得不如保湿的好用，很快就干了，也没啥特别感觉,55:51.3,【紧致细腻】毛孔紧致黑炭面膜,,,,2019/10/31 11:55
u***o,,"<div class=""comment-star star3""></div>",前几天买199减70～现在买199减100！～买两合才143，我买的时候168！～不知道下个月会不会减到199减到120呢？,55:51.5,毛孔紧致黑炭面膜10片,,2016/9/27 1:15,,
****4,,"<div class=""comment-star star3""></div>",贴合效果：还可以使用感受：精华液不黏稠比较舒服补水效果：还不错吧,55:51.6,【紧致细腻】毛孔紧致黑面膜,,,,2019/11/11 0:21
珊***6,,"<div class=""comment-star star3""></div>",还没用，不知道怎么回事，有一盒是打开着的，希望有效果……,55:52.3,【紧致细腻】毛孔紧致黑面膜,,,,2020/4/19 12:58
秦***琴,PLUS会员,"<div class=""comment-star star3""></div>",原来也用过，只是在超市买的，请问是正品吗？咋感觉怪怪的呢…暂时好评,55:52.3,毛孔紧致黑炭面膜,,,,2019/10/13 14:08
_***_,PLUS会员,"<div class=""comment-star star3""></div>",首先面膜的第一盒包装就有问题，然后和客服交流没有能很好的得到解决，面膜本身质量应该没什么问题,55:52.4,毛孔紧致黑炭面膜10片,,2017/8/6 12:28,,
1***p,PLUS会员,"<div class=""comment-star star3""></div>",还没用，用了之后再来评价，据说挺好的，就是包装不怎么样，都压坏了，希望以后注意,55:52.5,毛孔紧致黑炭面膜10片,,2016/7/26 9:11,,
戒***嗳,PLUS会员,"<div class=""comment-star star3""></div>",一直用这款，非常好用，非常好用，很满意的一次购物，下次还会再来的。,55:52.6,,,,,
u***u,,"<div class=""comment-star star3""></div>",送的超级快第二天就到了但是都开口了不晓得有没有问题。。尤其是这个掀盖的。。。。,55:52.7,,【紧致肌肤】毛孔紧致黑面膜,,2020/11/12 14:44,
u***b,PLUS会员,"<div class=""comment-star star3""></div>",我是使用了五贴后才来评论的，还行，就是没感觉有什么变化。可能得用好几盒后吧。,55:52.8,毛孔紧致黑炭面膜10片,,2017/5/10 11:26,,
u***n,,"<div class=""comment-star star3""></div>",还行吧，只是没有丽得姿的补水效果好，因人而异吧，肤质不一样,55:52.9,毛孔紧致黑炭面膜10片,,2016/10/17 4:27,,
亲***8,,"<div class=""comment-star star3""></div>",还可以，就是不够长久补水，有点依赖性，一用马上出效果，好惊啊,55:52.9,毛孔紧致黑炭面膜10片,,2016/10/7 10:45,,
****y,,"<div class=""comment-star star3""></div>",才用了两次，是那种淡淡的味道不刺鼻，不知道效果怎么样？希望物有所值！,55:53.0,,毛孔紧致黑炭面膜,,,
n***o,,"<div class=""comment-star star3""></div>",黑面膜质地跟韩国带回来的不一样，很薄一拉就破，效果还可以，分辨不出真假,55:53.6,毛孔紧致黑炭面膜10片,,2017/9/27 17:03,,
e***j,,"<div class=""comment-star star3""></div>",第一次买这个面膜，满减活动买的，就是用时味道有点不喜欢，用完感觉还行。,55:53.7,,毛孔紧致黑炭面膜10片,,2018/6/21 14:36,
****V,,"<div class=""comment-star star3""></div>",产品质感：还行使用感受：一般般贴合效果：还行补水效果：才开始使用，没看到什么效果,55:53.8,【紧致肌肤】毛孔紧致黑面膜,,2020/9/27 8:17,,
B***姐,,"<div class=""comment-star star3""></div>",物流超快，不过感觉没那么好用。拆开面膜时，里面好多一小块一小块黑黑的。???,55:53.9,毛孔紧致黑炭面膜10片,,2018/7/18 12:29,,
****z,PLUS会员,"<div class=""comment-star star3""></div>",价格偏贵，还没使用，不知道效果如何，后续再继续评论，包装还是可以的，就是不知道效果。,55:53.9,毛孔紧致黑炭面膜,,,,2019/8/5 22:37
u***i,,"<div class=""comment-star star3""></div>",刚用上，感觉面膜不规格，不知效果怎样，日后再评价,55:54.0,【清洁收缩毛孔】毛孔紧致黑面膜,,2021/2/24 20:16,,
****k,,"<div class=""comment-star star3""></div>",使用感受：里面的精华特别西一点也不浓精华也不多给水样,55:54.1,【紧致细腻】毛孔紧致黑炭面膜,,,,2019/10/28 16:13
****q,,"<div class=""comment-star star3""></div>",使用感受：用了之后第二天早上脸特别黏，然后过了一会会有一点点痒，不过之后会好，还是可以的,55:54.2,毛孔紧致黑炭面膜,,,,2019/9/9 17:41
坚***豚,PLUS会员,"<div class=""comment-star star3""></div>",促销159三盒买的。盒子包装很不正规的样子，有挤压，不知道真假，先用着吧。以前用过这个牌子的，妈妈反应不错。,55:54.3,,毛孔紧致黑炭面膜,,,
坚***豚,PLUS会员,"<div class=""comment-star star3""></div>",促销159三盒买的。盒子包装很不正规的样子，有挤压，不知道真假，先用着吧。以前用过这个牌子的，妈妈反应不错。,55:54.3,,毛孔紧致黑炭面膜,,,
****c,,"<div class=""comment-star star3""></div>",产品质感：会润使用感受：还行适合肤质：任何补水效果：一般贴合效果：贴合其他特色：无,55:54.8,【紧致肌肤】毛孔紧致黑面膜,,2020/10/24 23:23,,
****0,,"<div class=""comment-star star3""></div>",物流速度快，价格合理,55:54.9,【收缩毛孔】毛孔紧致黑面膜,,2021/6/30 21:53,,
****U,,"<div class=""comment-star star3""></div>",紧致毛孔这款，一般般这款，也没说特别好用，,55:54.9,【收缩毛孔】毛孔紧致黑面膜,,2021/11/16 13:55,,
z***u,PLUS会员,"<div class=""comment-star star3""></div>",用了一次，没看出有什么效果，精华倒是挺多的！希望用久了有效果！,55:55.0,毛孔紧致黑炭面膜10片,,2016/8/23 23:56,,
s***x,,"<div class=""comment-star star3""></div>",个人觉得竹炭清洁毛孔的效果没什么，补水效果没蓝色的好。不算美迪里面好用的,55:55.0,,毛孔紧致黑炭面膜10片,,2017/4/23 21:49,
****j,,"<div class=""comment-star star3""></div>",适合肤质：一般！！！！！！！！！,55:55.1,【紧致肌肤】毛孔紧致黑面膜,,2020/11/10 9:31,,
y***y,PLUS会员,"<div class=""comment-star star3""></div>",这款黑膜没有他们家的胶原蛋白面膜好用，做一般的镇静还可以。,55:55.2,,【收缩毛孔】毛孔紧致黑面膜,,2021/9/24 11:20,
u***h,,"<div class=""comment-star star3""></div>",使用感受：第一次用这款面膜，用了六片，感觉效果不明显，没什么补水的感觉，没我之前用的JM面膜效果好，卖家态度很好，客服也很好，,55:55.2,【紧致细腻】毛孔紧致黑面膜,,,,2020/2/28 8:54
z***3,PLUS会员,"<div class=""comment-star star3""></div>",多次回购当时敷了后脸上很光滑水水的、我比较懒四五天才敷一次、如果两三天用一次效果还是不错的、个人觉得就只有补水保湿效果、毕竟价格也不贵满199减100入手、,55:55.3,,【紧致细腻】毛孔紧致黑面膜,,,
x***8,,"<div class=""comment-star star3""></div>",收到货，用了几次，因为之前用过这个牌子，感觉好不错，外包装和之前买的一样，但是里面的面膜是不一样的，不知道是怎么回事，后来问了店里卖面膜的，她说这款面膜是由国产的和进口的，反正凑合用用吧，本人有轻微过敏，用着还好没有过敏现象。,55:55.5,毛孔紧致黑炭面膜10片,,2016/8/16 9:55,,
