用户名,会员,星级,评论,采集时间,类型1,类型2,评论时间1,评论时间2,评论时间3
u***y,,"<div class=""comment-star star3""></div>",以前都挺好的，这次包装被摔的不像话。,2022-04-23 20:40:52.699,美白黑炭面膜,,,,2019-03-31 23:08
****q,PLUS会员,"<div class=""comment-star star3""></div>",物流很快，但是包装已经坏成这样了,2022-04-23 20:40:52.771,,美白黑炭面膜10片,,2018-07-25 23:29,
****c,,"<div class=""comment-star star3""></div>",还没开始用就从125降到55这是什么意思,2022-04-23 20:40:52.847,美白黑炭面膜10片,,2017-07-12 20:50,,
****s,,"<div class=""comment-star star3""></div>",还可以吧。。还没用。用过再评价,2022-04-23 20:40:52.922,,【焕白因子】美白保湿黑面膜,,,
u***r,,"<div class=""comment-star star3""></div>",正在用现在没啥很明显的效果,2022-04-23 20:40:52.989,美白黑炭面膜10片,,2018-08-15 15:46,,
我***你,,"<div class=""comment-star star3""></div>",刚收到，没用不知道效果怎么样,2022-04-23 20:40:53.079,美白黑炭面膜10片,,2017-12-21 15:27,,
*****,,"<div class=""comment-star star3""></div>",刚收到、不知道效果怎样、期待吧,2022-04-23 20:40:53.133,美白黑炭面膜10片,,2017-12-19 13:41,,
C***c,,"<div class=""comment-star star3""></div>",还没有用，期待着有用的效果。,2022-04-23 20:40:53.207,美白黑炭面膜10片,,,,
崔***子,,"<div class=""comment-star star3""></div>",贴完起痘痘了，不知道是不是真的,2022-04-23 20:40:53.311,美白黑炭面膜10片,,2017-07-22 13:02,,
q***L,,"<div class=""comment-star star3""></div>",感觉用起来还可以，补水,2022-04-23 20:40:53.771,美白黑炭面膜10片,,,,
0***0,,"<div class=""comment-star star3""></div>",还不错用了3贴还没见效果呢,2022-04-23 20:40:53.831,美白黑炭面膜10片,,2017-07-12 20:59,,
****f,PLUS会员,"<div class=""comment-star star3""></div>",不知道怎么说当晚我用了失眠了,2022-04-23 20:40:53.890,美白黑炭面膜10片,,2018-08-10 12:53,,
****z,,"<div class=""comment-star star3""></div>",不错不错...没有看出什么效果?,2022-04-23 20:40:53.956,透亮黑炭面膜10片,,2016-12-16 13:16,,
****z,,"<div class=""comment-star star3""></div>",发货速度挺快的面膜应该是给儿童贴的吧,2022-04-23 20:40:54.021,透亮黑炭面膜10片,,2016-11-21 12:45,,
u***1,,"<div class=""comment-star star3""></div>",用着还可以，就是价格反复太多！,2022-04-23 20:40:54.088,透亮黑炭面膜10片,,2016-11-16 09:39,,
流***在,,"<div class=""comment-star star3""></div>",我也不知道怎么说，就用了一次,2022-04-23 20:40:54.139,美白黑炭面膜,,,,2018-11-29 18:52
****p,,"<div class=""comment-star star3""></div>",一直用这款面膜，还行吧,2022-04-23 20:40:54.196,【美白提亮焕肤】美白保湿黑面膜,,2020-12-18 21:01,,
庭***羽,PLUS会员,"<div class=""comment-star star3""></div>",买给母亲，美白效果可以，还会回购,2022-04-23 20:40:54.261,,美白黑炭面膜10片,,2018-01-25 22:41,
j***k,PLUS会员,"<div class=""comment-star star3""></div>",待用后再评，外观包装不错,2022-04-23 20:40:54.337,美白黑炭面膜10片,,2018-02-15 15:45,,
王***3,,"<div class=""comment-star star3""></div>",地，用了很久，没什么效果,2022-04-23 20:40:54.765,美白黑炭面膜10片,,2017-05-13 00:25,,
****g,,"<div class=""comment-star star3""></div>",还没有用，不知道好不好期待,2022-04-23 20:40:54.830,,美白黑炭面膜10片,,2018-03-02 19:38,
陆***静,PLUS会员,"<div class=""comment-star star3""></div>",放在上班的地方被老鼠咬了。。。。,2022-04-23 20:40:54.886,透亮黑炭面膜10片,,2016-10-12 09:16,,
a***b,,"<div class=""comment-star star3""></div>",收到了。就是还没用不知道好不好,2022-04-23 20:40:54.950,美白黑炭面膜10片,,,,
q***u,,"<div class=""comment-star star3""></div>",香靖味很绒，没什么效果,2022-04-23 20:40:55.025,透亮黑炭面膜10片,,2016-11-30 11:26,,
傷***殤,,"<div class=""comment-star star3""></div>",贴着蛮舒服的，效果不明显,2022-04-23 20:40:55.091,透亮黑炭面膜10片,,2016-09-17 19:49,,
****g,,"<div class=""comment-star star3""></div>",收到未用，用了再评…盒里没有用法说明单,2022-04-23 20:40:55.147,美白黑炭面膜10片,,2018-05-25 19:16,,
****0,,"<div class=""comment-star star3""></div>",感觉还好吧，发物流很快，给你个赞,2022-04-23 20:40:55.217,美白黑炭面膜10片,,,,
苏***货,,"<div class=""comment-star star3""></div>",还可以吧不过效果并不是嗯明显,2022-04-23 20:40:55.282,,美白黑炭面膜10片,,2017-11-09 21:46,
****f,,"<div class=""comment-star star3""></div>",买给妈妈用的，美白效果一般般吧,2022-04-23 20:40:55.372,美白黑炭面膜10片,,2018-03-15 16:13,,
简***0,,"<div class=""comment-star star3""></div>",不知道是不是正品，但价格确实是挺优惠的,2022-04-23 20:40:56.018,美白黑炭面膜10片,,2018-01-29 09:43,,
****2,,"<div class=""comment-star star3""></div>",还不知道怎么样、没有过、等用了再说吧,2022-04-23 20:40:56.084,,美白黑炭面膜10片,,2017-06-29 22:20,
****f,,"<div class=""comment-star star3""></div>",看着还行，不知道好不好用，,2022-04-23 20:40:56.128,美白黑炭面膜10片,,2018-10-09 15:38,,
良***买,,"<div class=""comment-star star3""></div>",还不错，没看出有美白效果哈哈哈哈,2022-04-23 20:40:56.197,美白黑炭面膜,,,,2019-02-10 14:12
2***牙,,"<div class=""comment-star star3""></div>",刚开始用，还没感觉到好不好,2022-04-23 20:40:56.251,美白黑炭面膜10片,,,,
逃***我,,"<div class=""comment-star star3""></div>",精华有点少，有点干，还行吧,2022-04-23 20:40:56.342,美白黑炭面膜10片,,2018-05-18 10:30,,
大***Z,,"<div class=""comment-star star3""></div>",产品不错就是送过来的时候包装破损,2022-04-23 20:40:56.432,【焕白因子】美白保湿黑面膜,,,,2020-04-20 11:24
小***维,,"<div class=""comment-star star3""></div>",补水还行，一直在用，还行,2022-04-23 20:40:56.525,,【补水提亮】美白保湿黑面膜,,2020-11-06 20:43,
s***a,PLUS会员,"<div class=""comment-star star3""></div>",不知道好不好效果无法评估,2022-04-23 20:40:56.600,美白黑炭面膜10片,,2018-06-07 10:04,,
伊***基,PLUS会员,"<div class=""comment-star star3""></div>",还不错，就是有点贵，说了也白说，给豆吧。,2022-04-23 20:40:56.710,美白黑炭面膜10片,,2018-02-24 10:08,,
怼***星,PLUS会员,"<div class=""comment-star star3""></div>",就那样，敷过之后还有一种腻腻的感觉,2022-04-23 20:40:57.176,美白黑炭面膜10片,,2017-05-21 18:05,,
****p,,"<div class=""comment-star star3""></div>",真心话，用了之后还是觉得没什么效果,2022-04-23 20:40:57.301,美白黑炭面膜10片,,2017-06-28 21:36,,
m***y,,"<div class=""comment-star star3""></div>",脸大糊不全，效果嘛有待观察,2022-04-23 20:40:57.396,美白黑炭面膜10片,,2017-09-25 15:12,,
u***c,,"<div class=""comment-star star3""></div>",还没用不过韩国牌子先减两个星祝个兴,2022-04-23 20:40:57.511,,美白黑炭面膜10片,,2017-09-08 19:52,
雪***6,,"<div class=""comment-star star3""></div>",补水还可以，美白效果约等于0。,2022-04-23 20:40:57.595,美白黑炭面膜10片,,,,
S***c,PLUS会员,"<div class=""comment-star star3""></div>",面膜效果一般，快递比较不错,2022-04-23 20:40:57.682,【补水提亮】美白保湿黑面膜,,2020-07-21 11:45,,
王***q,PLUS会员,"<div class=""comment-star star3""></div>",产品质感：一般补水效果：一般贴合效果：不错使用感受：一般,2022-04-23 20:40:57.745,,美白黑炭面膜,,,
****w,PLUS会员,"<div class=""comment-star star3""></div>",产品的精华比以前少了很多的感觉。,2022-04-23 20:40:57.816,【焕白因子】美白保湿黑面膜,,,,2020-02-13 01:33
b***9,,"<div class=""comment-star star3""></div>",促销买的，刚要提单子，一转身价格涨上去了,2022-04-23 20:40:57.877,透亮黑炭面膜10片,,2016-08-30 17:39,,
牛***n,PLUS会员,"<div class=""comment-star star3""></div>",物流速度很快，但是包装太简陋了，买了2盒全破了,2022-04-23 20:40:57.961,美白黑炭面膜10片,,2018-06-19 13:17,,
张***红,,"<div class=""comment-star star3""></div>",618两盒132，下午就成113两盒？活动套路多,2022-04-23 20:40:58.481,【补水提亮】美白保湿黑面膜,,2020-06-19 12:38,,
幻***澜,,"<div class=""comment-star star3""></div>",物流给力，还没用，不知道效果如何,2022-04-23 20:40:58.563,透亮黑炭面膜10片,,2016-12-22 16:16,,
****9,PLUS会员,"<div class=""comment-star star3""></div>",感觉还可以，但是包装都是坏了的，拆过了的,2022-04-23 20:40:58.621,美白黑炭面膜10片,,2018-05-10 20:57,,
u***d,,"<div class=""comment-star star3""></div>",还没用，不过每日期，先给三星，快递小哥100星,2022-04-23 20:40:58.729,美白黑炭面膜10片,,2017-04-24 11:17,,
U***M,,"<div class=""comment-star star3""></div>",目前没有什么效果，还是原来那样,2022-04-23 20:40:58.779,美白黑炭面膜10片,,,,
不***D,,"<div class=""comment-star star3""></div>",首先要说的是，京东物流速度真的很准时不知道第几次买咯！,2022-04-23 20:40:58.867,美白黑炭面膜,,,,2019-05-29 14:30
莎***莎,PLUS会员,"<div class=""comment-star star3""></div>",不知道呢，刚用了另一个，后面再追评……,2022-04-23 20:40:58.961,美白黑炭面膜10片,,2017-04-05 20:46,,
h***O,,"<div class=""comment-star star3""></div>",还没用呢，不过送贺速度挺快的，第二天就到了。,2022-04-23 20:40:59.042,美白黑炭面膜10片,,,,
颖***1,PLUS会员,"<div class=""comment-star star3""></div>",不知道放了多久了。里面都快干了。,2022-04-23 20:40:59.122,美白黑炭面膜10片,,2018-01-19 09:22,,
****3,,"<div class=""comment-star star3""></div>",包装太寒蝉，都漏了，具体效果晚上试试再说,2022-04-23 20:40:59.186,美白黑炭面膜10片,,2017-09-24 15:48,,
****o,,"<div class=""comment-star star3""></div>",还没有用不知道效果怎么样……,2022-04-23 20:40:59.626,美白黑炭面膜10片,,2017-04-27 10:16,,
月***蓝,,"<div class=""comment-star star3""></div>",使用感受：不好用，贴上去很快就干了,2022-04-23 20:40:59.704,【补水提亮】美白保湿黑面膜,,2020-11-20 15:31,,
G***g,,"<div class=""comment-star star3""></div>",刚用了两张，补水还行，美白没看出来,2022-04-23 20:40:59.839,,美白黑炭面膜10片,,2018-08-21 21:39,
B***c,,"<div class=""comment-star star3""></div>",第一次是我妹妹给买的，用的不错打算继续用！,2022-04-23 20:40:59.945,美白黑炭面膜10片,,,,
u***l,,"<div class=""comment-star star3""></div>",好像没什么效果，不过快递小哥不错，速度够快,2022-04-23 20:41:00.038,透亮黑炭面膜10片,,2016-11-14 11:59,,
****b,PLUS会员,"<div class=""comment-star star3""></div>",补水的那个是真不错，这个嘛，不敢恭维,2022-04-23 20:41:00.104,美白黑炭面膜10片,,2018-07-20 12:16,,
捣***泡,PLUS会员,"<div class=""comment-star star3""></div>",还可以，不过精华液不多，一下就干了,2022-04-23 20:41:00.200,美白黑炭面膜10片,,2017-08-01 22:24,,
f***6,PLUS会员,"<div class=""comment-star star3""></div>",补水美白效果都一般，就是送货速度非常快,2022-04-23 20:41:00.313,【焕白因子】美白保湿黑面膜,,,,2020-04-21 08:41
****t,,"<div class=""comment-star star3""></div>",以前没用过这个牌子的不知道咋样，用过在说吧！,2022-04-23 20:41:00.389,,美白黑炭面膜10片,,2018-03-12 21:41,
g***l,PLUS会员,"<div class=""comment-star star3""></div>",总体来说感觉一般很干液体很少,2022-04-23 20:41:00.508,美白黑炭面膜10片,,2017-11-08 01:01,,
u***m,,"<div class=""comment-star star3""></div>",用完了感觉挺好的但是就是包装太磕碜挤破了,2022-04-23 20:41:00.965,,美白黑炭面膜10片,,2017-08-06 20:29,
****t,,"<div class=""comment-star star3""></div>",用了脸上起疙瘩，后悔买多了,2022-04-23 20:41:01.040,【提亮焕肤】美白保湿黑面膜,,2021-06-02 11:26,,
****w,,"<div class=""comment-star star3""></div>",双十一买的，比原来买便宜一半还要多，真怀疑这个面膜的价值,2022-04-23 20:41:01.108,,【焕白因子】美白保湿黑面膜,,,
****1,,"<div class=""comment-star star3""></div>",我对这个敏感一股刺痛不知道为甚么,2022-04-23 20:41:01.179,美白黑炭面膜10片,,2018-01-10 13:57,,
做***膀,,"<div class=""comment-star star3""></div>",还可以，支持，希望多做活动哈~值得一提，我们这配送员不错，点赞！,2022-04-23 20:41:01.243,透亮黑炭面膜10片,,2016-11-12 21:15,,
u***n,,"<div class=""comment-star star3""></div>",看不出效果，没有我之前用的海藻面膜好,2022-04-23 20:41:01.300,透亮黑炭面膜10片,,2016-11-13 04:13,,
x***8,PLUS会员,"<div class=""comment-star star3""></div>",面膜还行，就是太粗暴了，外盒都爆炸了。,2022-04-23 20:41:01.359,,美白黑炭面膜10片,,2018-05-24 13:22,
u***u,,"<div class=""comment-star star3""></div>",正在使用中，天生黑的，暂时没有很明显效果改善!,2022-04-23 20:41:01.413,美白黑炭面膜10片,,2017-06-22 01:00,,
****1,,"<div class=""comment-star star3""></div>",都给我压坏了，东西还没有用过，用过之后再追评吧,2022-04-23 20:41:01.468,,美白黑炭面膜10片,,2018-05-25 11:55,
Y***9,PLUS会员,"<div class=""comment-star star3""></div>",包装还算完好，不过也憋了。之前都是用盒装的这次就拿一个袋子。,2022-04-23 20:41:01.550,美白黑炭面膜10片,,2017-11-07 21:21,,
****d,PLUS会员,"<div class=""comment-star star3""></div>",面膜还可以，就是包装不行，我拿到的时候已经散开了。,2022-04-23 20:41:02.042,美白黑炭面膜10片,,2018-08-11 08:40,,
b***x,PLUS会员,"<div class=""comment-star star3""></div>",狗和激励激励你明明敏，明明就急功近利，了，了，了，了，,2022-04-23 20:41:02.110,透亮黑炭面膜10片,,2016-08-24 18:24,,
****s,PLUS会员,"<div class=""comment-star star3""></div>",还行吧，价格挺合适。,2022-04-23 20:41:02.180,美白黑炭面膜10片,,2017-06-21 16:42,,
u***2,,"<div class=""comment-star star3""></div>",团购时买的，还可以吧，,2022-04-23 20:41:02.244,美白黑炭面膜10片,,,,
t***c,,"<div class=""comment-star star3""></div>",发货速度有点慢，还没使用，使用后看看效果在评价,2022-04-23 20:41:02.320,美白黑炭面膜,,,,2019-06-23 08:36
****1,PLUS会员,"<div class=""comment-star star3""></div>",还没有用，快递很给力,2022-04-23 20:41:02.386,美白黑炭面膜10片,,2017-07-16 10:04,,
u***e,,"<div class=""comment-star star3""></div>",面膜挺好的，就是包装太凑合了，拿到商品都已经压破了！,2022-04-23 20:41:02.466,,透亮黑炭面膜10片,,2016-08-01 09:59,
十***座,PLUS会员,"<div class=""comment-star star3""></div>",感觉一般般，没觉得好，特价买的，京东送货快,2022-04-23 20:41:02.564,美白黑炭面膜10片,,2017-09-16 21:30,,
M***8,,"<div class=""comment-star star3""></div>",额还不错活动买的。。。,2022-04-23 20:41:02.633,美白黑炭面膜10片,,2017-04-18 14:01,,
浅***唱,,"<div class=""comment-star star3""></div>",还没有使用，不做评价,2022-04-23 20:41:02.718,美白黑炭面膜,,,,2019-09-02 13:21
S***R,PLUS会员,"<div class=""comment-star star3""></div>",用了之后脸过敏，发红刺痛。暂时丢给我妈用了。,2022-04-23 20:41:03.153,美白黑炭面膜10片,,2017-07-06 13:11,,
****s,,"<div class=""comment-star star3""></div>",精华液好少，特别少，先用几天看看！,2022-04-23 20:41:03.219,美白黑炭面膜10片,,2017-11-13 00:21,,
****4,,"<div class=""comment-star star3""></div>",在香港买62.5港币，翻了一倍多，效果还不知道，但想说真暴利……,2022-04-23 20:41:03.276,美白黑炭面膜10片,,2017-09-20 14:41,,
****s,PLUS会员,"<div class=""comment-star star3""></div>",还可以，不是太理想！,2022-04-23 20:41:03.344,美白黑炭面膜10片,,,,
C***1,PLUS会员,"<div class=""comment-star star3""></div>",购物方便，效果一般吧,2022-04-23 20:41:03.397,美白黑炭面膜10片,,2017-09-25 21:21,,
u***r,,"<div class=""comment-star star3""></div>",没用过，今天刚到，试试,2022-04-23 20:41:03.467,美白黑炭面膜10片,,2017-06-06 17:17,,
****g,PLUS会员,"<div class=""comment-star star3""></div>",还不错，嘿嘿的，感觉很资阳。但是美白效果一般,2022-04-23 20:41:03.533,美白黑炭面膜10片,,2017-06-27 09:10,,
****4,,"<div class=""comment-star star3""></div>",凑合事吧精华不多,2022-04-23 20:41:03.596,美白黑炭面膜10片,,2018-05-17 09:24,,
****w,,"<div class=""comment-star star3""></div>",一般般，没啥美白效果,2022-04-23 20:41:03.656,美白黑炭面膜,,,,2019-07-23 22:36
****2,,"<div class=""comment-star star3""></div>",用着很好，下次再买。,2022-04-23 20:41:03.730,美白黑炭面膜10片,,,,
****吉,PLUS会员,"<div class=""comment-star star3""></div>",包装确实捡漏，定陵光浪的！！！包装确实捡漏，定陵光浪的！！！包装确实捡漏，定陵光浪的！！！包装确实捡漏，定陵光浪的！！！,2022-04-23 20:41:04.168,,美白黑炭面膜10片,,2017-08-06 20:25,
我***宝,,"<div class=""comment-star star3""></div>",不适合过敏体质的人群～贴了一片中招了～哎！闭门思过！,2022-04-23 20:41:04.276,美白黑炭面膜10片,,2017-05-04 22:49,,
****d,,"<div class=""comment-star star3""></div>",没有用呢！用完在评价,2022-04-23 20:41:04.358,美白黑炭面膜,,,,2018-11-14 11:03
龚***啊,PLUS会员,"<div class=""comment-star star3""></div>",还行吧，效果不是很大！,2022-04-23 20:41:04.422,美白黑炭面膜10片,,2018-07-02 17:31,,
在***子,PLUS会员,"<div class=""comment-star star3""></div>",没什么感觉，还是保湿补水的经典款比较好用。,2022-04-23 20:41:04.525,,美白黑炭面膜,,,
王***1,,"<div class=""comment-star star3""></div>",也许我的皮肤不合适这款，用完了脸上起痘痘了,2022-04-23 20:41:04.598,美白黑炭面膜10片,,2018-08-11 11:52,,
****n,,"<div class=""comment-star star3""></div>",还没用，才拿到货，听说不错，用用看，好用下次再买！,2022-04-23 20:41:04.724,美白黑炭面膜10片,,2017-08-06 02:32,,
****m,PLUS会员,"<div class=""comment-star star3""></div>",还行吧，再试试看，用了好几次感觉不是特别好,2022-04-23 20:41:04.806,美白黑炭面膜,,,,2019-07-29 17:24
j***g,PLUS会员,"<div class=""comment-star star3""></div>",盒子有点烂，用过一片觉得还可以，因为也没试过其他品牌,2022-04-23 20:41:04.885,,美白黑炭面膜10片,,2017-05-28 13:21,
u***p,,"<div class=""comment-star star3""></div>",好用，滋润，敷完比较滑，小贵，不知道是否正品,2022-04-23 20:41:05.006,透亮黑炭面膜10片,,2016-11-08 18:12,,
不***D,,"<div class=""comment-star star3""></div>",京东物流速度很准时给力，但是这次宝贝的包装盒实在给弄的效果很差，不得粗吐糟一下。,2022-04-23 20:41:05.493,美白黑炭面膜,,,,2018-11-17 17:08
神***啊,PLUS会员,"<div class=""comment-star star3""></div>",为啥我用了没啥感觉。。。。。,2022-04-23 20:41:05.557,美白黑炭面膜10片,,2017-07-20 20:50,,
s***u,PLUS会员,"<div class=""comment-star star3""></div>",没有韩国带回来的精华液多，效果有待进一步观察,2022-04-23 20:41:05.608,,透亮黑炭面膜10片,,2016-10-11 21:01,
恋***1,,"<div class=""comment-star star3""></div>",买了一大堆，够用一年了…京东速度快，包装再好点就完美了。,2022-04-23 20:41:05.675,,美白黑炭面膜10片,,2018-03-03 09:32,
****d,,"<div class=""comment-star star3""></div>",第一次用这款黑色的，没什么特别的，就是普通的补水,2022-04-23 20:41:05.749,美白黑炭面膜10片,,2017-11-14 15:28,,
挨***挨,PLUS会员,"<div class=""comment-star star3""></div>",价格实惠，买来试一下,2022-04-23 20:41:05.858,【补水提亮】美白保湿黑面膜,,2020-07-12 23:49,,
****i,,"<div class=""comment-star star3""></div>",精华少，美白效果一般,2022-04-23 20:41:05.922,美白黑炭面膜10片,,2018-06-18 11:00,,
l***奶,PLUS会员,"<div class=""comment-star star3""></div>",还没用过这款，第一次问客服呢？不理我，好吧，我自助下单也习惯了。,2022-04-23 20:41:06.002,,美白黑炭面膜10片,,2017-04-18 12:28,
h***6,PLUS会员,"<div class=""comment-star star3""></div>",水水的，很不错！但用后有很多棉絮残留在脸上,2022-04-23 20:41:06.077,美白黑炭面膜10片,,2018-04-19 22:43,,
****2,PLUS会员,"<div class=""comment-star star3""></div>",产品不错?，但今年价格最贵！,2022-04-23 20:41:06.149,,【提亮焕肤】美白保湿黑面膜,,2021-11-11 23:12,
z***者,,"<div class=""comment-star star3""></div>",买给我妈的，还没用，不过看起来和我以前用的差不多,2022-04-23 20:41:06.699,美白黑炭面膜10片,,2018-03-13 09:30,,
j***3,PLUS会员,"<div class=""comment-star star3""></div>",用了很长时间才来评价，价格比较贵，用了大概两个月，效果不明显,2022-04-23 20:41:06.808,美白黑炭面膜10片,,,,
****t,,"<div class=""comment-star star3""></div>",很油腻，难以吸收，不知道美白效果怎么样，后期追评,2022-04-23 20:41:06.903,美白黑炭面膜10片,,2018-04-24 12:15,,
沉***T,PLUS会员,"<div class=""comment-star star3""></div>",使用感受：可能我皮肤问题清洁没有感觉到用过后脸上冒硬硬的豆豆,2022-04-23 20:41:06.958,,美白黑炭面膜,,,
非***8,,"<div class=""comment-star star3""></div>",跟之前用的有较大出入之前是直接在韩国买回来了……好担心会不会是假货,2022-04-23 20:41:07.053,透亮黑炭面膜10片,,2016-11-03 23:43,,
****r,,"<div class=""comment-star star3""></div>",还行皮肤变细腻了但没有变白我是用8张评论的,2022-04-23 20:41:07.131,美白黑炭面膜10片,,2018-04-24 13:29,,
我***l,PLUS会员,"<div class=""comment-star star3""></div>",之前一直都是在朋友的实体店买的，但是最近她换工作了，只有抱着试试的态度，在京东上面买，希望是正品……,2022-04-23 20:41:07.198,,美白黑炭面膜10片,,2017-07-22 14:17,
小***呐,,"<div class=""comment-star star3""></div>",补水效果一般，还可以吧,2022-04-23 20:41:07.262,【提亮焕肤】美白保湿黑面膜,,2022-01-06 21:15,,
****c,,"<div class=""comment-star star3""></div>",一月29号买的，所以没拿到买同款三盒送一盒睡眠面膜！委屈?！,2022-04-23 20:41:07.334,【美白提亮焕肤】美白保湿黑面膜,,2021-01-30 14:24,,
就***菜,PLUS会员,"<div class=""comment-star star3""></div>",送给妹妹的，她说不像朋友国外带回来的，包装也很栏，简直不像新货。,2022-04-23 20:41:07.440,美白黑炭面膜10片,,2017-01-10 13:21,,
****b,,"<div class=""comment-star star3""></div>",讨价还价的京东快递，就因为错过了两个接听电话想改为次日配送，不过后来还是能当天送达，服务态度还行,2022-04-23 20:41:07.967,美白黑炭面膜10片,,2018-07-28 15:24,,
妖***有,PLUS会员,"<div class=""comment-star star3""></div>",可以是可以，用着不好也不坏,2022-04-23 20:41:08.031,【提亮焕肤】美白保湿黑面膜,,2021-12-13 11:02,,
****w,PLUS会员,"<div class=""comment-star star3""></div>",还没有打开不知道咋样估计美白效果是没有吧但还是希望能够好用,2022-04-23 20:41:08.099,美白黑炭面膜10片,,2018-06-28 07:36,,
