用户名,会员,星级,评论,采集时间,类型1,类型2,评论时间1,评论时间2,评论时间3
L***1,PLUS会员,"<div class=""comment-star star3""></div>",还可以，眼角开的有点大。。。,2022-04-23 21:27:14.971,【改善暗沉】维生素面膜,,2020-09-11 22:47,,
S***c,PLUS会员,"<div class=""comment-star star3""></div>",面膜效果一般，快递比较不错,2022-04-23 21:27:15.024,【改善暗沉】维生素面膜,,2020-07-21 11:44,,
t***p,PLUS会员,"<div class=""comment-star star3""></div>",可莱丝大部分挺靠谱的这款不太适合我,2022-04-23 21:27:15.086,,透亮嫩白维生素面膜25ml*10,,2016-06-16 18:32,
M***t,,"<div class=""comment-star star3""></div>",第一次买这个面膜，和家里的Ray对比，觉得还是Ray好。,2022-04-23 21:27:15.153,【透亮美肌】维生素面膜,,,,2020-02-10 17:53
****2,,"<div class=""comment-star star3""></div>",感觉还蛮水润，感觉还蛮水润，感觉还蛮水润,2022-04-23 21:27:15.219,,维生素面膜,,,
嗯***呀,,"<div class=""comment-star star3""></div>",效果还可以吧，包装还挺好看的,2022-04-23 21:27:15.740,,【改善暗沉】维生素面膜,,2020-07-28 08:44,
D***鑫,PLUS会员,"<div class=""comment-star star3""></div>",溶液比较少。属于此品牌中溶液最少的几款。,2022-04-23 21:27:15.791,维生素面膜,,,,2019-07-06 21:52
爱***民,PLUS会员,"<div class=""comment-star star3""></div>",方便快捷，价格尚可，勉强能接受吧！总之呢，就图个方便，继续继续！,2022-04-23 21:27:15.859,维生素面膜10片,,2018-02-01 17:48,,
****f,,"<div class=""comment-star star3""></div>",给个中评吧，一般般，没有我表姐在香港带的好,2022-04-23 21:27:15.908,维生素面膜,,,,2019-10-04 14:07
Y***8,PLUS会员,"<div class=""comment-star star3""></div>",产品质感：一直使用，不错补水效果：很好贴合效果：一般般,2022-04-23 21:27:15.966,【透亮美肌】维生素面膜,,,,2020-03-09 01:03
冰***狐,PLUS会员,"<div class=""comment-star star3""></div>",这一款用完保湿和美白都没有什么效果的感觉,2022-04-23 21:27:16.007,维生素面膜10片,,,,
****N,,"<div class=""comment-star star3""></div>",精华液好少啊，几分钟就干了,2022-04-23 21:27:16.052,【改善暗沉】维生素面膜,,2020-09-24 22:23,,
****6,PLUS会员,"<div class=""comment-star star3""></div>",正不正品不知道用完脸很难受黏黏的,2022-04-23 21:27:16.103,透亮嫩白维生素面膜25ml*10,,2016-06-01 21:03,,
u***k,,"<div class=""comment-star star3""></div>",东西不错，应该是正品，就是每一个底下都被人拆开过是为什么,2022-04-23 21:27:16.153,,维生素面膜10片,,2017-11-09 23:11,
****9,,"<div class=""comment-star star3""></div>",不知道，还没用，看着包装，应该给几分好评,2022-04-23 21:27:16.219,,维生素面膜10片,,2016-08-07 15:30,
c***P,,"<div class=""comment-star star3""></div>",我记得之前在韩国买的这个维生素面膜没有这么多精华呀，不知道是真是假,2022-04-23 21:27:17.063,维生素面膜10片,,2016-11-10 14:13,,
B***-,PLUS会员,"<div class=""comment-star star3""></div>",精华液有些少用着没有不良反应，还可以,2022-04-23 21:27:17.120,维生素面膜,,,,2019-06-08 12:33
L***h,,"<div class=""comment-star star3""></div>",京东快递一直很快，买了两盒，一盒包装被拆过，蛮用吧,2022-04-23 21:27:17.171,维生素面膜10片,,,,
夏***一,,"<div class=""comment-star star3""></div>",双11买的，昨天才到货，还没使用，第一次用这款面膜，朋友介绍才买的，一下子购了三款。,2022-04-23 21:27:17.228,,维生素面膜10片,,2017-11-15 14:53,
u***9,,"<div class=""comment-star star3""></div>",买了之后还没有用，不过一直用这个牌子，觉得其他的款还不错，用了之后再追评,2022-04-23 21:27:17.298,维生素面膜,,,,2019-02-10 14:52
蔡***8,PLUS会员,"<div class=""comment-star star3""></div>",一片折合3.2左右，还可以，比我买的其他牌子便宜，东西中规中矩没有什么好或者不好的。,2022-04-23 21:27:17.358,【透亮美肌】维生素面膜,,,,2020-01-28 13:24
b***7,,"<div class=""comment-star star3""></div>",价格便宜109买三盒,2022-04-23 21:27:17.432,【透亮美肌】维生素面膜,,,,2020-03-15 22:57
u***n,,"<div class=""comment-star star3""></div>",面膜还没用，看着挺不错，期待有点效果~,2022-04-23 21:27:17.506,,透亮嫩白维生素面膜25ml*10,,2016-05-31 12:27,
****r,,"<div class=""comment-star star3""></div>",一收到货就是这样的，不过敷起来很好?,2022-04-23 21:27:17.562,,【改善暗沉亮肤】维生素面膜,,2021-02-06 19:38,
****m,,"<div class=""comment-star star3""></div>",之前用着挺好的，这次买的里面的精华有些少。,2022-04-23 21:27:17.621,维生素面膜,,,,2019-10-24 16:13
****I,PLUS会员,"<div class=""comment-star star3""></div>",用着不错，比实体店便宜了一半，精华液只能说不多,2022-04-23 21:27:18.242,维生素面膜,,,,2019-06-20 19:11
芒***蕉,PLUS会员,"<div class=""comment-star star3""></div>",产品质感：一般使用感受：一般适合肤质：一般补水效果：一般贴合效果：一般,2022-04-23 21:27:18.292,【改善暗沉】维生素面膜,,2020-10-06 18:00,,
挨***挨,PLUS会员,"<div class=""comment-star star3""></div>",价格实惠，买来试一下,2022-04-23 21:27:18.353,【改善暗沉】维生素面膜,,2020-07-12 23:49,,
M***猛,PLUS会员,"<div class=""comment-star star3""></div>",一直在京东自营上买东西,2022-04-23 21:27:18.390,【改善暗沉】维生素面膜,,2021-12-14 12:12,,
u***g,PLUS会员,"<div class=""comment-star star3""></div>",第一次买！希望好用罗！,2022-04-23 21:27:18.435,【改善暗沉】维生素面膜,,2020-11-19 21:02,,
****1,,"<div class=""comment-star star3""></div>",就用了一次还看不出效果感觉还可以吧不是特别好,2022-04-23 21:27:18.502,维生素面膜10片,,2018-04-02 18:54,,
张***2,PLUS会员,"<div class=""comment-star star3""></div>",目前没效果，好不好不知道不过这个不大比较小适合小脸的人群。,2022-04-23 21:27:18.543,维生素面膜,,,,2018-10-29 22:22
F***d,,"<div class=""comment-star star3""></div>",包装很脏，送人不合适自己用吧，还没用，不知道效果怎样,2022-04-23 21:27:18.588,,维生素面膜10片,,2017-09-09 12:00,
妖***有,PLUS会员,"<div class=""comment-star star3""></div>",可以是可以，用着不好也不坏,2022-04-23 21:27:18.633,【改善暗沉】维生素面膜,,2021-12-13 11:03,,
u***r,,"<div class=""comment-star star3""></div>",感觉越来越差了，刚用的时候挺好的，再不买这个牌子的了,2022-04-23 21:27:18.697,维生素面膜10片,,2016-10-17 11:01,,
****y,,"<div class=""comment-star star3""></div>",是真心没这个牌子的其他产品好用精华不多补水也不是很好,2022-04-23 21:27:19.316,维生素面膜10片,,2017-10-28 13:22,,
****m,,"<div class=""comment-star star3""></div>",收到货后，不是很满意，跟客服交流，客服态度很好，还是不错的,2022-04-23 21:27:19.365,,维生素面膜10片,,2018-09-06 15:12,
w***y,PLUS会员,"<div class=""comment-star star3""></div>",还没使用，但是以前买的这个牌子其他功效的面膜还不错，就是快递运回来的时候包装都坏了,2022-04-23 21:27:19.432,,【改善暗沉】维生素面膜,,2020-11-02 13:31,
****D,,"<div class=""comment-star star3""></div>",精华很少，贴没几分钟就很紧绷，不油腻，很快吸收,2022-04-23 21:27:19.489,【改善暗沉】维生素面膜,,2020-06-27 22:13,,
****3,,"<div class=""comment-star star3""></div>",感觉维生素还可以，补水的还好吧，不知道是不是正货！！,2022-04-23 21:27:19.552,【改善暗沉亮肤】维生素面膜,,2020-12-29 17:29,,
东***猫,PLUS会员,"<div class=""comment-star star3""></div>",挺好用的面膜，就是来货的时候是开封的，明明应该是封口的，估计是退货产品到我手上了，还好数量没问题,2022-04-23 21:27:19.618,,【透亮美肌】维生素面膜,,,
****z,,"<div class=""comment-star star3""></div>",头一次买这种包装已成这样不知道效果咋样用过回评,2022-04-23 21:27:19.682,,【改善暗沉】维生素面膜,,2020-06-20 17:28,
晚***o,PLUS会员,"<div class=""comment-star star3""></div>",产品质感：比较单薄使用感受：水分不够适合肤质：干性补水效果：80%贴合效果：一般,2022-04-23 21:27:19.733,,【透亮美肌】维生素面膜,,,
s***o,PLUS会员,"<div class=""comment-star star3""></div>",这款补水效果不好，没有蓝色包装的好用，适合脸小的女生用…一直在用这个牌子的…～,2022-04-23 21:27:19.796,,维生素面膜,,,
****o,,"<div class=""comment-star star3""></div>",适合肤质：不适合敏感肌肤，易过敏人群。补水效果：一般使用感受：可以说辣鸡不,2022-04-23 21:27:19.865,【改善暗沉】维生素面膜,,2020-07-12 08:21,,
****1,,"<div class=""comment-star star3""></div>",好用，大爱…,2022-04-23 21:27:20.390,透亮嫩白维生素面膜25ml*10,,2016-05-26 08:34,,
A***佟,,"<div class=""comment-star star3""></div>",产品的水分精华特别少，贴脸上就跟一张纸一样没有什么水分很干,2022-04-23 21:27:20.446,【改善暗沉】维生素面膜,,2020-10-04 08:24,,
****G,,"<div class=""comment-star star3""></div>",感觉面膜很厚，精华液很少，还没有敷到脸上就干了，物流什么的很好,2022-04-23 21:27:20.495,,维生素面膜,,,
****Q,,"<div class=""comment-star star3""></div>",去黄，改善暗沉，补水保湿效果极好,2022-04-23 21:27:20.545,,【改善暗沉】维生素面膜,,2021-12-08 22:26,
L***-,,"<div class=""comment-star star3""></div>",产品质感：不知道使用感受：没用,2022-04-23 21:27:20.607,【改善暗沉】维生素面膜,,2022-02-28 11:47,,
****0,,"<div class=""comment-star star3""></div>",物流速度快，价格合理,2022-04-23 21:27:20.647,【改善暗沉】维生素面膜,,2021-06-30 21:53,,
****v,,"<div class=""comment-star star3""></div>",还行吧，面膜液有些少，面膜纸尺寸比较少，比较像纸质的，贴合还不错。,2022-04-23 21:27:20.687,【透亮美肌】维生素面膜,,,,2019-11-10 18:02
i***D,PLUS会员,"<div class=""comment-star star3""></div>",使用感一般不会回购,2022-04-23 21:27:20.730,,【改善暗沉】维生素面膜,,2021-09-23 19:42,
M***郭,PLUS会员,"<div class=""comment-star star3""></div>",使用挺好的，面膜纸也挺好的，就是精华太少了，敷面膜十分钟就没有精华了,2022-04-23 21:27:20.771,【透亮美肌】维生素面膜,,,,2020-03-13 10:57
u***3,,"<div class=""comment-star star3""></div>",我脸上从来不长痘的用了这个就长了很多红色小痘痘。那款保湿的好用点。,2022-04-23 21:27:20.821,维生素面膜10片,,2016-12-06 19:36,,
w***e,,"<div class=""comment-star star3""></div>",如果满分100分，我给70分。,2022-04-23 21:27:21.339,【改善暗沉】维生素面膜,,2022-02-20 20:31,,
****0,PLUS会员,"<div class=""comment-star star3""></div>",还行吧，反正没时间去超市买这些东西，比较方便，但有时候快递员会放在楼下，说车上的东西比较贵重，话说咱的东西不贵重吗？希望改进，用心对待。,2022-04-23 21:27:21.394,维生素面膜10片,,2018-10-25 12:52,,
做***吧,,"<div class=""comment-star star3""></div>",放在冰箱里在拿出来敷。感觉很好。产品比较温和。闭眼入没有错。,2022-04-23 21:27:21.461,【改善暗沉亮肤】维生素面膜,,2021-02-24 11:30,,
q***a,PLUS会员,"<div class=""comment-star star3""></div>",这次买到的面膜，很想习惯性好评，但是这次我又真的不想给好评。我不和实体或者别家比，单拿以前我在京东自营买的同款面膜比较，这次收到的真的没有以前的好，真的真的没有以前的好。没有以前的水多，甚至还有空白的地方！,2022-04-23 21:27:21.517,,【透亮美肌】维生素面膜,,,
****x,PLUS会员,"<div class=""comment-star star3""></div>",他家牌子的面膜干的挺快的，膜布挺厚实的，相比其他牌子敷几分钟就没水分了。敷完以后脸没觉得滋润。我买了四盒还。,2022-04-23 21:27:21.569,,【改善暗沉亮肤】维生素面膜,,2021-01-24 16:46,
****u,,"<div class=""comment-star star3""></div>",使用感受：用完2片脸上爆痘以前用过蓝袋的针剂面膜感觉挺好的第一次买这个真心感觉一般般吧，精华液也少,2022-04-23 21:27:21.629,【改善暗沉】维生素面膜,,,,2020-05-13 00:21
M***3,PLUS会员,"<div class=""comment-star star3""></div>",99购入的，这款维生素面膜还没使用，希望有补水美白效果吧。另外，京东的面膜怎么会这么便宜呢？我在韩国代购那拿的这款165!,2022-04-23 21:27:21.685,,维生素面膜10片,,2016-12-08 09:36,
七***苿,,"<div class=""comment-star star3""></div>",一直用这个牌子，又买了四盒。但这家应该不是正品。面膜袋上没有防伪标志。,2022-04-23 21:27:21.758,【改善暗沉】维生素面膜,,2021-10-23 12:13,,
****a,,"<div class=""comment-star star3""></div>",产品质感：挺好的。使用感受：还蛮舒服，精华液有点少。适合肤质：干皮肤，不适合痘痘肌跟敏感肌补水效果：一般。贴合效果：听贴合对我,2022-04-23 21:27:21.832,维生素面膜,,,,2019-09-18 16:28
****2,,"<div class=""comment-star star3""></div>",以前用过觉得还不错，最近不知道买啥面膜就想起这款，用了几天来评价。不知道就是这样还是什么。干干的，没水分也不滋润。不满意,2022-04-23 21:27:21.900,【改善暗沉】维生素面膜,,2020-09-22 20:46,,
****3,,"<div class=""comment-star star3""></div>",这个牌子的面膜有好几款，每一款我都买了一盒来试用，感觉面膜的质感都一样，就是每一款的的效果不一样，适合所有的肤质，补水效果，每一款也差不多，贴合效果也一样，坚持使用应该能感受到每一款的不同点，如果用的好，会再购买的,2022-04-23 21:27:22.432,,【改善暗沉】维生素面膜,,,
兄***了,PLUS会员,"<div class=""comment-star star3""></div>",赶上活动买的，价格很美丽，50一盒，但是这个面膜纸和精华都分开了，面膜纸是干巴巴的，也不吸精华，精华都在袋子里，还得敷干巴巴的面膜纸，再把袋子里的精华倒出来，放在面膜纸上，真的很麻烦，而且一点不水润。哎！,2022-04-23 21:27:22.483,,【改善暗沉】维生素面膜,,,
u***c,PLUS会员,"<div class=""comment-star star3""></div>",补水效果还行吧，但总得感觉没以前好用呢，贴完后第二天脸还有轻微刺痛感,2022-04-23 21:27:22.529,,【改善暗沉】维生素面膜,,2021-10-18 22:27,
M***y,PLUS会员,"<div class=""comment-star star3""></div>",产品质感：没有补水的那款水感强烈，哈哈哈，感觉干的有点快，当然也有可能是天气太干燥了哈哈哈使用感受：有一股不知道什么味道也，不过也能接受吧哈哈哈，反正每次都是买三盒换着用的适合肤质：我自己是敏感肌，用这款不会过敏就一直用的这款，但是也发现了每次买的质感都有些许差别哈哈哈，不过我也没啥刷要求，不过敏就行,2022-04-23 21:27:22.574,,【改善暗沉】维生素面膜,,2020-08-29 17:11,
****i,PLUS会员,"<div class=""comment-star star3""></div>",买了很多很多产品质感：不薄不厚使用感受：日常补水用，便宜，敷个10分钟就差不多没精华了，精华很少，面膜还有点干适合肤质：我是冬混干，夏混油补水效果：挺好的，不过这个面膜里面的水很少很少，还有点干贴合效果：挺贴合,2022-04-23 21:27:22.625,,【改善暗沉亮肤】维生素面膜,,2021-01-27 11:36,
****q,PLUS会员,"<div class=""comment-star star3""></div>",到了包装就坏成这样了,2022-04-23 21:27:22.681,,维生素面膜10片,,2018-07-25 23:28,
鸡***q,,"<div class=""comment-star star2""></div>",上午刚买完，下午就降价了,2022-04-23 21:27:22.731,维生素面膜10片,,2017-05-10 17:15,,
妞***7,PLUS会员,"<div class=""comment-star star2""></div>",包装让我怀疑它的质量。,2022-04-23 21:27:22.773,,维生素面膜,,,
****e,,"<div class=""comment-star star3""></div>",盒子都破了，心情不美好?,2022-04-23 21:27:22.819,,维生素面膜10片,,2017-12-17 07:58,
n***J,,"<div class=""comment-star star2""></div>",包装给撕坏了不知道咋回事,2022-04-23 21:27:22.870,维生素面膜10片,,2017-11-13 22:23,,
我***麻,,"<div class=""comment-star star3""></div>",包装损坏，快递不放在云柜,2022-04-23 21:27:23.498,,,,,
呆***乖,PLUS会员,"<div class=""comment-star star2""></div>",包装烂的可以啊，是正品吗,2022-04-23 21:27:23.564,透亮嫩白维生素面膜25ml*10,,2016-06-03 12:46,,
c***6,,"<div class=""comment-star star3""></div>",同样的问题，包装盒是打开的。,2022-04-23 21:27:23.614,维生素面膜10片,,2018-05-26 10:56,,
c***d,,"<div class=""comment-star star3""></div>",盒子打开的，快递包装简陋，,2022-04-23 21:27:23.671,维生素面膜10片,,2017-12-17 02:20,,
馨***0,,"<div class=""comment-star star2""></div>",感觉不是正品，包装纸盒破损,2022-04-23 21:27:23.732,透亮嫩白维生素面膜25ml*10,,2016-06-14 22:58,,
****h,PLUS会员,"<div class=""comment-star star2""></div>",应该是正品！挺好的！价格合理！,2022-04-23 21:27:23.781,维生素面膜10片,,2016-12-24 20:24,,
张***v,,"<div class=""comment-star star3""></div>",包装不咋滴，看着可掉档,2022-04-23 21:27:23.838,维生素面膜,,,,2019-10-21 20:48
感***o,,"<div class=""comment-star star3""></div>",感觉用了张痘子！目前停了,2022-04-23 21:27:23.891,维生素面膜10片,,2017-08-17 23:58,,
****o,,"<div class=""comment-star star3""></div>",没有防伪码，盒子也没封口,2022-04-23 21:27:23.965,维生素面膜,,,,2019-08-06 12:37
u***b,,"<div class=""comment-star star2""></div>",商品不怎么满意，客服不错,2022-04-23 21:27:24.024,维生素面膜10片,,2017-05-21 07:38,,
****h,,"<div class=""comment-star star3""></div>",一般般吧没上面说的那么好,2022-04-23 21:27:24.646,维生素面膜10片,,2017-07-18 22:13,,
****;,PLUS会员,"<div class=""comment-star star3""></div>",盒子压破了，外面也没薄膜。,2022-04-23 21:27:24.691,,维生素面膜10片,,2017-11-16 13:24,
****7,,"<div class=""comment-star star3""></div>",不好，里面的精华特别少,2022-04-23 21:27:24.741,【透亮美肌】维生素面膜,,,,2020-03-21 09:20
****r,,"<div class=""comment-star star2""></div>",还可以吧，没有觉得的那么好呢,2022-04-23 21:27:24.789,【透亮美肌】维生素面膜,,,,2019-11-21 21:25
****0,PLUS会员,"<div class=""comment-star star3""></div>",一般，冬季皮肤干燥用这款不行,2022-04-23 21:27:24.830,维生素面膜10片,,2017-11-22 07:57,,
d***d,,"<div class=""comment-star star3""></div>",还好就是感觉包装很简陋有点冒牌的感觉,2022-04-23 21:27:24.882,维生素面膜10片,,2016-08-28 17:27,,
梦***g,,"<div class=""comment-star star3""></div>",还没看到效果，好像用了有点过敏,2022-04-23 21:27:24.933,维生素面膜10片,,2018-06-02 23:57,,
****b,,"<div class=""comment-star star3""></div>",本来送人的压成这样，惨不忍睹，唉,2022-04-23 21:27:24.980,,维生素面膜,,,
长***茶,PLUS会员,"<div class=""comment-star star3""></div>",这个不好用感觉没有补水那个好,2022-04-23 21:27:25.019,维生素面膜10片,,2017-07-12 09:33,,
阿***乐,PLUS会员,"<div class=""comment-star star3""></div>",保湿效果一般，下面长，额头上面短。,2022-04-23 21:27:25.095,维生素面膜,,,,2018-11-20 12:00
爱***酱,PLUS会员,"<div class=""comment-star star2""></div>",包装简陋，不满意，快递暴力,2022-04-23 21:27:25.696,,【改善暗沉】维生素面膜,,2020-07-01 22:14,
u***6,,"<div class=""comment-star star2""></div>",打开快递包装，里面的面膜盒子成这样子了。,2022-04-23 21:27:25.756,,维生素面膜,,,
冈***9,PLUS会员,"<div class=""comment-star star3""></div>",没有包装，就是个袋子装着.盒子还是破的.,2022-04-23 21:27:25.811,,维生素面膜10片,,2018-08-24 11:49,
u***6,,"<div class=""comment-star star2""></div>",挺好的，活动时购买划算，快递服务也很好的,2022-04-23 21:27:25.872,维生素面膜10片,,2018-04-21 13:19,,
****e,,"<div class=""comment-star star3""></div>",这是我用过最小的面膜，额头盖不住,2022-04-23 21:27:25.929,维生素面膜10片,,2017-11-06 20:20,,
*****,PLUS会员,"<div class=""comment-star star3""></div>",用完油油黏黏的不太喜欢这种感觉,2022-04-23 21:27:25.995,维生素面膜10片,,2017-08-15 14:17,,
流***2,PLUS会员,"<div class=""comment-star star3""></div>",感觉有点过敏，敏感肌肤慎重,2022-04-23 21:27:26.047,维生素面膜10片,,2018-05-31 15:30,,
****y,,"<div class=""comment-star star2""></div>",精华属实少，脸大的勿拍吧,2022-04-23 21:27:26.107,【透亮美肌】维生素面膜,,,,2019-12-15 22:57
****d,,"<div class=""comment-star star3""></div>",感觉面膜太干了，是不是时长有点长了,2022-04-23 21:27:26.163,【透亮美肌】维生素面膜,,,,2019-12-12 16:25
b***u,,"<div class=""comment-star star2""></div>",比之前买的差远了。不晓得是不是买到假的了,2022-04-23 21:27:26.239,维生素面膜,,,,2019-06-23 09:07
阿***哥,,"<div class=""comment-star star3""></div>",还没用，不过质量有待提高。,2022-04-23 21:27:26.751,【改善暗沉】维生素面膜,,2020-08-04 00:57,,
快***B,,"<div class=""comment-star star3""></div>",物所不值这个钱，面膜小还不好滩开,2022-04-23 21:27:26.806,维生素面膜,,,,2019-04-21 21:56
s***a,PLUS会员,"<div class=""comment-star star3""></div>",这次买的包装有中文了不知道用了是不是一样哦,2022-04-23 21:27:26.850,,维生素面膜10片,,2017-11-12 15:52,
****F,,"<div class=""comment-star star3""></div>",没用！包装烂了！有问题追加,2022-04-23 21:27:26.895,维生素面膜10片,,,,
w***2,PLUS会员,"<div class=""comment-star star2""></div>",还可以吧维生素的不好用,2022-04-23 21:27:26.939,【改善暗沉】维生素面膜,,2020-06-21 15:11,,
****l,,"<div class=""comment-star star3""></div>",假货，不好用，用完脸部红肿。,2022-04-23 21:27:26.999,维生素面膜10片,,2017-12-19 04:09,,
来***1,PLUS会员,"<div class=""comment-star star3""></div>",东西收到了，不怎么么管用,2022-04-23 21:27:27.037,【改善暗沉】维生素面膜,,2020-11-22 19:17,,
行***w,,"<div class=""comment-star star3""></div>",感觉没有那么好有点后悔,2022-04-23 21:27:27.078,【改善暗沉】维生素面膜,,2020-10-31 15:28,,
****o,PLUS会员,"<div class=""comment-star star2""></div>",物流非常快快递小哥很好但是包装非常差,2022-04-23 21:27:27.131,透亮嫩白维生素面膜25ml*10,,2016-06-18 19:51,,
k***g,PLUS会员,"<div class=""comment-star star3""></div>",有一点在做用吧，效果不是很好,2022-04-23 21:27:27.179,,维生素面膜10片,,2017-10-14 19:33,
w***6,,"<div class=""comment-star star3""></div>",精华液太少，几乎没有，不满意,2022-04-23 21:27:27.797,维生素面膜10片,,2018-02-11 07:05,,
U***险,PLUS会员,"<div class=""comment-star star2""></div>",也就那样吧，没什么好讲的，就这样、,2022-04-23 21:27:27.846,【透亮美肌】维生素面膜,,,,2019-12-26 09:34
s***c,,"<div class=""comment-star star2""></div>",一份价钱一份货以后不能在网上买还是实体店买,2022-04-23 21:27:27.924,维生素面膜10片,,2017-12-12 08:42,,
u***1,,"<div class=""comment-star star3""></div>",盒子全是打开的心理不舒服,2022-04-23 21:27:27.990,【改善暗沉】维生素面膜,,2020-08-25 19:15,,
应***挺,,"<div class=""comment-star star2""></div>",贴合效果：面膜太干了，精华比较少,2022-04-23 21:27:28.046,【透亮美肌】维生素面膜,,,,2020-03-07 18:11
****6,PLUS会员,"<div class=""comment-star star3""></div>",不怎么好用，惨了还买了那么多??,2022-04-23 21:27:28.096,【透亮美肌】维生素面膜,,,,2019-12-26 22:26
披***尼,PLUS会员,"<div class=""comment-star star2""></div>",活动买的，价格合适，不知道有没有效果,2022-04-23 21:27:28.149,维生素面膜,,,,2019-06-01 22:31
****Y,,"<div class=""comment-star star2""></div>",人工客服都没有，催半天,2022-04-23 21:27:28.205,【改善暗沉】维生素面膜,,2021-05-02 21:36,,
t***u,,"<div class=""comment-star star3""></div>",买两盒面膜都不舍得用个小箱子装两盒都压坏了......,2022-04-23 21:27:28.262,维生素面膜10片,,2018-06-14 14:03,,
****c,,"<div class=""comment-star star3""></div>",与之前买的另外个平台有差入，是不是正品表示怀疑,2022-04-23 21:27:28.337,维生素面膜10片,,2017-11-01 14:10,,
卢***宫,PLUS会员,"<div class=""comment-star star2""></div>",居然都干了，没有精华液,2022-04-23 21:27:28.865,【改善暗沉】维生素面膜,,2020-07-13 22:29,,
风***郎,PLUS会员,"<div class=""comment-star star3""></div>",盒子底部好像被打开过？东西还没使用,2022-04-23 21:27:28.912,,【改善暗沉亮肤】维生素面膜,,2020-12-23 17:02,
耿***七,,"<div class=""comment-star star2""></div>",面膜一般般，比较厚，精华少,2022-04-23 21:27:28.959,维生素面膜10片,,2018-03-03 06:55,,
d***2,,"<div class=""comment-star star3""></div>",感觉盒子被打开过，不知道是不是正品,2022-04-23 21:27:29.001,,【改善暗沉】维生素面膜,,,
c***下,PLUS会员,"<div class=""comment-star star3""></div>",冬天使用的时候比较冰！效果一般！,2022-04-23 21:27:29.061,维生素面膜,,,,2019-01-05 18:40
不***呦,PLUS会员,"<div class=""comment-star star3""></div>",仓库发货的人几个意思？为什么包装要打开呢？,2022-04-23 21:27:29.113,,【改善暗沉】维生素面膜,,2020-10-20 08:58,
嗯***-,,"<div class=""comment-star star3""></div>",就蓝色的有封口，另外两盒没封口,2022-04-23 21:27:29.155,,【改善暗沉】维生素面膜,,2020-08-19 20:08,
****a,PLUS会员,"<div class=""comment-star star2""></div>",之前买的挺好，越来越次了，不好，补水效果很差,2022-04-23 21:27:29.213,维生素面膜,,,,2019-05-21 08:59
w***6,PLUS会员,"<div class=""comment-star star3""></div>",盒子是开封的，里面是11片,2022-04-23 21:27:29.259,【改善暗沉】维生素面膜,,2020-11-06 19:55,,
****o,,"<div class=""comment-star star2""></div>",这个面膜精华液也太少了点，感觉不像正品,2022-04-23 21:27:29.308,维生素面膜,,,,2019-10-04 19:55
****生,,"<div class=""comment-star star3""></div>",这个不咋样，水分不足，用了过敏,2022-04-23 21:27:29.919,透亮嫩白维生素面膜25ml*10,,2016-06-03 17:50,,
J***e,,"<div class=""comment-star star3""></div>",不怎么样，跟韩国带来的质感不一样,2022-04-23 21:27:29.971,维生素面膜10片,,,,
