用户名,会员,星级,评论,采集时间,类型1,类型2,评论时间1,评论时间2,评论时间3
****t,,"<div class=""comment-star star2""></div>",和以前用的都不一样，面膜一点也不服帖，差评,2022-04-23 21:05:11.342,新品【透亮保湿】水润安瓶面膜,,2021-06-22 10:16,,
小***Q,,"<div class=""comment-star star2""></div>",这样的包装真是第一次见，如此包装。简单粗暴就完事了?,2022-04-23 21:05:11.382,,深层补水【水润安瓶面膜】,,2021-11-14 13:12,
欣***4,PLUS会员,"<div class=""comment-star star3""></div>",面膜跟之前买的比太小了，整张脸不能完全遮住。我看评论里基本上没人提到面膜大小的问题，那就是我个人不适合这几个新款式的问题了。那个面膜纸有点发糙，粗糙的感觉，不如之前买的那个蓝色的补水和绿色的消炎的那几款。并不是特别推荐购买这些新款。,2022-04-23 21:05:11.419,新品【透亮保湿】水润安瓶面膜,,2021-09-26 14:14,,
宝***子,,"<div class=""comment-star star3""></div>",用了快多半个月了，总体感觉，里面的精华液比较少（相比我用的其他的面膜少多了），面膜也没有固定的塑料纸，可能是环保吧，面膜整体比较厚，不是特别服帖，刚拿出来有股淡淡的酒精味，咱也不知道真假，问客服说是真的，我也是第一次用，没在专柜买过，真假不能断定！！！,2022-04-23 21:05:11.466,新品【透亮保湿】水润安瓶面膜,,2021-07-08 22:02,,
我***嗯,,"<div class=""comment-star star3""></div>",习惯好评，支持京东和京东物流,2022-04-23 21:05:11.509,新品【透亮保湿】水润安瓶面膜,,2021-05-20 12:52,,
****j,,"<div class=""comment-star star3""></div>",送货速度超级快！,2022-04-23 21:05:11.563,新品【透亮保湿】水润安瓶面膜,,2021-06-16 22:23,,
B***S,,"<div class=""comment-star star3""></div>",还行吧精华有点少,2022-04-23 21:05:11.849,新品【透亮保湿】水润安瓶面膜,,2021-07-08 16:36,,
X***5,PLUS会员,"<div class=""comment-star star3""></div>",很便宜，效果没感觉,2022-04-23 21:05:11.892,新品【透亮保湿】水润安瓶面膜,,2021-09-15 15:27,,
是***呀,PLUS会员,"<div class=""comment-star star3""></div>",不行不行不好用,2022-04-23 21:05:11.936,深层补水【水润安瓶面膜】,,2021-11-13 00:37,,
u***1,,"<div class=""comment-star star3""></div>",包装破损，物品遗失，售后不作为。把顾客当猴耍。,2022-04-23 21:05:11.993,新品【透亮保湿】水润安瓶面膜,,2021-06-28 13:43,,
w***7,,"<div class=""comment-star star3""></div>",快递垃圾,2022-04-23 21:05:12.050,,新品【透亮保湿】水润安瓶面膜,,2021-05-09 00:29,
_***_,,"<div class=""comment-star star3""></div>",感觉一般般，主要面膜纸不服帖，而且不平,2022-04-23 21:05:12.104,新品【透亮保湿】水润安瓶面膜,,2021-08-30 09:10,,
****1,PLUS会员,"<div class=""comment-star star3""></div>",一般,2022-04-23 21:05:12.153,新品【透亮保湿】水润安瓶面膜,,2021-06-27 12:50,,
****f,PLUS会员,"<div class=""comment-star star3""></div>",还可以……:把。。。,2022-04-23 21:05:12.219,新品【透亮保湿】水润安瓶面膜,,2021-07-14 09:34,,
阅***姐,,"<div class=""comment-star star3""></div>",面膜布一般,2022-04-23 21:05:12.278,新品【透亮保湿】水润安瓶面膜,,2021-07-18 02:01,,
****3,,"<div class=""comment-star star3""></div>",还行,2022-04-23 21:05:12.343,深层补水【水润安瓶面膜】,,2021-12-03 09:41,,
星***然,PLUS会员,"<div class=""comment-star star2""></div>",差,2022-04-23 21:05:12.819,深层补水【水润安瓶面膜】,,2021-12-30 08:37,,
u***6,PLUS会员,"<div class=""comment-star star3""></div>",很一般,2022-04-23 21:05:12.857,深层补水【水润安瓶面膜】,,2022-01-08 22:52,,
c***7,PLUS会员,"<div class=""comment-star star3""></div>",一般吧，。。。。。。。。。,2022-04-23 21:05:12.903,【补水保湿】水润安瓶面膜,,2022-04-18 16:51,,
c***x,PLUS会员,"<div class=""comment-star star3""></div>",这款水润面膜还是一般般，里面赠送的水润睡眠面膜也太小了吧，就一小条也不知道好不好用，所以说是正品，但是我也是看见有赠品才买，买这个面膜的感觉上有点坑。,2022-04-23 21:05:12.948,,深层补水【水润安瓶面膜】,,2022-01-13 17:17,
