用户名,会员,星级,评论,采集时间,类型1,类型2,评论时间1,评论时间2,评论时间3
程***_,,"<div class=""comment-star star3""></div>",用着感觉还不错可是为什么包装盒是打开的呢,2022-04-23 20:10:12.996,胶原蛋白面膜10片,,2017-12-18 18:56,,
****z,PLUS会员,"<div class=""comment-star star3""></div>",快递服务态度杠杠滴，还是个女快递，大冷天的，辛苦了！！！,2022-04-23 20:10:13.056,【弹力紧致】胶原蛋白面膜,,,,2020-01-19 20:23
1***3,,"<div class=""comment-star star3""></div>",精华比在韩国买的少了很多，不知道是不是正品,2022-04-23 20:10:13.112,胶原蛋白面膜,,,,2019-09-18 21:26
C***9,,"<div class=""comment-star star3""></div>",挺好的吧。还可以。补水效果挺好的，快递特别给力。,2022-04-23 20:10:13.175,胶原蛋白面膜,,,,2018-10-06 21:12
u***e,,"<div class=""comment-star star3""></div>",看着有点儿小。还没用，到时候再追评吧。,2022-04-23 20:10:13.483,【弹力紧致】胶原蛋白面膜,,,,2019-12-14 14:56
****e,PLUS会员,"<div class=""comment-star star3""></div>",补水效果很不错的，面膜比较简单挺好的。,2022-04-23 20:10:13.534,【弹力紧致】胶原蛋白面膜,,,,2019-11-08 07:20
h***9,PLUS会员,"<div class=""comment-star star3""></div>",一般般吧，买给老婆的,2022-04-23 20:10:13.575,胶原蛋白面膜10片,,2017-06-11 12:34,,
宫***哥,PLUS会员,"<div class=""comment-star star3""></div>",还凑合吧，价钱成正比,2022-04-23 20:10:13.622,胶原蛋白面膜10片,,2017-08-05 14:22,,
****j,,"<div class=""comment-star star3""></div>",真是一分价钱一分货，,2022-04-23 20:10:13.667,胶原蛋白面膜10片,,2018-01-03 10:42,,
****5,,"<div class=""comment-star star3""></div>",包装不用心，挺失望的。,2022-04-23 20:10:13.731,,胶原蛋白面膜10片,,2018-08-25 12:56,
u***i,,"<div class=""comment-star star3""></div>",里面的精华少...感觉快干了一样....,2022-04-23 20:10:13.779,【莹润肌肤】胶原蛋白面膜,,,,2020-05-17 14:24
一***君,PLUS会员,"<div class=""comment-star star3""></div>",**次选这个精华不多呀用几次再追加,2022-04-23 20:10:13.825,胶原蛋白面膜,,,,2019-05-08 13:40
S***S,,"<div class=""comment-star star3""></div>",使用感受：女友反馈面膜精华液比较少，一会就干了,2022-04-23 20:10:13.872,【弹力紧致】胶原蛋白面膜,,,,2019-12-13 18:11
****6,PLUS会员,"<div class=""comment-star star3""></div>",和店里买的差挺多，敷脸上很干，不水润,2022-04-23 20:10:13.933,【盈润光滑弹嫩】胶原蛋白面膜,,2020-12-23 20:49,,
V***子,PLUS会员,"<div class=""comment-star star3""></div>",还没有用呢，但是三盒一起够挺适合的。一直用这个品牌习惯了,2022-04-23 20:10:14.233,,【提亮紧致】胶原蛋白面膜,,2020-10-10 14:21,
梳***喵,PLUS会员,"<div class=""comment-star star3""></div>",打折的时候买的这个价位也算好用感觉和春雨差不多,2022-04-23 20:10:14.281,,胶原蛋白面膜10片,,2017-09-15 09:41,
牧***呀,,"<div class=""comment-star star3""></div>",把精华涂在手上，手红肿涨，还特别痒。,2022-04-23 20:10:14.333,,【弹力紧致】胶原蛋白面膜,,,
夏***一,,"<div class=""comment-star star3""></div>",双11买的，昨天才到货，还没使用，第一次用这款面膜，朋友介绍才买的，一下子购了三款。,2022-04-23 20:10:14.392,,胶原蛋白面膜10片,,2017-11-15 14:54,
****0,,"<div class=""comment-star star3""></div>",面膜精华比较少，不知道效果怎么样,2022-04-23 20:10:14.454,【提亮紧致】胶原蛋白面膜,,2020-11-01 16:19,,
冰***2,PLUS会员,"<div class=""comment-star star3""></div>",还可以吧，用完感觉还行……做活动买的，还算挺划算的……,2022-04-23 20:10:14.514,胶原蛋白面膜10片,,2016-08-25 12:47,,
****c,,"<div class=""comment-star star3""></div>",还可以、但不是很补水,2022-04-23 20:10:14.574,胶原蛋白面膜,,,,2019-05-10 20:53
不***D,,"<div class=""comment-star star3""></div>",不知道是第几次购买了，京东的物流速度越来越快了，很贴心的服务。,2022-04-23 20:10:14.635,胶原蛋白面膜,,,,2019-01-06 16:50
l***8,,"<div class=""comment-star star3""></div>",物流快。试用了下，厚度不行，滋润度还可以吧,2022-04-23 20:10:14.691,胶原蛋白面膜10片,,2018-04-25 22:36,,
T***麻,,"<div class=""comment-star star3""></div>",还可以吧，一下子买了挺多面膜，都是他家的，感觉还可以吧,2022-04-23 20:10:14.764,胶原蛋白面膜10片,,,,
b***7,,"<div class=""comment-star star3""></div>",价格便宜109买三盒,2022-04-23 20:10:15.081,【弹力紧致】胶原蛋白面膜,,,,2020-03-15 22:57
时***错,PLUS会员,"<div class=""comment-star star3""></div>",价格比较便宜，精华液比较多。补水效果一般。,2022-04-23 20:10:15.130,胶原蛋白面膜10片,,2018-07-05 19:25,,
l***l,,"<div class=""comment-star star3""></div>",做活动买的，补水效果不理想，头天晚上做了面膜，第二天还起皮,2022-04-23 20:10:15.183,胶原蛋白面膜10片,,2017-11-02 22:42,,
琳***姨,,"<div class=""comment-star star3""></div>",拿回家就用了，精华很少，面膜干。不敢保证是正品。,2022-04-23 20:10:15.224,胶原蛋白面膜,,,,2019-06-16 16:18
n***p,,"<div class=""comment-star star3""></div>",不错，用了，感觉还行,2022-04-23 20:10:15.271,胶原蛋白面膜10片,,2017-01-02 14:10,,
s***n,,"<div class=""comment-star star3""></div>",物流快快快，点赞，东西的话，还是应该实体店买靠谱，免税店也要130+，不知道为啥电商便宜,2022-04-23 20:10:15.313,,胶原蛋白紧致面膜25ml*10,,2016-07-01 12:14,
一***一,PLUS会员,"<div class=""comment-star star3""></div>",我和媳妇儿用，媳妇儿过敏！别的都没过敏过,2022-04-23 20:10:15.356,胶原蛋白面膜,,,,2019-05-14 23:38
****9,PLUS会员,"<div class=""comment-star star3""></div>",还可以，没有蓝色的好。。,2022-04-23 20:10:15.405,【弹力紧致】胶原蛋白面膜,,,,2020-03-09 16:59
顾***x,PLUS会员,"<div class=""comment-star star3""></div>",使用感受：一般产品质感：一般贴合效果：满意补水效果：还行适合肤质：都可,2022-04-23 20:10:15.455,【提亮紧致】胶原蛋白面膜,,2020-10-17 12:12,,
****D,,"<div class=""comment-star star3""></div>",产品质感：一般，评价面膜吧，不如我在实体店买的，使用感受：就补点水贴合效果：还可以吧,2022-04-23 20:10:15.517,,【提亮紧致】胶原蛋白面膜,,2020-09-07 22:01,
u***5,,"<div class=""comment-star star3""></div>",还可以哦，一直用这个面膜的,2022-04-23 20:10:15.798,,【光滑弹嫩】胶原蛋白面膜,,2021-07-31 22:55,
u***g,PLUS会员,"<div class=""comment-star star3""></div>",价格便宜，特别便宜啊,2022-04-23 20:10:15.847,【提亮紧致】胶原蛋白面膜,,2020-06-26 14:14,,
u***d,,"<div class=""comment-star star3""></div>",第一次用黃色的。感覺精華很少。沒有藍色的多。個人還是喜歡用藍色多一點,2022-04-23 20:10:15.901,胶原蛋白面膜,,,,2019-03-28 21:51
h***6,PLUS会员,"<div class=""comment-star star3""></div>",水水的，很不错！但用后有很多棉絮残留在脸上,2022-04-23 20:10:15.957,胶原蛋白面膜10片,,2018-04-19 22:44,,
****q,,"<div class=""comment-star star3""></div>",实惠实惠实惠，适合学生党,2022-04-23 20:10:16.013,【光滑弹嫩】胶原蛋白面膜,,2021-10-08 08:37,,
u***i,PLUS会员,"<div class=""comment-star star3""></div>",一般般吧。用用在看。,2022-04-23 20:10:16.080,【提亮紧致】胶原蛋白面膜,,2020-12-05 12:52,,
-***-,,"<div class=""comment-star star3""></div>",补水效果：还不错，使用感受：补水效果还不错，味道淡淡,2022-04-23 20:10:16.133,胶原蛋白面膜,,,,2019-09-09 09:47
****m,PLUS会员,"<div class=""comment-star star3""></div>",这个一般，不知道效果,2022-04-23 20:10:16.191,【提亮紧致】胶原蛋白面膜,,2020-12-02 12:38,,
m***7,,"<div class=""comment-star star3""></div>",要看自己适不适合，快递还是很快的，自己用的会长闭口,2022-04-23 20:10:16.243,胶原蛋白面膜,,,,2018-10-22 11:24
1***9,PLUS会员,"<div class=""comment-star star3""></div>",精华很少呢，敷上去感觉很干，绝对不会回购的面膜,2022-04-23 20:10:16.299,【弹力紧致】胶原蛋白面膜,,,,2020-03-03 19:16
康***康,,"<div class=""comment-star star3""></div>",使用后追评。明年前几天能到家里有人给我介绍一下午安排好??,2022-04-23 20:10:16.623,【提亮紧致】胶原蛋白面膜,,2020-11-23 13:49,,
****0,PLUS会员,"<div class=""comment-star star3""></div>",面膜挺好用的，就是京东的618活动说返券的，买了500多的面膜，一张券没有看到返，失望,2022-04-23 20:10:16.696,,胶原蛋白面膜10片,,2018-07-02 12:11,
t***c,,"<div class=""comment-star star3""></div>",做活动买的，给老妈用的，老妈说里面精华特别少，不知道是不是正品?,2022-04-23 20:10:16.747,胶原蛋白面膜,,,,2019-06-23 08:34
W***慧,,"<div class=""comment-star star3""></div>",今天收到，今晚做第一片，看起来还行，就不知道效果如何,2022-04-23 20:10:16.796,,胶原蛋白面膜,,,
j***k,,"<div class=""comment-star star3""></div>",不好意思，现在才来评价，面膜用了挺好的，精华液挺多的,2022-04-23 20:10:16.840,胶原蛋白面膜,,,,2019-04-15 20:51
****9,PLUS会员,"<div class=""comment-star star3""></div>",说实话。东西不错但是你这男女适应我是没感觉出来不考虑男士脸大的问题嘛！！！！！,2022-04-23 20:10:16.889,胶原蛋白面膜,,,,2018-12-01 09:27
阿***好,PLUS会员,"<div class=""comment-star star3""></div>",說讓16號以後收貨，有送京豆和優惠券，隨單立減，都是忽悠人的，用起來感覺還可以吧,2022-04-23 20:10:16.931,,胶原蛋白面膜10片,,2017-11-26 22:04,
娟***哈,,"<div class=""comment-star star3""></div>",快递员真不错，知道我有孩子，送上来了，面膜还行，要不韩国产的就更好了，爱国家的小青年,2022-04-23 20:10:16.975,胶原蛋白面膜10片,,2017-04-20 12:59,,
****X,,"<div class=""comment-star star3""></div>",还行吧！个人使用感觉不会一下有效果，用一段时间看看吧送货速度还是很快的。,2022-04-23 20:10:17.020,,胶原蛋白面膜10片,,2016-08-28 22:13,
秒***9,PLUS会员,"<div class=""comment-star star3""></div>",还可以吧，就是不知道是不是正品，海外购的更便宜，也不敢买，不知道有什么区别,2022-04-23 20:10:17.076,胶原蛋白面膜,,,,2019-06-03 14:54
****W,,"<div class=""comment-star star3""></div>",感觉补水还可以，不过敷完之后得洗洗，有点腻我觉得,2022-04-23 20:10:17.395,胶原蛋白面膜10片,,2018-03-23 12:30,,
****h,PLUS会员,"<div class=""comment-star star3""></div>",一直在用可莱丝补水面膜，貌似一直用看不出什么，偶尔换着用一下感觉还不错,2022-04-23 20:10:17.446,胶原蛋白面膜10片,,2017-10-04 13:40,,
明***7,PLUS会员,"<div class=""comment-star star3""></div>",晚上快递刚收到，京东小哥速度还不错，就是还没有打开用，等用过再来追加评价,2022-04-23 20:10:17.499,,胶原蛋白面膜,,,
****x,PLUS会员,"<div class=""comment-star star3""></div>",干得快，敷完不感觉脸滋润，水嫩。没效果。,2022-04-23 20:10:17.548,,【盈润光滑弹嫩】胶原蛋白面膜,,2021-01-24 16:50,
茜***3,,"<div class=""comment-star star3""></div>",这次买的两盒都是被人拆开过的、以前一直都在京东买都是包装完好送到家的、万一是被人换过的用得好不放心,2022-04-23 20:10:17.600,,胶原蛋白面膜10片,,2017-12-13 10:36,
香***檬,PLUS会员,"<div class=""comment-star star3""></div>",跟免税店和原产国购买回来的在细节有些不同，一直敷的就是这个牌子的，坚持长期使用才会见到效果，谁用谁知道！,2022-04-23 20:10:17.649,胶原蛋白面膜10片,,2018-06-05 10:16,,
u***z,,"<div class=""comment-star star3""></div>",感觉不错啊，价格便宜除了包装盒子压变形了，还没用用了在追加,2022-04-23 20:10:17.713,,胶原蛋白面膜10片,,2017-10-17 15:27,
****h,,"<div class=""comment-star star3""></div>",产品质感：一般使用感受：没够湿适合肤质：任何补水效果：一般贴合效果：不够贴,2022-04-23 20:10:17.766,【弹力紧致】胶原蛋白面膜,,,,2020-01-31 10:10
L***n,PLUS会员,"<div class=""comment-star star3""></div>",有点遗憾的是快递公司没有送货上门，未经允许直接放入丰巢快递柜自己去取的，不过送货速度还是很快的，当天晚上就到家了，希望老婆大人喜欢，要是促销优惠力度再大一点、价格能多便宜一点，还能送货上门就更好了。,2022-04-23 20:10:17.818,,胶原蛋白面膜,,,
C***_,PLUS会员,"<div class=""comment-star star3""></div>",刚收到货京东的物流一直没话说很快但是包装太简约啊一盒塑料袋包装盒早已压损东西还没有用因为信赖京东自营所以应该是正品吧价格两件折扣跟朋友代购差不多因为方便选择京东购买了希望不要让我失望,2022-04-23 20:10:17.876,,胶原蛋白面膜10片,,2016-09-19 10:05,
b***r,PLUS会员,"<div class=""comment-star star3""></div>",效果很一般，基本没效果，不会再买，快递不错，第二天就到了,2022-04-23 20:10:18.196,【提亮紧致】胶原蛋白面膜,,2020-07-29 21:00,,
u***i,,"<div class=""comment-star star3""></div>",为了凑单买的，还没有使用，不知道效果怎么样，过敏肌，希望不要过敏。,2022-04-23 20:10:18.242,,胶原蛋白面膜,,,
****k,PLUS会员,"<div class=""comment-star star3""></div>",速度快，质量好，一直在用！速度快，质量好，一直在用！,2022-04-23 20:10:18.298,【光滑弹嫩】胶原蛋白面膜,,2022-03-19 16:38,,
小***9,PLUS会员,"<div class=""comment-star star3""></div>",乳液挺多，就是没加一层塑料薄膜敷脸不太方便。活动时买，价格还可以。,2022-04-23 20:10:18.342,,胶原蛋白面膜10片,,2017-11-18 15:14,
活***8,PLUS会员,"<div class=""comment-star star3""></div>",还没有用，先留着吧，等使用后，再说吧……,2022-04-23 20:10:18.379,【提亮紧致】胶原蛋白面膜,,2020-06-22 00:54,,
芒***蕉,PLUS会员,"<div class=""comment-star star3""></div>",产品质感：好用贴合效果：贴合好其他特色：第一次遇到面膜包装居然不好撕开的情况,2022-04-23 20:10:18.419,【提亮紧致】胶原蛋白面膜,,2020-10-06 17:59,,
****p,,"<div class=""comment-star star3""></div>",之前一直没打开看，刚打开一看这样,2022-04-23 20:10:18.459,,【光滑弹嫩】胶原蛋白面膜,,2021-07-08 17:48,
h***2,PLUS会员,"<div class=""comment-star star3""></div>",还没使用，不知道怎么样。但是京东快递没有按照承诺的时间送达。也没有给出很好的解释。,2022-04-23 20:10:18.502,【提亮紧致】胶原蛋白面膜,,2020-08-25 17:16,,
超***迷,,"<div class=""comment-star star3""></div>",正品码无法验证，产品可以补水，膜布薄不油腻,2022-04-23 20:10:18.544,,【光滑弹嫩】胶原蛋白面膜,,2021-11-03 12:30,
****0,,"<div class=""comment-star star3""></div>",一直用的补水的，这次做活动嘛，3盒159就购入一盒试用下，总用水库针剂换换用也不错，今天刚拿到手还没试用用完后来填写试用体会。物流很快，昨晚23点半后下的订单，今天上午下午也送一个全送到了。,2022-04-23 20:10:18.591,胶原蛋白面膜,,,,2019-10-24 16:01
