用户名,会员,星级,评论,类型1,评论时间1,类型2,评论时间2,采集时间,评论时间3
六***_,PLUS会员,"<div class=""comment-star star5""></div>",精华液很充足吸收效果很不错一般20分钟都不会干一直很喜欢用这款黑面膜用着很舒服感觉脸上肌肤像喝饱水似的所以这次趁活动又购买一些,,,【提亮焕肤】美白保湿黑面膜,2021/8/18 12:49,10:46.9,
l***2,PLUS会员,"<div class=""comment-star star5""></div>",这款面膜的面膜纸不是很大女孩小脸的话，感觉特别好，边上不会多出去特别多。清洁补水能力还好吧，没有感觉特别特别好，但也不会觉得不好,,,【提亮焕肤】美白保湿黑面膜,2021/9/21 18:55,10:46.9,
d***5,PLUS会员,"<div class=""comment-star star5""></div>",用了很多年的面膜，网上评价也一直很好，既便宜又好用的一款面膜，属于常年囤货的款，日常补水很好用，集美们冲鸭，活动时候买超划算,【提亮焕肤】美白保湿黑面膜,2021/7/24 23:52,,,10:47.0,
S***咚,PLUS会员,"<div class=""comment-star star5""></div>",这一款是美白保湿，缩小毛孔的，补水效果很好，面膜是黑色的，这个面膜带有保湿美白的功能，贴在脸上润润的。这个面膜是保湿美白的，贴在脸上感觉特别服站！,,,【提亮焕肤】美白保湿黑面膜,2022/2/17 16:29,10:47.0,
一***它,PLUS会员,"<div class=""comment-star star5""></div>",这系列不刺激皮肤，味道也温和，湿润度可以，整体效果不错。美白目前还不明显，润肤还是不错的。包装很严谨，外包简洁携带方便。配送很快服务不错。,,,【提亮焕肤】美白保湿黑面膜,2021/9/9 15:48,10:47.1,
****p,PLUS会员,"<div class=""comment-star star5""></div>",产品质感：质感很好，包装大气上档次使用感受：非常贴合肌肤、精华很足，用完之后脸非常水润，面膜纸不厚，脸不是特别大的话完全可以覆盖整个面部，2-3天用一次，确实有补水美白的效果，坚持用??效果！适合肤质：适合任何肤质，无论是油性皮肤还是干性皮肤，混油皮肤夜很适用！补水效果：补水效果特别好，用完之后明显感觉脸部特别水润，有弹性，肌肤像喝饱了水一样！贴合效果：非常贴合皮肤，面膜剪裁非常完美，可以覆盖整个面部！其他特色：成分不错，价格便宜，适合囤货，一天一张面膜也不心疼！支持！会回购！,【焕白因子】美白保湿黑面膜,,,,10:47.1,2019/11/11 12:24
u***n,,"<div class=""comment-star star5""></div>",产品邮寄速度很快，一大盒子十片感觉很厚实，长方形的一小片拿在手上感觉很轻巧可爱，轻按包装感觉里面的精华液很多，是正品吧。还没有试用，打算晚上试的敷一下看看效果。看外包装感觉很好，像是进口货，很给力，期待试用效果，好的话还会继续购进，感觉价格合适，还有后续试用评价~,,,美白黑炭面膜10片,,10:47.4,
z***7,PLUS会员,"<div class=""comment-star star5""></div>",产品质感：还不错，包装不错使用感受：水分充足，好用，没毛病适合肤质：油性皮肤适合这款，补水效果：很好很不错，袋内液体也能用，没毛病贴合效果：90%贴合度，因人而异，没毛病其他特色：没毛病,,,【提亮焕肤】美白保湿黑面膜,2021/12/13 22:29,10:47.5,
****8,,"<div class=""comment-star star5""></div>",趁活动时买的炭黑面膜，一直都用这款，很滋润。精华液挺多的，而且黑炭膜布也很有质感。用过后，皮肤很亮，滋润。快递也很给力，隔天就收到了。,,,【提亮焕肤】美白保湿黑面膜,2021/12/8 13:35,10:47.5,
b***w,PLUS会员,"<div class=""comment-star star5""></div>",每次必买此款，美白锁水，面膜很厚，不是很大张，脸小所以没有浪费，贴合很紧，30分钟后依然水润不干燥，滋润丝滑。赶上618每年最合适的选择,,,【提亮焕肤】美白保湿黑面膜,2021/7/20 9:11,10:47.6,
Z***g,PLUS会员,"<div class=""comment-star star5""></div>",使用感受：作为经常经常买美迪惠尔面膜的老粉，哈哈当然很推荐，不过这一款是清洁作用我感觉一般般，我都是当补水面膜用的。产品质感：黑色，面膜纸细腻。补水效果：还不错。,,,【提亮焕肤】美白保湿黑面膜,2021/12/21 3:25,10:47.7,
就***嘛,PLUS会员,"<div class=""comment-star star5""></div>",可以说是超级好用了，敷完面膜后整个脸蛋水润水润的，而且啊这面料非常柔软和舒服，不容易扯烂，感觉比经典的蓝色要更好用一些些。,,,【提亮焕肤】美白保湿黑面膜,2021/7/4 15:30,10:47.7,
福***狠,,"<div class=""comment-star star5""></div>",买的多，全家人一起敷，给婆婆和老妈送去不同的十盒。日常在家保养补水美白，或者带一片到办公室午餐后洗完脸敷上午休一下，每周按时去美容中心进行两次全面的护理保养。老公巨爱贴黑膜，每隔两天都要抢我买的这个面膜敷，他敷完看上去白嫩光滑，臭美。我的肤质是干燥型并不适合这款美白黑膜，用完皮肤略干燥。,,,美白黑炭面膜10片,2017/8/9 10:29,10:47.8,
****v,PLUS会员,"<div class=""comment-star star5""></div>",美迪惠尔的面膜试用了几款，这款黑面膜最好用，蓝色补水的第二。面膜很服贴舒服，精华液也多，敷后效果好，皮肤水水的，日期也很新。以后有活动打算多囤点，面膜以后就选这款了。,,,【提亮焕肤】美白保湿黑面膜,2021/11/27 22:13,10:47.9,
****s,PLUS会员,"<div class=""comment-star star5""></div>",朋友推荐，第一次用这个牌子，用着很好，黑面膜，很柔软，精华很多，非常容易使用，油性皮肤用着很好，有活动很实惠，贴合性好，用完很水润,,,【提亮焕肤】美白保湿黑面膜,2021/7/30 23:41,10:47.9,
l***欣,PLUS会员,"<div class=""comment-star star5""></div>",趁着有优惠活动买了一堆，买了好几种不一样功效的，收缩毛孔的，急补水的，提亮的，可以用一段时间了，还送了洗面奶，这下什么都有了，京东物流超级快，送货上门，真便民。,,,【提亮焕肤】美白保湿黑面膜,2021/12/13 20:52,10:48.0,
书***-,PLUS会员[试用],"<div class=""comment-star star5""></div>",面膜很不错，补水效果很好，敷完后感觉皮肤水水的，很光滑，膜布薄软有弹性，大小也很贴合皮肤，使用起来很方便，用这个将近一年了，肉眼可见的有效果,,,【提亮焕肤】美白保湿黑面膜,2021/11/22 15:10,10:48.3,
確***丶,,"<div class=""comment-star star5""></div>",这款面膜感觉很不错，以前买的要么贵，要么质量特别特别的差，这款吧，价格合适，效果也感觉不错，所以用了十多天以后特地来评论区推荐。,,,【提亮焕肤】美白保湿黑面膜,2021/8/31 23:03,10:48.3,
1***椒,PLUS会员,"<div class=""comment-star star5""></div>",很喜欢他家的面膜，超级舒服，超级补水?，干皮的我超级喜欢这款面膜，价格还实惠，学生党真的很喜欢?，敷完面膜之后脸蛋很光滑，软糯糯的，真的很不错???补水效果：超级补水，干皮用真的很舒服。,【提亮焕肤】美白保湿黑面膜,2021/5/29 21:10,,,10:48.4,
****l,PLUS会员,"<div class=""comment-star star5""></div>",韩国进口产品，质量一如既往地好！以前也用这款产品，补水保湿美白效果好。这次京东自营店有活动，三件五折，还有六支精华液赠品。便宜又实惠。这款产品适合任何肌肤，补水充分，面膜敷脸上水嫩嫩滴，贴合度非常高。长期使用，美白效果显著。建议一周用二-三次，坚持用半年时间，一定会给你一个水凝，有弹性，白皙的漂亮脸蛋!包装盒完好无损。物流配送神速！配送员陶传成是中国好配送员！点赞！,,,【焕白因子】美白保湿黑面膜,,10:48.4,
1***3,PLUS会员,"<div class=""comment-star star5""></div>",产品质感：水分很足，精华液很足使用感受：用完很润，到第二天都还很滋润适合肤质：我是敏感肤质，用起来没问题应该大家都能用补水效果：补水效果不错，算是我用的最多的一款补水面膜了贴合效果：很服帖，没有褶皱，大小也合适价格也可以接受天天用的程度，没有啥负担！这次买的已经用完两盒。,【补水提亮】美白保湿黑面膜,2020/8/29 8:11,,,10:48.5,
*****,PLUS会员,"<div class=""comment-star star5""></div>",补水的不是特别好用，总感觉水分很少很干！美白的和维c的用起来感觉不错，水分也足！味道呢，可以接受，不难闻！敷过之后，很舒服！物流好评！,,,【提亮焕肤】美白保湿黑面膜,2021/10/2 14:03,10:48.5,
m***6,PLUS会员,"<div class=""comment-star star5""></div>",这款面膜是最近收获大大的惊喜?每次敷完揭下的那一刻绝对是高光时刻整个脸细腻柔滑，白了一个度毛孔也都隐形不见了关键第二天起床依然白白嫩嫩100分推荐,,,【提亮焕肤】美白保湿黑面膜,2021/9/22 9:08,10:48.6,
搞***宅,PLUS会员,"<div class=""comment-star star5""></div>",敷在脸上还挺香的不是那种很冲的香味淡淡的香味还挺舒服的补水效果很不错每次敷完面膜脸上都不卡粉里面的精华液挺多的可以敷满脸上的各个地方京东自营买很放心速度又快,,,【补水提亮】美白保湿黑面膜,2020/11/12 13:44,10:48.6,
沫***阿,PLUS会员,"<div class=""comment-star star5""></div>",产品质感：挺好的，搞活动很便宜！很划算！使用感受：补水！刚开始使用还看不出什么效果！但是挺补水！适合肤质：任何肤质都适合吧补水效果：就是补水！贴合效果：很服帖！比较满意！,,,【提亮焕肤】美白保湿黑面膜,2022/3/30 21:27,10:48.7,
铭***田,PLUS会员,"<div class=""comment-star star5""></div>",多次种草的产品了，感觉这个补水保湿效果特别好，而且紧致毛孔效果也特别好，我是一天隔一天的敷面膜的，精华液真的挺多的，这个也适合男生，一个月下来真的感觉皮肤细致很多，都说男生不需要做护肤，其实也是误区，有一个清爽洁净的形象对别人也是一种尊重呀！,,,【提亮焕肤】美白保湿黑面膜,2021/9/28 22:43,10:48.7,
Y***g,PLUS会员,"<div class=""comment-star star5""></div>",活动买的，四盒半价，各种优惠下来每片不到两块钱，超级划算。这款面膜精华液很多，膜布很薄，敷到脸上大小很贴合，每次敷完脸上水嫩嫩的，特别好吸收，补水效果非常好，一如既往的好用，一次囤了八十多片，三个月不用买面膜了。,,,【提亮焕肤】美白保湿黑面膜,2021/11/30 7:33,10:49.0,
****z,PLUS会员,"<div class=""comment-star star5""></div>",产品质感：精华液很充足，膜片贴脸上很服帖。使用感受：用后按摩完感觉感觉脸很湿润，没有黏腻感！适合肤质：本人属于混合性皮肤，感觉还不错！补水效果：补水保湿效果明显！很喜欢。,,,【提亮焕肤】美白保湿黑面膜,2021/6/22 22:00,10:49.1,
****b,,"<div class=""comment-star star5""></div>",很喜欢这个牌子的面膜，裁剪很好的一款面膜，和脸很贴合。保湿效果很好不油腻，也不会过敏。还有美白的作用，赶上活动价格也很划算，京东物流也很快。！,,,【提亮焕肤】美白保湿黑面膜,2021/12/3 13:26,10:49.1,
徐***4,PLUS会员,"<div class=""comment-star star5""></div>",下次搞活动再囤喜欢黑色补水很好感觉很干净会一直购买化妆品全部京东的买着放心补水效果：非常好适合我的肤质产品质感：液体很多15-20分钟左右还是很多拿下来可以当颈膜贴合效果：正好,,,【提亮焕肤】美白保湿黑面膜,2022/1/31 14:07,10:49.2,
W***凤,PLUS会员,"<div class=""comment-star star5""></div>",第二次在京东上买了，用了好久的这个牌子使用感受：用完感觉皮肤滑滑的，轻轻按摩下让精华液慢慢吸收适合肤质：适合所有肤质补水效果：补水效果很好，很容易就吸收,,,【提亮焕肤】美白保湿黑面膜,2022/3/25 14:34,10:49.2,
田***8,PLUS会员,"<div class=""comment-star star5""></div>",(?•??•?)??价格超优惠，性能也非常棒，完美的一次购物，物流很快，物品完好无损，收到晚上就用了一贴，水水嫩嫩，保湿效果很好，大东北秋天干燥，用起来很舒服，喜欢?种草?,,,【提亮焕肤】美白保湿黑面膜,2021/9/19 10:46,10:49.3,
张***6,,"<div class=""comment-star star5""></div>",产品质感：黑面膜没刺激味道使用感受：保湿效果不错，美白效果有待观察适合肤质：任何肤质都适用补水效果：补水效果不错，美白效果还在观望中贴合效果：很贴合，适合我这种大方脸其他特色：很便宜，而且口碑也不错，销量也很好，说明这个面膜确实是不错的，等有钱了用更好的面膜吧，,,,【补水提亮】美白保湿黑面膜,2020/8/17 15:52,10:49.4,
y***n,PLUS会员,"<div class=""comment-star star5""></div>",这款面膜在无数次的买买买的东西，有活动必囤哦，保湿滋润补水美白。真的好好用哦，京东商城的商品有活动太诱人啦，而且价格真的太优惠了，优惠大酬宾活动多多呀，所以京东是我不二选择的平台，质量第一有保证。送货准时。,【美白提亮焕肤】美白保湿黑面膜,2021/2/25 17:57,,,10:49.4,
潇***楠,,"<div class=""comment-star star5""></div>",我一口气买了四盒，非常好用水很足产品质感：不会感觉油腻浓厚，没有粘粘的感觉整体就是很清爽使用感受：使用感很好效果很棒水很多，敷完面膜皮肤水水的适合肤质：适合干皮混干皮油皮补水效果：补水效果超级好,,,【提亮焕肤】美白保湿黑面膜,2021/7/18 10:08,10:49.5,
****j,PLUS会员,"<div class=""comment-star star5""></div>",还是熟悉的味道，三四年来一只买这个牌子，很温和，补水效果也很好，每次赶上京东有优惠的时候买，还是很划算的。平常用基本没有问题！京东物流也很给力！,,,【提亮焕肤】美白保湿黑面膜,2022/2/21 8:18,10:49.5,
逛***了,PLUS会员,"<div class=""comment-star star5""></div>",快递包装很好，没有损伤上边已有一层保护，发货也很快，第一次使用这个款面膜，用了一下，感觉还不错，这款面膜与共买了五种，慢慢使用。,,,【提亮焕肤】美白保湿黑面膜,2022/3/17 21:30,10:49.8,
不***子,PLUS会员,"<div class=""comment-star star5""></div>",买了3盒，没用过黑膜，晚上试一下，以前都在免税店买，30片450元左右，用完了，这次在京东买试一下。送货也很快。,,,【提亮焕肤】美白保湿黑面膜,2021/6/30 12:47,10:49.9,
*****,PLUS会员,"<div class=""comment-star star5""></div>",这次活动真的太划算了，让人心动买的停不下来，这次前后一共买了10盒面膜，想着夏天皮肤容易受损，贴的费一点，所以就多囤一些，包装的很完美，服务态度好，物流快，下次继续，京东值得信赖,【提亮焕肤】美白保湿黑面膜,2021/6/4 16:43,,,10:50.0,
喵***e,,"<div class=""comment-star star5""></div>",贴合效果：非常服帖其他特色：有清洁效果京东物流就是快，昨天下单今天就到了。这次有优惠活动买了几盒。以前一直用美迪惠尔面膜，这款有清洁美白的效果，也很补水，面膜很服帖，这个牌子的面膜坚持连续用的话效果很明显。,美白黑炭面膜,,,,10:50.0,2019/8/30 14:36
隆***呛,PLUS会员,"<div class=""comment-star star5""></div>",产品质感：很舒服，黏黏的水水的使用感受：第一次用面膜也不知道别人家的怎么样适合肤质：我这种油性皮肤应该适合，主要是为了变白补水效果：杠杠好，用完就和水龙头一样往下流水贴合效果：贴的很紧，我的手都没法进去把它撕掉其他特色：包装很有特色，不知道被什么硬物顶到了都破了，不过也方便我后入把它打开了，挺好,,,美白黑炭面膜,,10:50.1,
u***r,,"<div class=""comment-star star5""></div>",面膜纸厚，非常贴合面部，所含汁液多，贴完之后面部显白嫩，很好用。自营的物流很快，头天晚上下单第二天就到了。同一品牌不同款买了三盒，半价，很实惠。,,,【提亮焕肤】美白保湿黑面膜,2021/7/24 17:14,10:50.1,
我***_,,"<div class=""comment-star star5""></div>",产品质感：膜布很贴合，不是很厚的那种，精华液也挺多的使用感受：敷完不会很黏适合肤质：夏天晒后补水修复用的贴合效果：膜布很贴合补水效果：补水保湿效果不错其他特色：膜布上有水印，应该说是品牌logo，很有特色,,,【补水提亮】美白保湿黑面膜,2020/8/26 13:51,10:50.2,
****o,PLUS会员,"<div class=""comment-star star5""></div>",发货速度快，包装完好无损，京东的快递哥哥好给力！工作认真、派件准时，服务态度腿好哦！?这款面膜很好用，精华液挺多的，皮肤吸收也挺快的，效果很好，敷完后皮肤恢复又白又嫩了。???????,,,【提亮焕肤】美白保湿黑面膜,2021/11/11 16:18,10:50.2,
1***9,,"<div class=""comment-star star5""></div>",冬天北京天气太干燥，皮肤也容易变粗糙，这款补水面膜非常适合这个季节使用，能有效补充面部水分，让皮肤水润有光泽。京东物流就是快，头一天晚上下单，第二天中午就送到了，真是省心。,,,【提亮焕肤】美白保湿黑面膜,2021/12/1 16:28,10:50.3,
l***3,PLUS会员,"<div class=""comment-star star5""></div>",长期回购的一款面膜，很好用，和蓝色水库换着使用，补水效果很好，美白效果几乎可以忽略不计。618活动屯了很多，性价比超高，,,,【提亮焕肤】美白保湿黑面膜,2021/8/14 17:15,10:50.3,
巫***香,PLUS会员,"<div class=""comment-star star5""></div>",美迪惠面膜补水，保湿效果都杠杠的，内衬特别贴合，而且使用也很方便，香味清新，一直都用这款面膜是忠粉了，大家可以放心购买私使用。,,,【提亮焕肤】美白保湿黑面膜,2022/3/29 22:52,10:50.6,
u***e,PLUS会员,"<div class=""comment-star star5""></div>",最喜欢屯面膜了这款美迪惠尔面膜是无限回购的一个品牌了最常用的就是这款黑面膜和蓝色补水那款蓝色补水这款黑面膜相当美白了做完之后皮肤白里透红的粉嫩已经推荐给妈妈和身边的女朋友们买了价格不是特别贵还经常有活动京东太给力了,,,【焕白因子】美白保湿黑面膜,,10:50.6,
晓***5,PLUS会员,"<div class=""comment-star star5""></div>",这款黑面膜真的很好用，敷完细致毛孔，补水效果肉眼可见的好，坚持用还有美白功效，我买了三盒，用完再回购！,,,【提亮焕肤】美白保湿黑面膜,2021/9/23 8:29,10:50.7,
c***9,PLUS会员,"<div class=""comment-star star5""></div>",喜欢?好用，一直用它，过敏体质，对化妆品比较挑剔，这款面膜不仅没有过敏，用起来还是不错，舒适柔软，买来送朋友，都很喜欢。,【补水提亮】美白保湿黑面膜,2020/11/11 12:22,,,10:50.8,
一***8,PLUS会员,"<div class=""comment-star star5""></div>",面膜效果非常好，敷完脸之后感觉清爽了很多，而且补水去黑头效果特别好，虽然有点小贵，但是物有所值。敷脸大概二十分钟左右就可以了，个人感觉非常好,,,美白黑炭面膜10片,2017/3/31 16:39,10:50.8,
冯***青,PLUS会员,"<div class=""comment-star star5""></div>",美迪惠尔的这款面膜保湿效果很好，打开包装袋面膜超水润，多余的还可以用来涂抹手部做护理，一点都不浪费。在脸上停留20分钟，脸上滑滑嫩嫩很保湿，所以一直在用这款面膜，很满意！,,,【提亮焕肤】美白保湿黑面膜,2021/9/20 7:33,10:50.9,
奥***0,,"<div class=""comment-star star5""></div>",产品质感：温和不刺激，品质有保障，物美价廉，包装完好，物流小哥给力。使用感受：补水效果不错的，每天都来一贴适合肤质：任何肤质，敏感肌也没问题的补水效果：挺好的贴合效果：完美其他特色：物美价廉，推荐购买,,,【提亮焕肤】美白保湿黑面膜,2021/3/22 22:08,10:50.9,
****8,PLUS会员,"<div class=""comment-star star5""></div>",一直有关注这款面膜，但迟迟没有下手，最近看到优惠活动就买了几款，看大家反馈效果都挺不错，希望干皮的我用这款面膜能很好的改善一下皮肤,,,【提亮焕肤】美白保湿黑面膜,2021/10/24 8:24,10:51.0,
_***_,PLUS会员,"<div class=""comment-star star5""></div>",产品质感：水水嫩嫩的，精华很多使用感受：用完感觉皮肤白白的适合肤质：任何肤质补水效果：巨补水其他特色：都挺好，哈哈,【补水提亮】美白保湿黑面膜,2020/7/5 21:57,,,10:51.1,
w***9,PLUS会员,"<div class=""comment-star star5""></div>",最近喜欢用这个牌子的面膜，尤其黑色的，感觉很补水滋润哦，活动价比平时优惠很多。,【提亮焕肤】美白保湿黑面膜,2021/11/13 15:32,,,10:51.1,
蓝***爱,PLUS会员,"<div class=""comment-star star5""></div>",美白保湿效果不错，一天一张不费事，使用后感觉真不错，方便携带省时省力，密封效果很好，比较适合敏感皮肤，发货也快，包装没有破损！,,,【提亮焕肤】美白保湿黑面膜,2021/4/1 14:06,10:51.4,
0***0,PLUS会员,"<div class=""comment-star star5""></div>",一直用着牌子，每次有活动就会买4盒5盒的，效果很好，保湿。美白，主要保湿效果好。秋季脸不干干的。基本每天晚上都会贴一贴。推荐大家购买。,,,【提亮焕肤】美白保湿黑面膜,2021/9/11 7:59,10:51.5,
明***1,,"<div class=""comment-star star5""></div>",月初刚买52一盒，现在618搞活动，42又买了四盒！保湿效果很好，又不油腻，夏天吹空调更要多贴一点，非常喜欢，多买一点，囤了半年的量！,,,【提亮焕肤】美白保湿黑面膜,2021/6/20 12:14,10:51.5,
