用户名,会员,星级,评论,类型1,类型2,评论时间1,评论时间2,采集时间,评论时间3
爱***研,PLUS会员,"<div class=""comment-star star5""></div>",产品质感：面膜液粘稠不油腻，洗完脸敷在脸上甚至还特别的清爽使用感受：敏感肌经常洗完脸红红的，辣辣的，敷一张面膜就能缓解下来，特别舒服贴合效果：面膜很好贴，贴完抹平也没有什么气泡，很贴合脸型,,【水油平衡】茶树面膜,,2021-08-17 20:26,2022-04-24 11:26:34.328,
****y,PLUS会员,"<div class=""comment-star star5""></div>",首先京东的物流非常的快，其次它的包装很好，没有一点儿破碎。这款面膜的补水效果特别好，我是敏感肌使用后，没有一点不适，大小也合适，贴合效果很好，这款面膜的乳液特别多，敷在脸上滑滑的，老舒服了，推荐小仙女购买噢,【镇定肌肤】茶树面膜,,2020-09-19 18:22,,2022-04-24 11:26:34.408,
蘑***取,PLUS会员,"<div class=""comment-star star5""></div>",一直都是在京东上买这款面膜，它的膜布薄厚适中，敷在脸上，精华液也不会往下滴，精华类的含量很充足，夏天的话我一般会放在冰箱里面，晚上敷一片敷在脸上，清清凉凉的，非常好，这款面膜祛痘效果非常好，如果长了姨妈痘，或者是上火长了痘，敷上一片，第2天就感觉痘痘没有那么红肿了，连续敷3~5天痘痘就会完全下去，每次搞活动都会囤很多很多，这个美迪惠尔的面膜，京东做活动的时候也非常划算，还在犹豫的小伙伴快买吧。,【镇定祛痘】茶树面膜,,,,2022-04-24 11:26:34.482,2020-05-04 11:09
J***_,,"<div class=""comment-star star5""></div>",美迪惠尔茶树面膜和补水面膜都是我的最爱，趁618活动价格实惠囤了一批。本款面膜纸张柔软和脸部贴合力非常好，适合各种皮肤，精华含量特别多，，敷过了脸一点也不紧绷，第二天皮肤摸起来滑嫩嫩的，姐妹们都跟很喜欢，转眼就把一盒分了，其余的我要自己慢慢享用了??,【镇定肌肤】茶树面膜,,2020-07-04 13:05,,2022-04-24 11:26:34.594,
y***5,PLUS会员,"<div class=""comment-star star5""></div>",还没用，但是一直相信美迪惠尔，哈哈哈哈，强烈推荐大家，之前用过这个绿色的产品质感：很亲肤，好吸收，冰冰凉水润润！贴合效果：很容易贴合而且不会下滑，比较推荐吧,,【水油平衡】茶树面膜,,2022-04-21 22:30,2022-04-24 11:26:34.672,
彳***y,,"<div class=""comment-star star5""></div>",产品质感：里面的精华比较稀但是很舒服使用感受：来m前敷一两片姨妈痘第二天就下去了消肿消炎的功效还是不错的适合肤质：本人是中性皮但感觉就算油皮用了也不会觉得粘腻相反很清爽补水效果：补水效果没有特别即刻但是缓解敏感和红血丝倒是不错??贴合效果：很服帖不闷痘,,【水油平衡】茶树面膜,,2021-06-23 18:35,2022-04-24 11:26:34.735,
吉***1,PLUS会员,"<div class=""comment-star star5""></div>",物流快包装好质量有保障产品质感：特别给力使用感受：合理适合肤质：油性补水效果：好好贴合效果：给力,,【镇定舒缓】茶树面膜,,2022-04-05 22:46,2022-04-24 11:26:34.844,
踏***n,PLUS会员,"<div class=""comment-star star5""></div>",产品质感：这款面膜含茶树提取物味道清淡，好闻，上脸质感细腻柔软使用感受：使用时温和柔软，使用后清爽不油腻适合肤质：我是干性皮肤，用着也不错补水效果：这款有舒缓肌肤，调节水油的作用，锁水好具有强渗透力，用后清爽不紧绷贴合效果：面膜裁剪精细，细致贴合，很适合我的大众脸型其他特色：放到冰箱后冰敷后效果更好！,【缓解痘痘】茶树面膜,,,,2022-04-24 11:26:34.946,2020-03-02 15:10
a***u,,"<div class=""comment-star star5""></div>",早前用过几次，感觉不错，最近又买是因为看了***，说韩国某个男明星天天敷这款面膜，想必性价比很高了。面膜液比较丰富，粘，但洗掉又很容易，面膜纸也贴合皮肤，用完皮肤嫩嫩的，也不贵，日常护肤可以的,,【镇定舒缓】茶树面膜,,2021-12-05 21:49,2022-04-24 11:26:35.029,
暖***-,,"<div class=""comment-star star5""></div>",搞活动时候买的很划算面膜用起来超级棒面膜纸很服帖滋润度也高,,茶树面膜10片,,2017-11-19 12:17,2022-04-24 11:26:35.110,
s***雪,PLUS会员,"<div class=""comment-star star5""></div>",这款美迪惠尔(Mediheal)茶树精油面膜10片/盒（镇定舒缓紧致弹润呵护肌肤男女适用），膜布上有美迪惠尔标志，并且薄厚适中，精华液很多，茶树精油有有抗菌消炎作用，敷完之后皮肤很水润柔滑，是性价比很高的一款基础面膜。,,【水油平衡】茶树面膜,,2021-03-21 15:36,2022-04-24 11:26:35.555,
鎏***秒,PLUS会员,"<div class=""comment-star star5""></div>",这是一款茶树的面膜，它主打的是一个控油，但是敷在脸上，控油效果适中，精华也非常的多，味道非常清香非常好闻，总体来说我还是把它当成一个补水的面膜在使用，个人觉得适合所有的肤质。就补水效果而言还是非常不错的。,茶树面膜,,,,2022-04-24 11:26:35.617,2019-09-22 06:43
a***h,PLUS会员,"<div class=""comment-star star5""></div>",非常好用，真的是一款性价比超高的面膜，夏天敷在脸上清清凉凉，贴合度很好，面膜很大，大圆脸也可以完全覆盖到，里面的精华很足，用完再来买。,,【水油平衡】茶树面膜,,2021-08-03 17:19,2022-04-24 11:26:35.664,
r***i,PLUS会员,"<div class=""comment-star star5""></div>",趁活动购入！第一次用茶树面膜！味道好闻！敷上很贴合而且不粘腻！精华液充足！效果很不错！对痘痘有消炎作用还保湿！而且不刺激皮肤！,,【镇定舒缓】茶树面膜,,2021-11-06 20:34,2022-04-24 11:26:35.725,
****c,PLUS会员,"<div class=""comment-star star5""></div>",产品质感：美迪惠尔茶树面膜保湿型不错?使用感受：面膜是我喜欢的薄的用起来舒服?贴合度非常好适合肤质：个人感觉适合各种肌肤吧补水效果：补水效果不错?，每次用完感觉脸都很滋润贴合效果：因为面膜比较薄所以贴合度很好其他特色：用着挺好的?,,【水油平衡】茶树面膜,,2021-04-06 22:07,2022-04-24 11:26:35.772,
****s,PLUS会员,"<div class=""comment-star star5""></div>",很好用，面膜和脸的融合度就很好啊，贴上去是那种软软糯糯的感觉，对镇定舒缓祛痘效果真的很好，敷完之后就可以感受到舒缓的很好，泛红过敏之类的第二天看应该都有减轻，我一般也就一周两三次这样子，肌肤也白了许多，我爱了嘻嘻嘻准备还要跟姐妹一起share,,【水油平衡】茶树面膜,,2021-10-15 16:51,2022-04-24 11:26:35.814,
小***2,PLUS会员,"<div class=""comment-star star5""></div>",产品质感：包装高大上使用感受：非常好用，上妆服帖适合肤质：任何肤质都可以用，补水效果：超级超级补水。主要价格优惠，比实体店划算多了，还有赠品送，客服也有耐心，满意,,【镇定舒缓】茶树面膜,,2021-11-10 22:12,2022-04-24 11:26:35.858,
小***丁,PLUS会员,"<div class=""comment-star star5""></div>",产品质感：精华多，清爽不油腻使用感受：使用前，脸颊泛红，使用后，有所缓和，坚持连用两天，效果很明显适合肤质：本人是混油，不算敏感肌，只是换季时会有泛红补水效果：很水润，用后很清爽贴合效果：贴合～,,【镇定舒缓】茶树面膜,,2021-11-21 12:04,2022-04-24 11:26:35.923,
以***劳,PLUS会员,"<div class=""comment-star star5""></div>",像现在这种天气我每天敷一次面膜，皮肤不会那么干。这款面膜非常好用，水分十足，补水效果非常好，里面的精华液非常多，和我在实体店买的一样，但价格比实体店便宜多了。,,【镇定舒缓】茶树面膜,,2021-11-18 18:37,2022-04-24 11:26:35.972,
祺***妍,PLUS会员,"<div class=""comment-star star5""></div>",美迪惠尔茶树精油款的，可以控油祛痘清洁毛孔，很好闻的茶树味道，这款给儿子使用，他容易出油起痘，比较适合这个。面膜液粘稠不油腻，洗完脸敷在脸上特别的清爽，孩子用完说挺舒服的，感觉使用后皮肤光滑细腻了,,【镇定舒缓】茶树面膜,,2021-11-12 09:33,2022-04-24 11:26:36.024,
因***i,PLUS会员,"<div class=""comment-star star5""></div>",产品质感：产品质感很细腻，面膜纸是软软的那种，贴合皮肤的。使用感受：用后补水效果很好，有一种茶树的味道，看配方还有鱼腥草，两种混合的味道吧。适合肤质：适合痘痘肌，晚上用过后第二天豆豆就没有那么红肿了，淡化了很多。应该有淡化痘印的作用。补水效果：补水效果还可以，刚刚敷完觉得脸嫩嫩的，贴合效果：与皮肤的贴和效果还不错，我的脸比较小，刚刚好可以贴到下巴。,,【镇定肌肤】茶树面膜,,2020-11-23 21:40,2022-04-24 11:26:36.445,
黄***3,PLUS会员,"<div class=""comment-star star5""></div>",这款面膜我用很久了，个人而言，很舒服，很满意，性价比也极高，用起来也舒服，对于入门级补水的已经很好了，强烈推荐各位小男生，补水没问题,,【镇定舒缓】茶树面膜,,2021-12-06 19:59,2022-04-24 11:26:36.508,
米***呢,PLUS会员,"<div class=""comment-star star5""></div>",一直用美迪惠尔的面膜，从京东购买性价比很高，满足日常补水使用，效果还是挺好的。面膜纸软软的，敷上很服帖，敷完后水水润润的。,,【水油平衡】茶树面膜,,2021-10-12 07:35,2022-04-24 11:26:36.572,
y***4,PLUS会员,"<div class=""comment-star star5""></div>",面膜上脸很服帖，肌肤贴着很舒服，使用后脸上也有提亮肤色的效果，还有保湿补水，美白效果很好，真的很好用，这款面膜真的很好用,,【水油平衡】茶树面膜,,2021-07-19 10:03,2022-04-24 11:26:36.626,
****1,PLUS会员,"<div class=""comment-star star5""></div>",双十一做活动的时候买的，一次性没了十几种，都想试试看看效果，一直用这个牌子美迪尔惠的蓝色补水面膜，里面面膜布厚实，精华液也很多，敷20分钟都不会干，足够让皮肤吸满精华液，真的物美价廉，物超所值，这个牌子最大的亮点就是补水，而且对于任何肤质都是适合用，敏感肌也能用哦,,【镇定肌肤】茶树面膜,,2020-11-10 17:12,2022-04-24 11:26:36.687,
远***隔,PLUS会员,"<div class=""comment-star star5""></div>",一下买了四盒我觉得美迪惠尔很不错上次就买了四盒这次又买了不同的补水的真的是很给力自我感觉比别的都好用同类产品相比蓝盒的好用,,【镇定舒缓】茶树面膜,,2021-11-19 17:12,2022-04-24 11:26:36.744,
o***萌,PLUS会员,"<div class=""comment-star star5""></div>",使用感受：贴合效果很好，敷上去凉凉的感觉，很舒服适合肤质：对于长痘痘的来说很舒服补水效果：补水还行，精华液也多，总体感觉可以其他特色：可能刚用没几次，整体还没有感觉对皮肤或者痘印的改善，后续再看,,【镇定祛痘】茶树面膜,,,2022-04-24 11:26:36.797,
D***唯,,"<div class=""comment-star star5""></div>",已无数次回购的这个牌子面膜各种系列都超级爱精华超级多妥妥哒敷起来早晚各一片安排～,,【水油平衡】茶树面膜,,2021-06-18 16:14,2022-04-24 11:26:36.851,
****f,,"<div class=""comment-star star5""></div>",产品质感：不错，很好使用感受：温和不刺激适合肤质：任何肤质补水效果：补水效果不错，很保湿贴合效果：很好其他特色：香味很喜欢，淡淡的推荐大家植入哦，我第一次使用，以后还会回购的，很棒，我是混合肤质，很棒很棒，?(???????????)?,,【水油平衡】茶树面膜,,2021-07-01 20:54,2022-04-24 11:26:36.913,
丶***灬,PLUS会员,"<div class=""comment-star star5""></div>",这款面膜用了很长时间，蓝色的是用来保湿的，绿色的是茶树的，因为是敏感肌，所以用来缓解皮肤不良状态的。秋冬季节干燥，没有面膜真的不行阿?补水效果很好，我这个特别容易过敏的皮肤也没有过敏。好评???,【调理水油平衡】茶树面膜,,2020-12-28 18:36,,2022-04-24 11:26:36.973,
果***弟,PLUS会员,"<div class=""comment-star star5""></div>",首先面膜搞活动，忍不住一下子接连买了好几波。然后京东到货速度快到让人怀疑人生。面膜本身，很水润，有淡淡的茶树香。希望可以抑菌消炎，缓解儿子的青春期皮肤各种症状。,,【水油平衡】茶树面膜,,2021-10-03 23:30,2022-04-24 11:26:37.448,
****e,,"<div class=""comment-star star5""></div>",这款面膜好用，薄款冰冰凉凉，里面精华液很多，也不错，吸收的也特别好！下次继续回购?,,【水油平衡】茶树面膜,,2021-08-08 13:59,2022-04-24 11:26:37.504,
m***3,PLUS会员,"<div class=""comment-star star5""></div>",茶树面膜，第一次用，感觉还不错。很滋润，保湿。吸收很快。祛痘效果，由于刚刚使用，还没有明显的感觉。长期使用的的话，应该还是会有效果的。,,【镇定肌肤】茶树面膜,,2020-11-06 08:37,2022-04-24 11:26:37.556,
_***a,PLUS会员,"<div class=""comment-star star5""></div>",大学一直用美迪惠尔的面膜可以说是死忠粉了面膜补水而且味道也很好闻赶上有活动就多囤了几盒给我**邮了过去简直不要太合适补水效果：补水效果好,,【镇定舒缓】茶树面膜,,2021-11-11 09:48,2022-04-24 11:26:37.627,
l***7,PLUS会员,"<div class=""comment-star star5""></div>",4款中我最喜欢的补水镇静的效果非常好而且综合性价比很高精华液很多每次贴完都是水**的感觉面膜本身不易被撕扯变形很好,,【镇定舒缓】茶树面膜,,2021-11-21 10:02,2022-04-24 11:26:37.674,
s***雪,PLUS会员,"<div class=""comment-star star5""></div>",这款美迪惠尔茶树升级版面膜，打开后有淡淡的茶树清香，面膜纸3D立体裁剪，非常贴合面部，面膜精华液含量适中，精华液相对蓝色水库面膜比较清爽，适合大油田痘痘肌的皮肤，敷完面膜之后，明显感觉痘痘瘪了，没有那么红肿了，,,【缓解痘痘】茶树面膜,,,2022-04-24 11:26:37.731,
u***g,PLUS会员,"<div class=""comment-star star5""></div>",希望这款真的可以控油，我是内干外油的肌肤，今天才到货，晚上放冰箱再拿出来敷，期待惊人的效果，因为听朋友们评价说此牌子很好，精华液特别多，特水润，用得好的话以后就不用托朋友从香港带了，直接在你家下单了，因为托别人带实在是太麻烦人家了，毕竟朋友也不是做代购的，蛮不好意思的，应该是正品，信赖京东商城,,茶树面膜10片,,2017-08-12 18:24,2022-04-24 11:26:37.788,
****l,PLUS会员,"<div class=""comment-star star5""></div>",这一款是***的，当时一共买了四盒，两盒补水的，一盒***的，还有一盒绿色消炎的非常推荐的是补水的，还有这个有茶树精油的绿色款,,【水油平衡】茶树面膜,,2021-08-06 19:28,2022-04-24 11:26:37.833,
****i,,"<div class=""comment-star star5""></div>",使用感受：很舒服，很敷贴，就是敷起来没那么水**的。补水效果：还可以，。贴合效果：很贴合。适合肤质：很适合我这样的皮肤，爱长痘痘。,【缓解痘痘】茶树面膜,,,,2022-04-24 11:26:37.890,2020-03-30 10:17
****m,PLUS会员,"<div class=""comment-star star5""></div>",产品质感：个人感觉挺好用的，香香的味道水分也多使用感受：我是敏感皮肤，用了这款不会过敏，值得推荐补水效果：补水效果非常不错贴合效果：贴合的刚刚好，几个位置都有个小切口，这款面膜的设计真的非常好一直都相信京东商城，第二天就能收到货了，物流一流，,,【镇定肌肤】茶树面膜,,2020-09-02 10:24,2022-04-24 11:26:37.965,
****o,PLUS会员,"<div class=""comment-star star5""></div>",这个面膜是我在美丽修行里边查过成分的。成分很安全，没有添加其他的防腐剂。孕妇应该是可以用的。面膜的精华也挺多。个人比较喜欢，推荐。,,【水油平衡】茶树面膜,,2021-05-17 23:28,2022-04-24 11:26:38.376,
n***k,PLUS会员,"<div class=""comment-star star5""></div>",产品质感：质感很好，很柔软很舒服，很亲和皮肤补水效果：用一次之后就会很明显的感觉到它的补水效果，特别是用来急救，效果都非常好使用感受：很亲和皮肤，像云一般棉柔的材质，一直都喜欢，以前用过很多种，但是现在就只认这个了，我是混合皮肤，还敏感，怕油怕干，但是这款面膜用完后不油腻，还补水适合肤质：油性皮肤，混合型皮肤，敏感肌贴合效果：很服帖，大小合适，脸大也不怕贴不满，大脸小脸都适用其他特色：我觉得它最大的特色就是淡化痘印，修复肌肤了！还能有效的控油！补水效果不错,,【缓解痘痘】茶树面膜,,,2022-04-24 11:26:38.435,
s***7,,"<div class=""comment-star star5""></div>",动价格很给力，一直用美一会儿面膜，做完之后皮肤真的很好，如果能天天做的话，皮肤有明显的改善，，趁着搞活动，总是会多买好几盒。,,【镇定舒缓】茶树面膜,,2022-01-07 07:32,2022-04-24 11:26:38.489,
冰***情,PLUS会员,"<div class=""comment-star star5""></div>",一到换季脸就过敏起皮，红一块白一块，早晨要比平时花更长时间收拾脸，依然卡粉脱粉很是苦恼，这款茶树面膜舒缓保湿效果非常好，简直就是换季救星。新包装增加了防伪自查功能，大家可以试一试。,,【水油平衡】茶树面膜,,2021-09-25 21:29,2022-04-24 11:26:38.539,
Q***W,PLUS会员,"<div class=""comment-star star5""></div>",油痘肌，希望能改善皮肤状态，不起痘，一直用这个牌子的面膜，但都适用不睡的，这次换这个试试，期待，希望好用，送货速度非常快，满意,,【水油平衡】茶树面膜,,2021-07-06 12:44,2022-04-24 11:26:38.590,
温***呀,,"<div class=""comment-star star5""></div>",有史以来用过最好用的面膜，没有之一。每次都是搞活动的时候买，优惠力度很大，超级喜欢。精华超级多，每次敷20分钟还是水分特别足，很棒棒。,,【水油平衡】茶树面膜,,2021-07-31 09:24,2022-04-24 11:26:38.638,
****t,PLUS会员,"<div class=""comment-star star5""></div>",150多四盒补水应该不错隔天就送到了满意用用试试这个品牌还没用过价格很实惠满意用着好还会回购的推荐入手,,【调理水油平衡】茶树面膜,,2020-12-23 18:19,2022-04-24 11:26:38.699,
薛***皓,PLUS会员,"<div class=""comment-star star5""></div>",一直都用这款面膜，里面的精华也很多，上次刚刚买过，这次是买给弟弟的，用着也不错呦,,【水油平衡】茶树面膜,,2021-08-04 09:21,2022-04-24 11:26:38.754,
z***6,PLUS会员,"<div class=""comment-star star5""></div>",物流很快，遇上活动很划算，超级物美价廉的，以前用过效果还不错，补水效果还可以，保湿度很好，也好吸收，不知道这个跟直接自己在店里买的一样不，包装的也很好……,,【调理水油平衡】茶树面膜,,2021-01-22 10:57,2022-04-24 11:26:38.807,
笑***l,PLUS会员,"<div class=""comment-star star5""></div>",MEDIHEAL的茶树油面膜，补水效果好，面膜贴合程度非常好。精华液份量很足，官方旗舰店购买，品质有保障，京东快递送货上门，速度快。,,【水油平衡】茶树面膜,,2021-08-19 22:58,2022-04-24 11:26:38.870,
夏***线,PLUS会员,"<div class=""comment-star star5""></div>",这个面膜很好，产品质感使用感受都很好，适合各种肤质，补水效果很好，值得购买收藏，并且分享给身边的朋友们。京东商品品质保证，加油京东！,,【水油平衡】茶树面膜,,2021-04-05 19:18,2022-04-24 11:26:39.279,
兜***7,PLUS会员,"<div class=""comment-star star5""></div>",产品质感：摸起来丝滑极了，是大品牌的产品。使用感受：润润的，滑滑的，皮肤特别嫩。适合肤质：个人认为适合所有肤质，不喜勿喷。补水效果：那是杠杠滴，面膜本来的作用就是补水。贴合效果：棒子的这些产品做得还是蛮精致的，所以也很贴合。其他特色：送货速度特别快，为快递点赞！,,【缓解痘痘】茶树面膜,,,2022-04-24 11:26:39.335,
****a,PLUS会员,"<div class=""comment-star star5""></div>",性价比很高的一款面膜，感觉还可以，冬天干燥，一周最起码俩三天敷一次。趁活动一下买了三盒，感觉超级划算，美白，保湿，补水！,,【调理水油平衡】茶树面膜,,2021-02-05 16:06,2022-04-24 11:26:39.390,
梦***f,,"<div class=""comment-star star5""></div>",这次活动买了好多，还给同学买了好多，还推荐给了同学，都说很不错，相信京东的质量，多多再来,,茶树面膜10片,,2017-06-25 10:18,2022-04-24 11:26:39.451,
胖***猫,PLUS会员,"<div class=""comment-star star5""></div>",其他特色：京东快递速度依旧出色，今天下单隔天必到使用感受：贴在脸上很水润，补水效果相当不错，而且敷起来相当贴合适合肤质：一般度可以用，我是油性皮肤，感觉效果挺好,,【镇定肌肤】茶树面膜,,2020-10-11 18:11,2022-04-24 11:26:39.504,
罗***凯,PLUS会员,"<div class=""comment-star star5""></div>",真的很喜欢这款面膜，不愧是风靡当时的一款韩国面膜。服帖、精华多、不粘腻，特别好！产品质感：非常好，膜布上面还有一行行的商标名称，一看就是正品。使用感受：感受特别棒，很服帖，而且精华很多不粘腻，全都吸附在膜布上，袋里面没有多少精华。适合肤质：大油皮适用。补水效果：控油补水贴合效果：非常适合脸型，很服帖。,,【缓解痘痘】茶树面膜,,,2022-04-24 11:26:39.554,
丧***想,,"<div class=""comment-star star5""></div>",产品质感：包装设计风格很好看。使用感受：晚上开始敷面膜的时候，打开有一股淡淡的香味，挺好闻的，面膜的效果也很好。适合肤质：中性肤质。补水效果：补水效果非常好，用完睡一个晚上早上起来脸还是滑滑的，保湿效果不错，真的很好用。贴合效果：面膜敷在脸上很服帖。,,【镇定肌肤】茶树面膜,,2020-06-30 22:54,2022-04-24 11:26:39.601,
z***c,PLUS会员,"<div class=""comment-star star5""></div>",包装好，物流快，送货上门。趁着618有活动整了一波，一直用的这个牌子的面膜，很润，保湿效果不错，不会有刺激性，不容易过敏。有好几种不同款式的，每一种都试过，这个茶树的很清爽，味道闻着也不错。会继续回购。,,【镇定肌肤】茶树面膜,,2020-06-21 10:19,2022-04-24 11:26:39.644,
****x,,"<div class=""comment-star star5""></div>",这个针对痘痘肌肤，茶树精华，效果明显，用过多种高端面膜，唯独对它情有独钟也是效果最佳的，我以后就一直用这个面膜了，任何好的的东西，不在贵贱，只有适合自己的才是最重要的。,,茶树面膜10片,,2018-07-28 09:53,2022-04-24 11:26:39.688,
t***9,PLUS会员,"<div class=""comment-star star5""></div>",因为皮肤属于油痘肌，所以水油不平衡时，经常会长痘痘，特别令人心烦。这款茶树油是属于平衡水油的，用过后确实有效果。只要京东有优惠活动，都会囤一些，因为经常用，价格也实惠。,,【水油平衡】茶树面膜,,2021-06-06 10:13,2022-04-24 11:26:39.749,
j***0,PLUS会员,"<div class=""comment-star star5""></div>",这款面膜很不错，补水性很好，皮肤水润润的很速度，皮肤也很有弹性，相当亲肤的一款产品，推荐大家购买，京东发货速度相当的快速，很好。,,【水油平衡】茶树面膜,,2021-06-13 22:42,2022-04-24 11:26:40.174,
小***H,PLUS会员,"<div class=""comment-star star5""></div>",我是美迪惠尔的老粉丝老用户了，作为一名男生也是要补水的，特别喜欢这款，因为补水效果特别好，贴合也是很紧致，整张脸都可以贴合上，没有刺激感，用了这么久，明显皮肤变好了哦。,,【调理水油平衡】茶树面膜,,2021-03-06 12:08,2022-04-24 11:26:40.243,
D***u,PLUS会员,"<div class=""comment-star star5""></div>",喜欢，这一款，一周用一次，好用，不过敏，水油平衡效果很好，每次皮肤干燥起皮的时候用上，效果很好，多次购买了，很喜欢，味道也好。,,【调理水油平衡】茶树面膜,,2021-01-01 21:43,2022-04-24 11:26:40.327,
b***2,,"<div class=""comment-star star5""></div>",一直买一直用，碰到京东活动，性价比更好，更高，日常护理少不了，补水效果好。买了这么多次，唯独这次碰见活动力度比较大的一次，果断人手。虽然家里还没断粮，还有很多，但是忍不住就买了呀，这个也不会过期的，很快会用完的呢。,,【镇定祛痘】茶树面膜,,,2022-04-24 11:26:40.422,
女***梦,PLUS会员,"<div class=""comment-star star5""></div>",产品质感：细腻，精华很多。使用感受：很舒服，不刺激，不过敏。适合肤质：我是混合型皮肤，用着很补水，也不油腻。特别是有痘痘的花，敷一片面膜，第二天痘痘会瘪下去一些。补水效果：虽然说是控油的，到时补水效果也是很好的。贴合效果：很贴合，容易贴到脸上。其他特色：日常款，天天敷感觉都没问题。值得推荐。,,【缓解痘痘】茶树面膜,,,2022-04-24 11:26:40.478,
y***岁,,"<div class=""comment-star star5""></div>",宝贝收到，一如既往的好，包装很到位，很严实。质量还不错，很喜欢，大品牌值得信赖。水油平衡这款第一次敷效果不错，皮肤细腻了一些，希望后续使用一切ok吧,,【水油平衡】茶树面膜,,2021-08-05 22:46,2022-04-24 11:26:40.529,
****c,,"<div class=""comment-star star5""></div>",补水效果：用完之后脸上很水嫩适合肤质：我是油性肌肤，用完感觉很不错贴合效果：很贴合，不会有什么气泡由于最近不上班，在家也没有什么事，就在京东上选了这一款面膜，确实很好用，最重要的还是要坚持吧，我基本上每天都会敷，要不是晚上睡觉前，或者就是洗完澡,【缓解痘痘】茶树面膜,,,,2022-04-24 11:26:40.588,2020-03-05 18:31
u***j,,"<div class=""comment-star star5""></div>",从高三后开始用一直觉得很好，性价比很高，对于祛痘只能说差不多不能代表用了就能消失，还是需要从自身找问题解决。,,【镇定舒缓】茶树面膜,,2021-11-08 01:05,2022-04-24 11:26:40.650,
c***e,PLUS会员,"<div class=""comment-star star5""></div>",产品质感细腻，精华液充足。使用后脸部湿润有水分。贴合效果良好，能够完全覆盖脸部。补水效果很好，适合干燥皮肤的人，睡觉前做一张，早上起来脸部也还是很舒服。包装简单，一盒十个，刚好一个月三天一张，给脸部补一补,,【缓解痘痘】茶树面膜,,,2022-04-24 11:26:40.705,
