用户名,会员,星级,评论,类型1,评论时间1,类型2,评论时间2,采集时间,评论时间3
汪***6,PLUS会员,"<div class=""comment-star star5""></div>",每款面膜都有每款面膜的优点和适合人群，美迪惠尔面膜是韩国制造，价格还可以，搞活动买的，面膜膜贴质量好，而且还水润，味道淡淡的，贴上二十几分钟面膜还有很多液体，非常保湿补水，美白，收缩毛孔。改善暗沉，非常赞赞！物流也是次日达。很好。,【弹力紧致】胶原蛋白面膜,,,,23:05.7,2020/3/9 12:29
p***3,PLUS会员,"<div class=""comment-star star5""></div>",买了三款，每个都很满意，特别补水，皮肤不起干皮了，北方太干燥了。面膜很服帖，里面精华很多，不刺激，也没有香味，适合我。搞活动便宜了一半。,,,【光滑弹嫩】胶原蛋白面膜,2021/11/19 17:08,23:05.8,
z***m,PLUS会员,"<div class=""comment-star star5""></div>",多快好省，到货是新升级版的，日期新鲜，补水效果特别好，水水嫩嫩，清凉舒适，而且每片面膜都印有防伪LOGO。各种款式的都试了一下，效果真是棒棒哒！,,,胶原蛋白面膜,,23:05.8,
m***4,PLUS会员,"<div class=""comment-star star5""></div>",京东活动买的，超级划算，希望多多搞活动。物流最给力，昨晚半夜一点下单，今天下午到货。东西看着不错，还没有使用，使用后再来评价。总体不错，评价挺高，用着试试，好的话以后会持续使用。包装比较小，估计精华不会太多,【弹力紧致】胶原蛋白面膜,,,,23:05.9,2020/2/28 21:19
w***5,PLUS会员,"<div class=""comment-star star5""></div>",产品质感：这个很喜欢，补充脸部的胶原蛋白，应该是正品，赶上活动就买了，非常合适，性价比高推荐大家购买，用过好几个牌子的面膜，还是美迪惠尔更适合我，我妈都说我这两天皮肤变得粉嫩了哈哈哈，美迪惠尔的面膜真的很好。贴合面部。,,,【提亮紧致】胶原蛋白面膜,2020/7/25 0:11,23:05.9,
位***杰,PLUS会员,"<div class=""comment-star star5""></div>",不同功能的面膜，搭配使用效果更好。早晚使用适合肤质：混油或者干性产品质感：很好，使用感受：补水效果很好，香香的贴合效果：贴合面部，大小适中，包装也还可以。补水效果：不错，用完脸嫩嫩的,,,【光滑弹嫩】胶原蛋白面膜,2021/10/6 19:45,23:06.0,
****r,PLUS会员,"<div class=""comment-star star5""></div>",当有活动的时候买超级超级划算，面膜包装很有质感的样子，喜欢这个形状，颜色也好看，主要是里面的面膜很贴合脸型，不会太大也不会太小刚刚好，厚度也合适，十五分钟后揭下来面膜也不干，精华液能都附着在面膜纸上，不错不错,【弹力紧致】胶原蛋白面膜,,,,23:06.0,2020/4/13 14:40
W***9,PLUS会员,"<div class=""comment-star star5""></div>",产品质感：产品的质感比较细腻，上脸舒服。使用感受：黄色的是补充胶原蛋白。相对于补水的来讲。可能功效更大。适合肤质：上脸不会很油腻，使用起来也很舒服。补水效果：补水效果一般，因为针对的是补充胶原蛋白。,,,【光滑弹嫩】胶原蛋白面膜,2022/2/22 16:20,23:06.1,
布***夏,,"<div class=""comment-star star5""></div>",产品质感：面膜纸设计精致，敷在脸上柔软舒适，透气不闷使用感受：滋润补水，不紧绷适合肤质：我是敏感肌肤，使用后不过敏补水效果：精华液粘稠，补水效果很赞贴合效果：我脸比较大，能贴和全脸和下巴其他特色：以前用补水的，头一次用这款，没想到效果这么好，大爱啊，活动时买了三盒，，以后会长期坚持使用,【弹力紧致】胶原蛋白面膜,,,,23:06.5,2020/1/18 9:26
****x,,"<div class=""comment-star star5""></div>",产品质感：很好，设计也很有特色。使用感受：很水润，补水效果非常好?适合肤质：各种肤质都可以吧补水效果：非常不错的贴合效果：很好的，服贴度很好?其他特色：活动的时候囤货很合适,,,【光滑弹嫩】胶原蛋白面膜,2021/10/30 10:27,23:06.6,
鹿***娘,,"<div class=""comment-star star5""></div>",面膜挺好用的，挺补水的，用完一盒，感觉还是相当不错的，面膜特别大轻轻松松就能把整张脸覆盖住，用完之后脸滑滑嫩嫩的，补水效果也不错，就是味道很不习惯，至于效果暂时没有看出来，毕竟护肤是要长期的。,,,【光滑弹嫩】胶原蛋白面膜,2021/9/4 14:48,23:06.6,
孙***2,PLUS会员,"<div class=""comment-star star5""></div>",产品质感：这个面膜是之前我就买过的，然后这次在京东上看到了活动，毫不犹豫就开始囤了。产品质感上还是挺好的，，所以贴在脸上感觉很舒服。使用感受：我觉得我贴完以后，皮肤比之前有比较明显的，感觉，贴完以后皮肤会变得更滑一点，感觉更通透一些，因为我皮肤毛孔比较粗大，又容易泛油，而且会有痘痘，所以这款的清洁力度感觉是很不错的。适合肤质：个人觉得应该什么皮肤都合适吧，反正我是油皮，混合性偏油性有痘痘，觉得挺好的。补水效果：补水效果很好，就是因为清洁和补水效果好，所以我才又买的。真的，贴完以后我感觉皮肤是比较舒服的。贴合效果：挺贴合的，剪裁什么的都挺不错，我脸属于偏小一些，用起来也挺好。在脸上也很服帖，总体来说是我蛮喜欢的一款面膜，用到现在来说。其他特色：最开始用这款面膜的时候，我就觉得像是医用面膜，上面一个小小的像吊瓶一样的，就是说是给补水的作用吧，反正看包装觉得还挺形象的。所以总体来说还是挺喜欢的一款。我也有尝试过其他的面膜，但是觉得这款应该真的是有竹炭的成分，清洁的感觉比较明显，用完以后皮肤真的感觉比其他面膜用起来是要舒服的，好像皮肤油脂少了,,,【光滑弹嫩】胶原蛋白面膜,2021/9/23 10:21,23:06.6,
****h,PLUS会员,"<div class=""comment-star star5""></div>",补水效果：很补水适合肤质：所有肤质使用感受：很水润好用好用，用过比说好,,,【光滑弹嫩】胶原蛋白面膜,2021/10/7 14:28,23:06.7,
新***空,PLUS会员,"<div class=""comment-star star5""></div>",买这款美迪惠尔胶原蛋白面膜的原因是作为补水保湿面膜的补充来使用的。美迪惠尔韩国原装进口的好产品，对脸部皮肤的保养有很好的效果。胶原蛋白面膜让你的皮肤弹弹的,【盈润光滑弹嫩】胶原蛋白面膜,2020/12/31 19:03,,,23:06.7,
****3,PLUS会员,"<div class=""comment-star star5""></div>",东西很不错，包装也是非常的好，用过一段时间，东西是正品，味道也很正，用起来效果还是不错的，我的皮肤是混油皮，在加上敏感肌肤，使用起来完全没问题，敏感肌能用的东西其他肤质的一样没问题，补水效果和保湿效果还是比较明显，不错,【弹力紧致】胶原蛋白面膜,,,,23:06.8,2020/1/8 13:19
迁***子,,"<div class=""comment-star star5""></div>",产品质感：敷料质感挺好的使用感受：补水效果挺好的。适合肤质：干性皮肤没问题，其他肤质不知道咋样哈补水效果：补水效果很好，用完水水的。贴合效果：很贴合哦。其他特色：价格实惠，评价面膜很不错哦。,,,【光滑弹嫩】胶原蛋白面膜,2021/11/18 17:41,23:06.8,
****明,,"<div class=""comment-star star5""></div>",这个牌子的面膜每一种都买了一盒。每一种都还挺好用的。一盒十片。每天有一片的话，可以用十天，搞活动买的，非常优惠，非常实惠。你起来一点都不心疼。而且还很不错。嗯，希望用了之后有效果。然后还会继续买这个牌子的，从京东买特别方便，送货特别快。,【提亮紧致】胶原蛋白面膜,2020/6/29 21:34,,,23:06.9,
c***a,PLUS会员,"<div class=""comment-star star5""></div>",秋冬季节到了，皮肤容易出现各种问题。皮肤干燥，红血丝，爱过敏，这款面膜水分很足，能很快速地补充水分，让皮肤变得水水的，不再干燥。,,,【光滑弹嫩】胶原蛋白面膜,2021/11/14 12:40,23:06.9,
蔡***8,PLUS会员,"<div class=""comment-star star5""></div>",本人是正常每天早晚各一片面膜的，用的也多，图片是买来后用的手里就剩这些没用完的了，还搭配其他的款日常使用的，面膜有4款，每一款效果都不同凡响，好用，保湿效果很棒呢，我都是放冰箱里保鲜，用的时候很舒服?,,,【光滑弹嫩】胶原蛋白面膜,2021/10/25 11:41,23:07.3,
****3,,"<div class=""comment-star star5""></div>",很棒的面膜，很服帖！很水润！用了好几次了，敷完脸上水水的，特别舒服！活动的时候下单简直太划算了！囤了好几盒，因为太好用！！,【盈润光滑弹嫩】胶原蛋白面膜,2021/3/4 17:53,,,23:07.4,
S***咚,PLUS会员,"<div class=""comment-star star5""></div>",特别好用，一点都不刺激，用了两次，没有任何不适感，补水效果非常好，敷完以后脸显得特别干净，适用于任何皮肤，补水锁水，敏感肌也可以用！,,,【光滑弹嫩】胶原蛋白面膜,2022/2/17 16:24,23:07.5,
S***g,,"<div class=""comment-star star5""></div>",三份订购，优惠多多，值得推荐。来自：美迪惠尔(Mediheal)胶原蛋白精华面膜10片/盒（深层补水提亮肤色紧致肌肤男女适用）可莱丝韩国进口。订购物品，本人已经收到了，看上去，还是非常不错的。,,,【光滑弹嫩】胶原蛋白面膜,2021/7/12 0:07,23:07.5,
Z***Y,,"<div class=""comment-star star5""></div>",美迪惠尔(Mediheal)胶原蛋白面膜10片水库针剂物流速度非常快，两天就收到货了，包装也非常专业，面膜没有任何损坏。打开包装非常惊喜，这款面膜外观美丽，产品质感很好，适合各种肤质，补水效果不错，精华含量很多，贴合度也很强。精华也比较多，可以用了涂脖子和手手，应该各种肤质都能用吧，用完感觉脸水嫩嫩的。而且销量这么大，肯定质量也是非常好，得到大家信任。,,,【提亮紧致】胶原蛋白面膜,2020/11/10 16:00,23:07.6,
****p,PLUS会员,"<div class=""comment-star star5""></div>",第一次用这个面膜，之前听朋友推荐过这个面膜说挺好用的，这次买来用了用。面膜纸挺薄挺服帖的，感觉用着很不错，也很补水，天气干燥需要多补水，我是干皮，用完感觉还不错，很光滑。物流也挺快的，没有用太多，用了两三片，感觉还行。,,,【弹力紧致】胶原蛋白面膜,,23:07.6,
****q,PLUS会员,"<div class=""comment-star star5""></div>",产品质感：正常好！使用感受：非常好！适合肤质：干性皮肤！补水效果：有效果很好！贴合效果：挺好的嘛！其他特色：可以！我皮肤比较干，但是又不愿意脸上随便用东西，然后就试了试孕妇的护肤品，感觉补水效果好又不会伤皮肤，就一直用了，用完继续回购！,,,【光滑弹嫩】胶原蛋白面膜,2021/9/10 20:42,23:07.7,
慧***笑,PLUS会员,"<div class=""comment-star star5""></div>",用了美迪惠尔面膜已经有五年了，从朋友那听说这个牌子面膜特别好，所以一用就用了五年。用了后的确不错，贴合度很好，敷完面膜后特别光滑，感觉肌肤喝足了水分。值得推荐???,,,【光滑弹嫩】胶原蛋白面膜,2022/4/3 13:40,23:07.7,
w***龙,PLUS会员,"<div class=""comment-star star5""></div>",产品质感：高大上的赶脚使用感受：坚持用能看见白白嫩嫩的适合肤质：个人是混合型的补水效果：美白补水不错贴合效果：很服帖其他特色：其他特色：每个人的肤质不同，个人觉得值得推荐吧,,,【光滑弹嫩】胶原蛋白面膜,2021/11/17 16:21,23:07.8,
不***呢,PLUS会员,"<div class=""comment-star star5""></div>",这款胶原蛋白面膜已经用了两贴，很舒服，面膜质地柔软细腻，有点厚，但是贴上去很服帖，也很舒服，精华虽然不是很多，但也足够了～使用感受：很贴合皮肤，用了之后皮肤比较清爽光滑不油腻，很容易吸收适合肤质：各种肤质都可以使用,【弹力紧致】胶原蛋白面膜,,,,23:07.8,2019/10/29 22:56
****e,,"<div class=""comment-star star5""></div>",在网上看到这款面膜，很好的口碑，京东一搜买的人这么多呢，决定一试，从下单开始就在期待啦，每天都看快递无数次，嘻嘻～今天收到，京东的快递从来没让我失望过，太赞了，京东的招牌呀～今天晚上试了一下，超级服帖，是我用过的面膜中最服帖的一款啦，太爱了～淡淡的清香味很舒服，很柔和～相信效果会像样式的那样杠杠的，爱啦爱啦～以后还会无限回购的，嘻嘻～,,,【弹力紧致】胶原蛋白面膜,,23:08.2,
y***毅,PLUS会员,"<div class=""comment-star star5""></div>",不得不说这款面膜还是很棒的，贴在脸上很温和，很舒服，当然不排除有些人会过敏，产品质感：很舒服，很温和，使用感受：性价比高适合肤质：个人是油性皮肤，适合使用补水效果：还行贴合效果：个人脸比较大，贴不住其他特色：性价比太高了,,,【光滑弹嫩】胶原蛋白面膜,2021/10/4 7:27,23:08.3,
w***l,PLUS会员,"<div class=""comment-star star5""></div>",这款面膜之前用过蓝色的那个，很好用的，面巾大，精华多，这次看到有活动，很是超值，就下单了三盒，囤着慢慢用，感觉好，又下单了三盒送给朋友，都说好用，用完还会回购的！,,,【光滑弹嫩】胶原蛋白面膜,2021/4/1 7:29,23:08.3,
中***3,PLUS会员,"<div class=""comment-star star5""></div>",产品质感：蛮不错的，内外包装都非常好使用感受：补充皮肤的胶原蛋白。适合肤质：不限肤质，都可以，挺好的补水效果：主打是胶原蛋白，补水也没拉下，还不错。自营商品质量不会担心，京东快递速度让人非常满意，超级快，服务好。,,,【光滑弹嫩】胶原蛋白面膜,2021/9/25 3:40,23:08.3,
温***呀,,"<div class=""comment-star star5""></div>",产品质感：面膜质地非常轻薄柔软，很贴合面部。使用感受：凉凉的，夏天用起来非常舒服，毫无异物感。适合肤质：本人混合型，用起来很好，不闷痘。补水效果：非常棒，用一次效果就很明显。,,,【光滑弹嫩】胶原蛋白面膜,2021/7/31 11:05,23:08.4,
不***猪,PLUS会员,"<div class=""comment-star star5""></div>",买了有段时间了，今天拆开试试，效果超出我想象！包装很高级，拿出来也很有质感，精华液非常多，用起来很舒服，面膜纸也很贴合，敷完脸很滑～,,,【光滑弹嫩】胶原蛋白面膜,2021/8/22 23:29,23:08.4,
可***澄,PLUS会员,"<div class=""comment-star star5""></div>",宝贝收到了，扫了二维码，查了是正品，京东物流非常快，隔天就到了，一直用的是补水面膜，这次用这个试试看，好的话会继续回购的，面膜纸非常轻薄透明，敷在脸上很舒服，精华液很多，非常补水，效果特别明显，第二天脸上嫩嫩的，我是干皮和敏感肌肤，用这个非常合适。快递****保护的很好，细节好评！,胶原蛋白面膜,,,,23:08.5,2019/10/7 19:18
韩***子,,"<div class=""comment-star star5""></div>",产品质感：丝滑柔软，水嫩肌使用感受：光滑有弹性适合肤质：适合任何肤质补水效果：补水超级好贴合效果：贴合感强其他特色：水分超级大，适合任何肤质和人，水嫩有弹性，使得皮肤更上一层楼啊，光滑如初恋般的感觉，哈哈哈?,【弹力紧致】胶原蛋白面膜,,,,23:08.5,2019/11/3 21:50
****1,PLUS会员,"<div class=""comment-star star5""></div>",美迪惠尔胶原蛋白精华面膜的功效主要在于它能够很好的给我们的皮肤补充水分和营养，有效的改善皮肤，由于缺乏水分和营养造成的干燥紧绷问题，而且能够使皮肤更加的紧致，对于引起的皮肤松弛，也有很好的改善效果，同时，产品还能够促进后续护肤品被皮肤的吸收和利用。,,,【光滑弹嫩】胶原蛋白面膜,2022/3/28 23:04,23:08.6,
s***o,,"<div class=""comment-star star5""></div>",美迪惠尔新胶原蛋白面膜精华很多，大大的一张贴满整张脸，20分钟后揭下来，脸部没有刺激感，很舒服，剩余的精华通过轻轻拍打并会吸收！,,,【光滑弹嫩】胶原蛋白面膜,2021/6/20 18:40,23:08.6,
瘦***纸,PLUS会员,"<div class=""comment-star star5""></div>",我是直接买了图中黄色和蓝色包装的两种，主要是做活动比较划算……产品质感：面膜纸薄款，精华满满使用感受：我可能是皮肤严重缺水，用完后，我习惯用一次性洗脸巾浸湿擦干净多余的精华，很明显能看到提亮了变白了不少适合肤质：我不是敏感肌，所以不能确定敏感肌能不能用补水效果：非常显著，擦干净最后再涂个乳之类的其他特色：物美价廉，可以囤起来日常敷,,,【光滑弹嫩】胶原蛋白面膜,2021/8/21 0:50,23:09.0,
事***啊,PLUS会员,"<div class=""comment-star star5""></div>",十分水润质感舒服的面膜，非常喜欢，味道很好闻，对皮肤很好，清爽不油腻，使用起来非常舒服，很方便很喜欢，希望用完皮肤滑滑嫩嫩哒,,,【光滑弹嫩】胶原蛋白面膜,2021/7/29 11:10,23:09.1,
小***彡,PLUS会员,"<div class=""comment-star star5""></div>",敷了一张，感觉还挺好的。敷起来还有一股淡淡的香味还蛮好闻的。材质很好，精华液很多，但是敷的时候不会到处滴，满满的水分，大小刚刚合适脸型，贴上很服帖，不会起气泡，延展性很好，水润润的，嫩嫩的超级喜欢用着很软很舒服。超级喜欢，我觉得就已经是特别的好了，面膜很服帖也很补水用着挺好的，会一直回购的！,,,【盈润光滑弹嫩】胶原蛋白面膜,2021/2/28 7:31,23:09.1,
爱***使,PLUS会员,"<div class=""comment-star star5""></div>",非常非常好用的一款面膜，查询了一下都是真的，用完之后脸上特别的光滑，水分也特别的多，妈妈和媳妇特别喜欢，下次继续来买这一款的非常喜欢的这一款的面膜，谢谢好了！！！,胶原蛋白面膜,,,,23:09.2,2018/10/24 16:22
如***0,PLUS会员,"<div class=""comment-star star5""></div>",使用感受：这一款经常购买，用起来很不错。补水效果：北方老家比较干，晚上用着补补水，效果很不错。贴合效果：贴合很不错。其他特色：价格很不错，非常实惠，总体来说值得购买。,,,【光滑弹嫩】胶原蛋白面膜,2022/2/27 9:46,23:09.2,
兔***0,,"<div class=""comment-star star5""></div>",这款面膜种草了很久，听朋友说特别好用，胶原蛋白对皮肤特别好。用了一段时间了，才来评价，感觉皮肤比之前好了很多。比之前用的都牌子的面膜好用多了。用完继续回购，希望越来越好。这款面膜种草了很久，听朋友说特别好用，胶原蛋白对皮肤特别好。用了一段时间了，才来评价，感觉皮肤比之前好了很多。比之前用的都牌子的面膜好用多了。用完继续回购，希望越来越好。,,,【光滑弹嫩】胶原蛋白面膜,2021/9/7 9:47,23:09.3,
峦***已,PLUS会员,"<div class=""comment-star star5""></div>",个人觉得还是挺好用的我是过敏性皮肤这个用上去脸也不疼虽然精华有点少但对于我这样不爱精华多的人也是够用了刚刚好买了四盒很便宜每天贴两贴正好味道好闻面膜纸稍微厚上面还有压上去的字看起来很有质感,,,【弹力紧致】胶原蛋白面膜,,23:09.3,
****7,PLUS会员,"<div class=""comment-star star5""></div>",618活动买了好几盒，试用了蓝色的那款，很补水，用完水润润的，挺不错，在京东买价格实惠，产品效果好，用完下次会再回购的。希望以后多些优惠活动就好了！！！！！！！补水效果：超级补水贴合效果：面膜质地轻薄，很贴合适合肤质：适合任何肤质使用感受：很补水,【提亮紧致】胶原蛋白面膜,2020/6/24 10:17,,,23:09.4,
e***w,PLUS会员,"<div class=""comment-star star5""></div>",骨胶原的这款面膜我没有用过，之前一直用的都是补水的蓝色那款，补水那款感觉用完之后的确是保湿的，至少不图任何面霜都不会紧绷，所以这次搞活动在买来一个骨胶原?VC美白的一起来试一试，看看效果如何，用了之后感觉质地很顺滑，也不会有紧绷感，胶原蛋白在脸上慢慢吸收的感觉，不能指望用一次面膜会完全解决所有面部问题，但是我相信持之以恒坚持用下去是可以延缓衰老的，所以这款面膜很值得推荐，性价比也很高，有不同的功效，美白，保湿，胶原蛋白，根据自己的实际需要用下去应该就会看到回报！,,,【盈润光滑弹嫩】胶原蛋白面膜,2021/1/17 12:35,23:09.4,
知***乐,PLUS会员,"<div class=""comment-star star5""></div>",第十次购买美迪惠惠尔新胶原蛋白面膜，效果很好，水份充足，质感很强，使用后感觉很舒服，特别是补水性、保温性很强，价廉物美，值得购买！,,,【光滑弹嫩】胶原蛋白面膜,2022/1/15 21:40,23:09.5,
****0,PLUS会员,"<div class=""comment-star star5""></div>",京东自营商品，值得推荐购买。这款胶原蛋白面膜水水很足，补水也很充分，用了用的时候感觉有点粘人，但是用毕后，皮肤明显很Q，体验不错，性价比也挺好的。,,,【光滑弹嫩】胶原蛋白面膜,2021/6/19 19:24,23:09.9,
星***天,PLUS会员,"<div class=""comment-star star5""></div>",产品质感：高端大气上档次的产品设计，美迪惠尔也是韩国面膜的老品牌了，从朋友那里几年前就被种草了，而且现在价格也比几年前要便宜了，所以整体来说十分的合适。使用感受：面膜布是升级的，很薄，不粘腻，精华液刚刚好的份量，不浪费，贴在脸上很服帖，第一天贴完，第二天起床皮肤状态很好，很透亮。适合肤质：个人觉得适合中性乃至油性皮肤吧，因为不是主打的补水。贴合效果：十分服帖，在脸上不容易起气泡，很舒服。补水效果：这款不是主打补水的，所以补水效果一般吧。其他特色：包装很简洁大气，也很好撕开。,,,胶原蛋白面膜,,23:09.9,
D***u,PLUS会员,"<div class=""comment-star star5""></div>",相当实惠，好用无刺激无添加，下次还会继续买，这一次可以用好几个月，很有分量水多产品质感：保湿不腻适合肤质：任何肤质补水效果：好好好贴合效果：适合女性面部大小，贴合,【光滑弹嫩】胶原蛋白面膜,2021/3/31 21:18,,,23:09.9,
****f,PLUS会员,"<div class=""comment-star star5""></div>",美迪惠尔的忠实粉丝！用他家面膜很多年了，现在身边的很多，姐妹都在用这款面膜，好东西姐妹们一起分享！性价比很高，又是京东自营用起来放心安全！补水保湿方面真的很好，妆前贴张面膜，妆容服帖一整天！真的大赞！趁活动买来屯货！,,,【光滑弹嫩】胶原蛋白面膜,2021/8/2 9:14,23:10.0,
喵***e,,"<div class=""comment-star star5""></div>",补水效果：补水保湿贴合效果：非常服帖京东物流就是快，昨天下单今天就到了。这次有优惠活动买了几盒。以前一直用美迪惠尔面膜，这款胶原蛋白面膜，除了补充胶原蛋白，还很补水保湿，适用所有肤质，坚持连续用有很明显的效果，用后皮肤光泽透亮，滑滑嫩嫩的。,胶原蛋白面膜,,,,23:10.0,2019/8/30 14:41
十***6,PLUS会员,"<div class=""comment-star star5""></div>",产品质感：好使用感受：不错适合肤质：??补水效果：赞贴合效果：很贴合这次活动229买了5盒真的很棒折合下来真的不要太便宜补水效果很棒敷完以后嫩嫩的精华也还好贴合的很齐整京东物流也是又快又准给力京东小哥态度也很棒还是无限回购支持京东?,【弹力紧致】胶原蛋白面膜,,,,23:10.1,2020/3/7 14:37
****5,PLUS会员,"<div class=""comment-star star5""></div>",我用这个牌子已经用了很久了，最近晒得比较厉害，有点黑有点缺水，所以呢，急需要用补水的面膜，面膜用的还不错，里面的液体非常多敷在脸上也非常润泽了。,,,【光滑弹嫩】胶原蛋白面膜,2021/6/29 13:17,23:10.1,
****d,PLUS会员,"<div class=""comment-star star5""></div>",照片上显示了收到产品时的包装，很不错，完好无损。使用了两次感觉这个面膜挺柔软的，使用之中和之后都没有感觉皮肤不适，无刺激，应该适合于大多数人的肤质，而且用后感觉皮肤挺润的，第二天早上依然感觉皮肤润润的。是否冻龄不清楚，但保湿还不错。,【弹力紧致】胶原蛋白面膜,,,,23:10.2,2019/10/29 12:08
****l,PLUS会员,"<div class=""comment-star star5""></div>",搞活动入手，和蓝色那款一块买的，补充脸部胶原蛋白，精华含量很多，贴合面部，用完皮肤Q弹，感觉一下年轻了好几岁，敏感肌日常用，毫无压力。,,,【光滑弹嫩】胶原蛋白面膜,2021/6/18 10:08,23:10.2,
****1,PLUS会员,"<div class=""comment-star star5""></div>",产品质感：纯棉的面膜布，吸满满的精华，敷在脸上十五到二十分钟，让脸上的皮肤足够时间吸饱水分，太爽了使用感受：适用于任何肤质，敏感肌肤也适合用哦适合肤质：所有肤质补水效果：补水效果是立竿见影的，立马感觉皮肤很舒服，不紧绷贴合效果：很贴合，大脸小脸都适合其他特色：物美价廉，物超所值，活动价抢购十盒，太值了,,,【提亮紧致】胶原蛋白面膜,2020/11/10 17:15,23:10.3,
****e,PLUS会员,"<div class=""comment-star star5""></div>",巨好用，用一次脸一个星期都不干。而且有防伪检测，检验正品防止假货。这款黄色的用的脸上很细腻的感觉，多的精华可以结合爽肤水按压吸收,,,【光滑弹嫩】胶原蛋白面膜,2021/10/1 10:16,23:10.6,
