用户名,会员,星级,评论,类型1,类型2,评论时间1,评论时间2,采集时间,评论时间3
y***0,PLUS会员,"<div class=""comment-star star5""></div>",精华是名副其实的多！！超级多。。可以糊一脸。不用擦匀的那种。。厚厚的一层啊！！然后半个小时之后，揭开面膜，糊在脸上的精华少了。emmm应该是被吸收了，再按摩个几分钟，把多余的精华洗掉，再按正常护肤顺序，感觉脸滑滑的，白净了很多！！,,深层补水【水润安瓶面膜】,,2021-11-19 08:09,2022-04-24 10:52:04.236,
l***2,PLUS会员,"<div class=""comment-star star5""></div>",回购多次的面膜，这个系列刚开始用，比较薄，很不错的感觉，精华很足，补水效果也很好，其他效果的话需要长期使用才能发现。总之性价比还可以的一个面膜。,,深层补水【水润安瓶面膜】,,2022-04-03 12:26,2022-04-24 10:52:04.296,
现***g,PLUS会员,"<div class=""comment-star star5""></div>",这款面膜，个人感觉真的很好用。。特别贴合皮肤。。非常滋润，补水效果，非常棒！！！这已经是第三次购买了。。价格也实惠。非常便宜。。。里面的乳液非常的多，特别厚重。。。可以敷脸，脖子，手都都用了。。推荐！！！,,深层补水【水润安瓶面膜】,,2022-03-22 10:26,2022-04-24 10:52:04.717,
****4,PLUS会员,"<div class=""comment-star star5""></div>",秋冬季节皮肤缺水严重，涂抹式面膜已经无法解决皮肤干燥问题！正好赶上双十一，立马囤了几盒，薄薄的全棉面膜纸，敷在脸上完美极了，精华液也很多，袋子里面剩余的还可以用来擦手，补水效果也是真的很不错，大家赶紧立马用起来美美的吧！,,深层补水【水润安瓶面膜】,,2021-11-13 22:05,2022-04-24 10:52:04.784,
n***t,PLUS会员,"<div class=""comment-star star5""></div>",物流：京东次日达，这速度杠杠的，没得问题的包装：包装还行，马马虎虎商品本身：是我要的东西，效果很好，很不错，比之前买的某牌子好多了，赞一个,,深层补水【水润安瓶面膜】,,2021-11-11 21:34,2022-04-24 10:52:04.846,
A***z,PLUS会员,"<div class=""comment-star star5""></div>",补水效果非常好的产品，使用起来效果非常明显，有明显的改善效果，夏天可以放在冰箱中冷藏一下再敷面，超清凉舒适，品质保证的产品，极力推荐。,,新品【透亮保湿】水润安瓶面膜,,2021-06-27 13:01,2022-04-24 10:52:04.898,
****x,PLUS会员,"<div class=""comment-star star5""></div>",面膜收到了，是正品，拆开之后，薄薄一片，水润服帖，用完后不紧绷，吸收很快，舒服很好用，价格实惠，物美价廉，值得购买。推荐！,,深层补水【水润安瓶面膜】,,2021-11-18 14:37,2022-04-24 10:52:04.968,
w***1,PLUS会员,"<div class=""comment-star star5""></div>",本**肤混油偏干，秋冬季皮肤偏干，面膜纸很薄贴上去很服帖，感觉补水保湿效果不错哦，皮肤敷完水水的，很舒服，不错！,,深层补水【水润安瓶面膜】,,2022-01-20 10:55,2022-04-24 10:52:05.016,
****b,PLUS会员,"<div class=""comment-star star5""></div>",夏天的时候，被大大太阳晒了一下午，我就喜欢用舒缓的，还能把肌肤里的脏东西清理掉，红血丝感觉缓解了很多！！补水效果好，会回购哦,,【补水保湿】水润安瓶面膜,,2022-04-16 08:51,2022-04-24 10:52:05.059,
W***I,PLUS会员,"<div class=""comment-star star5""></div>",膜布好舒服，精华也很多，剩余的精华可以涂完腿和脖子，以前用的多的是美迪惠尔的补水和美白的多，这款看补水效果应该更深一点就买来试试,,深层补水【水润安瓶面膜】,,2022-04-10 21:07,2022-04-24 10:52:05.100,
P***H,PLUS会员,"<div class=""comment-star star5""></div>",美迪惠尔水润舒缓安瓶面膜，水润保湿有光泽，冬季太干燥了，赶紧买面膜来补补水，感觉还不错，精华液很充足，面膜纸不会很厚，可以可以,,深层补水【水润安瓶面膜】,,2022-01-29 13:25,2022-04-24 10:52:05.162,
W***f,PLUS会员,"<div class=""comment-star star5""></div>",第一次购买，摸起来很舒服，很有质感这个品牌的东西都很不错，每次都会回购，而且性价比也很高，推荐给大家。这个款的功能不一样，第一次尝试，期待效果,,深层补水【水润安瓶面膜】,,2021-10-24 13:37,2022-04-24 10:52:05.231,
么***个,PLUS会员,"<div class=""comment-star star5""></div>",挺不错的东西，回购了好多次了，这个很不错的，值得拥有，给大家推荐一下，很不错的东西，哈哈哈哈，这个确实可以，很溜溜的东西喜欢,,新品【透亮保湿】水润安瓶面膜,,2021-07-07 11:06,2022-04-24 10:52:05.630,
j***a,PLUS会员,"<div class=""comment-star star5""></div>",买回来就迫不及待地使用了，感觉还是很不错的样子，感觉也很舒服……这个牌子的面膜，已经买过很多很多次了。有不同种的含量的，不同种的香味的，有不同种的效果的。,,新品【透亮保湿】水润安瓶面膜,,2021-06-20 18:56,2022-04-24 10:52:05.696,
x***u,PLUS会员,"<div class=""comment-star star5""></div>","美迪惠尔Mediheal水润舒缓安瓶面膜10片/盒（1片富含1整瓶安瓶精华润泽水光透亮保湿）,这款面膜之前有用过，用过好几个类型的，黄色的，绿色的，补水很好的，而且做活动有优惠，价格合适，性价比很高呢，这次老公买了四盒，能用一段时间了，赞!",,新品【透亮保湿】水润安瓶面膜,,2021-07-03 14:38,2022-04-24 10:52:05.786,
谁***家,PLUS会员,"<div class=""comment-star star5""></div>",一下子买了3件打五折。。很划算喔，应该可以用一段时间了的那个免洗面膜用起来很省心，不用洗，也特别水润，下次再试试黄色那一款,,深层补水【水润安瓶面膜】,,2021-12-25 12:47,2022-04-24 10:52:05.871,
木***墙,PLUS会员,"<div class=""comment-star star5""></div>",趁着活动给媳妇囤几件，好用的话再来，买了四盒应该够用一段时间了，看看有效果么，第一次用的时候滑滑的凉凉的，水分很足，送货很快,,深层补水【水润安瓶面膜】,,2022-02-15 19:53,2022-04-24 10:52:05.934,
****c,PLUS会员,"<div class=""comment-star star5""></div>",一直以来购物都是京东送货快服务好正品保障物美价廉请朋友们放心购买一直以来吃的用的啥都是首选京东大爱粉丝一枚喜欢物美价廉,,新品【透亮保湿】水润安瓶面膜,,2021-06-27 22:04,2022-04-24 10:52:05.992,
皇***星,PLUS会员,"<div class=""comment-star star5""></div>",已经买回来用了很长一点时间呢，所以下来评价，我自己感觉还很不错，用完效果也是比较明显的。不过也是要看一下自己的肤质，看那种最合适。,,深层补水【水润安瓶面膜】,,2021-11-01 18:37,2022-04-24 10:52:06.061,
i***伯,,"<div class=""comment-star star5""></div>",产品质感：很好用，种草很久了，被无数测评机构推荐，肤感很棒，补水效果也不错，值得推荐和购买，无数次回购，非常推荐，碰到活动优惠力度也很大。,,新品【透亮保湿】水润安瓶面膜,,2021-06-18 13:56,2022-04-24 10:52:06.115,
l***7,PLUS会员,"<div class=""comment-star star5""></div>",四款中排名第三吧没有什么特别出色的感受补水锁水润肤效果都是中等水平吧综合性价比很高适用于日常补水用不适合特别干燥的皮肤,,深层补水【水润安瓶面膜】,,2021-11-21 10:04,2022-04-24 10:52:06.177,
h***8,PLUS会员,"<div class=""comment-star star5""></div>",活动价买的，质量很不错，面膜纸的品质很细腻柔软，和肌肤贴合很舒适，透气。皮肤清洁补水之后使用，效果更加明显。送货上门，速度快。,,新品【透亮保湿】水润安瓶面膜,,2021-08-20 10:12,2022-04-24 10:52:06.253,
止***8,PLUS会员,"<div class=""comment-star star5""></div>",这个牌子的面膜已经多次使用，面膜上脸舒适，完全不紧绷，很舒服。补水效果很好，最近天气干燥天天使用。肤质明显变好。有活动快囤货？,,深层补水【水润安瓶面膜】,,2021-11-03 20:03,2022-04-24 10:52:06.665,
****t,PLUS会员,"<div class=""comment-star star5""></div>",这款美迪惠尔新出的修复款，很适合痘痘肌，一点不黏腻，敷20分钟，脸部非常清爽舒缓,,新品【透亮保湿】水润安瓶面膜,,2021-07-10 22:37,2022-04-24 10:52:06.730,
****z,PLUS会员,"<div class=""comment-star star5""></div>",产品质感：会非常有拉力，精华液很多！使用感受：用后感觉皮肤特别滑嫩！适合肤质：各种肤质都可以吧！补水效果：超级超级好！活动时间同时买了七八盒，特别划算，够用好久了，,,新品【透亮保湿】水润安瓶面膜,,2021-07-14 05:03,2022-04-24 10:52:06.783,
落***忆,PLUS会员,"<div class=""comment-star star5""></div>",朋友推荐的！实体店比较贵！在京东购买便宜很多！薄薄的膜很服帖！敷完面膜觉得脸上水嫩嫩的，不油腻！补水急救首选！便宜用起来也不会心疼了,,深层补水【水润安瓶面膜】,,2022-04-04 14:19,2022-04-24 10:52:06.851,
****1,PLUS会员,"<div class=""comment-star star5""></div>",补水型的面膜，性价比极高，听说这款是升级版。首先的感觉是膜布薄了，个人觉得这个很重要，肤感用上去会更舒适，也愿意用了。,,深层补水【水润安瓶面膜】,,2021-11-18 22:07,2022-04-24 10:52:06.911,
****e,PLUS会员,"<div class=""comment-star star5""></div>",用美迪惠尔好多年了，上学就在用，一直觉得很好用，补水效果非常好，而且特别划算，一看到出新品就迫不及待买来试试，敷了几片敷完脸上水嫩嫩的，皮肤光滑，会一直回购,,新品【透亮保湿】水润安瓶面膜,,2021-09-08 22:27,2022-04-24 10:52:06.963,
****c,PLUS会员,"<div class=""comment-star star5""></div>",面膜还是很好用的，在京东秒杀抢到的，优惠力度很大，也很实用好用，就是其中一款的面膜挺大的，对于脸比较小的人不怎么好贴上去,,新品【透亮保湿】水润安瓶面膜,,2021-10-16 11:51,2022-04-24 10:52:07.029,
****w,PLUS会员,"<div class=""comment-star star5""></div>",补水效果非常棒，面膜大小合适，对于脸型非常服帖，每两三天用一次，缓解了皮肤的干燥情况，促销活动也非常合适，继续回购，囤货中,,深层补水【水润安瓶面膜】,,2021-11-24 14:24,2022-04-24 10:52:07.083,
T***耶,PLUS会员,"<div class=""comment-star star5""></div>",?心仪已久，趁着活动果断下手，用过之后感觉很不错，补水保湿效果都很好，是正品，快递也很给力，包装严实没有破损，果然名副其实?半价它不香吗,,深层补水【水润安瓶面膜】,,2021-11-11 19:44,2022-04-24 10:52:07.126,
e***l,PLUS会员,"<div class=""comment-star star5""></div>",Mediheal的產品一直質量在線，第一次購買這款AquaSoothing面膜，因為皮膚有點敏感，這款舒緩面膜用後覺得很舒服，很滋潤。,,深层补水【水润安瓶面膜】,,2022-03-10 11:00,2022-04-24 10:52:07.171,
十***x,PLUS会员,"<div class=""comment-star star5""></div>",产品质感：之前买过好多次了，很好用使用感受：超级补水，杠杠的。适合肤质：我是油皮，适合补水，这个蓝色的巨补水！！！其他特色：趁着6月份，有活动的时候买的，一盒也就30多，超级实惠！,,新品【透亮保湿】水润安瓶面膜,,2021-06-04 18:28,2022-04-24 10:52:07.635,
行***湖,PLUS会员,"<div class=""comment-star star5""></div>",美迪惠尔的透明质酸钠面膜，个人觉得补水能力超强、买回来最先用的就是这个款式、用着非常舒服，面膜很贴合，补水一级棒，味道也给我很喜欢的、会回购的，真的很不错！,,新品【透亮保湿】水润安瓶面膜,,2021-10-17 08:28,2022-04-24 10:52:07.701,
不***3,PLUS会员,"<div class=""comment-star star5""></div>",活动期间买的，好便宜呀，用了感觉脸上润润的，滑滑的，我是易过敏体质，用了也没有过敏，而且精华液也超级多，好评，大家放心买吧。,,深层补水【水润安瓶面膜】,,2021-11-03 16:28,2022-04-24 10:52:07.760,
行***湖,PLUS会员,"<div class=""comment-star star5""></div>",买了一堆美迪惠尔的面膜、补水的，修复的、一直在用美迪惠尔的品牌，价位合理，商品还很好，性价比超高的面膜，一直会回购！棒棒哒！,,深层补水【水润安瓶面膜】,,2021-12-08 14:26,2022-04-24 10:52:07.813,
****O,PLUS会员,"<div class=""comment-star star5""></div>",朋友推荐过来买的，趁搞活动一下子买了几十片，用了几片补水能力杠杠的，膜布厚实挂的住精华，敷了十几分钟后，洗完发现脸上嫩嫩的，真的不错呢！,,深层补水【水润安瓶面膜】,,2021-10-27 17:06,2022-04-24 10:52:07.871,
发***儿,PLUS会员,"<div class=""comment-star star5""></div>",买了两款，试用的效果都蛮不错的，在这个价格来看性价比非常高了，就当补水面膜用就好了。放进冰箱冰一下，就很舒服。京东买下来真的好便宜，凑单再买了些别的，感觉和双十一价格差不太多。而且第二天就能送到，物流很快超级棒～快递小哥辛苦啦,,新品【透亮保湿】水润安瓶面膜,,2021-07-29 20:22,2022-04-24 10:52:07.946,
****n,PLUS会员,"<div class=""comment-star star5""></div>",面膜收到有一段时间了用了很多次了很好用啊精华很多面膜跟脸的服帖度超级高这一点我太喜欢了用其他家的面膜感觉都不标准贴不好这个面膜就不会很好操作一下就贴上了膜布厚度也正合适值得购买,,新品【透亮保湿】水润安瓶面膜,,2021-06-03 10:42,2022-04-24 10:52:08.011,
w***0,PLUS会员,"<div class=""comment-star star5""></div>",物流配送速度非常效率，活动期间购买，价格实惠美丽，经常使用的一款面膜，补水效果不错，合适各种肤质！***原液的含量很高！值得购买！,,新品【透亮保湿】水润安瓶面膜,,2021-07-03 23:30,2022-04-24 10:52:08.070,
****L,PLUS会员,"<div class=""comment-star star5""></div>",多次购买的面膜了。补水效果非常好能够信赖的品牌各种不同功效的都可以尝试效果也都不错非常喜欢五星好评产品质感：很好使用感受：不错适合肤质：偏干的用了挺好的补水效果：很好,,深层补水【水润安瓶面膜】,,2022-03-25 21:24,2022-04-24 10:52:08.127,
悠***舟,PLUS会员,"<div class=""comment-star star5""></div>",物流超级快非常好有活动还是非常划算的突然发现面膜快没了赶紧买的一直用这个牌子的用完清爽不黏腻很喜欢而且很舒服,,深层补水【水润安瓶面膜】,,2021-11-05 14:17,2022-04-24 10:52:08.197,
0***i,,"<div class=""comment-star star5""></div>",物流超级快，隔天就到，派件员态度很快，面膜包装简洁，视感看着舒服，面膜25ml一片，十片一盒，保湿效果很好，用完会回购…,,深层补水【水润安瓶面膜】,,2022-02-26 20:27,2022-04-24 10:52:08.771,
1***7,PLUS会员,"<div class=""comment-star star5""></div>",很多年前火起来的韩国面膜希望是正品啊，物美价廉很重要最核心的是保障品质呀，物流很快，趁活动购买性价比高，面膜贴合性不错淡淡清香补水效果感觉一般哈,,深层补水【水润安瓶面膜】,,2022-04-04 10:54,2022-04-24 10:52:08.833,
****m,PLUS会员,"<div class=""comment-star star5""></div>",还没有用，最近脸干的厉害买来试试这个。用蓝色的那个比较多。京东物流很给力不耽误。用的好会再用，应该是正品。活动的时候很划算。,,深层补水【水润安瓶面膜】,,2021-12-01 21:49,2022-04-24 10:52:08.884,
I***狸,PLUS会员,"<div class=""comment-star star5""></div>",我是干性皮肤，保湿效果很不错，除了保湿那个精华多点，其他几款精华不太多，还没太看出效果，再用一阵再看看效果吧，不管怎么说，京东物流很给力,,新品【透亮保湿】水润安瓶面膜,,2021-06-07 22:17,2022-04-24 10:52:08.935,
a***麻,,"<div class=""comment-star star5""></div>",面膜不错，美迪惠尔的新品面膜，补水效果很好，推荐大家入手，有活动的时候入手比较划算。推荐入手。我一直用这款面膜。品牌面膜，值得信赖。哈哈哈,,新品【透亮保湿】水润安瓶面膜,,2021-08-01 22:49,2022-04-24 10:52:08.975,
j***倩,,"<div class=""comment-star star5""></div>",使用感受：对比积雪草的那款，这款精华就粘稠很多补水效果：敷完脸上很滋润水分满满的感觉虽然效果都还可以，不过不太喜欢黏腻的感觉,,深层补水【水润安瓶面膜】,,2021-11-06 13:55,2022-04-24 10:52:09.013,
h***4,PLUS会员,"<div class=""comment-star star5""></div>",用着很不错，很喜欢这个，经典款，这个补水效果我很喜欢，给家人买的也是这个比较喜欢，强烈推荐，而且经常有活动，可以活动多买点,,深层补水【水润安瓶面膜】,,2022-03-10 07:38,2022-04-24 10:52:09.053,
阿***合,PLUS会员,"<div class=""comment-star star5""></div>",买的时候说是新产品，抱着试试看的心态买了一盒，用了一片感觉很不错，双十一拍了四盒，有三盒都是这款，可以用好长一段时间了。用完还会再回购的。,,深层补水【水润安瓶面膜】,,2021-11-13 20:17,2022-04-24 10:52:09.099,
A***雅,PLUS会员,"<div class=""comment-star star5""></div>",搞活动的时候买很划算，一直在无限回购的一款，面膜纸薄而且是蚕丝的，性价比很高，一有活动赶紧来囤点放家里备用，马上过年了，,,深层补水【水润安瓶面膜】,,2022-01-07 09:08,2022-04-24 10:52:09.142,
a***o,PLUS会员,"<div class=""comment-star star5""></div>",给女朋友囤货的，价格是非常的实惠啦，使用效果也很棒，补水效果也不错，适合各种肤质，品牌有保证，物流快速，包装精美，是该被夸奖的,,深层补水【水润安瓶面膜】,,2022-01-16 19:55,2022-04-24 10:52:09.191,
爱***4,PLUS会员,"<div class=""comment-star star5""></div>",这是囤的几十片面膜中其中一个，这个也是第一次用，听说含***，用了大概有5.6次的样子，保湿效果还是很不错的，以后应该会回购。,,新品【透亮保湿】水润安瓶面膜,,2021-09-24 08:46,2022-04-24 10:52:09.596,
x***e,PLUS会员,"<div class=""comment-star star5""></div>",习惯了用美迪惠尔，补水效果很好，一次性都是囤几大盒慢慢用，优惠力度也还可以，主要是皮肤适合，美白补水清洁面膜都买了，能用大半年,,深层补水【水润安瓶面膜】,,2021-11-20 10:58,2022-04-24 10:52:09.650,
汪***狗,PLUS会员,"<div class=""comment-star star5""></div>",面膜收到了，日期很新鲜的。以前就一直用过这个牌子的，很保湿，特别是冬天这个季节，更加要注意保湿了，集美们啊，要坚持使用哟！,,深层补水【水润安瓶面膜】,,2022-01-07 15:40,2022-04-24 10:52:09.715,
花***少,PLUS会员,"<div class=""comment-star star5""></div>",双十一囤货，进入冬天天气太干了，这款面膜补水效果很好，精华多，这次是补货，长期用效果还不错，性价比一直还不错，推荐大家使用！,,深层补水【水润安瓶面膜】,,2021-12-02 23:53,2022-04-24 10:52:09.775,
****H,PLUS会员,"<div class=""comment-star star5""></div>",第一次用这个品牌，买来用了两片了，感觉很好，补水效果特棒哇，以后就用它了,,深层补水【水润安瓶面膜】,,2022-02-18 14:10,2022-04-24 10:52:09.826,
付***坡,PLUS会员,"<div class=""comment-star star5""></div>",被我妈一片一片用完了。看来这个还是可以的。做活动买了4包，同一个品牌，不同的四种颜色，很耐用，性价比很高，物流很快，会回购。,,深层补水【水润安瓶面膜】,,2021-12-08 21:26,2022-04-24 10:52:09.876,
8***g,,"<div class=""comment-star star5""></div>",回购过很多次美迪惠尔面膜了，非常好用，第一次买个效果的，很期待，希望也很好用，疫情当下，京东物流很给力，送货上门，包装也好,,深层补水【水润安瓶面膜】,,2022-03-19 12:53,2022-04-24 10:52:09.939,
E***Y,PLUS会员,"<div class=""comment-star star5""></div>",产品质感：质地柔软使用感受：非常舒适适合肤质：干性皮肤,,深层补水【水润安瓶面膜】,,2022-03-04 15:18,2022-04-24 10:52:10.000,
西***仔,PLUS会员,"<div class=""comment-star star5""></div>",东西不错，还挺湿润的，快递很快拍完隔天就送来了。而且送货上门，很方便。价格也还可以。挺优惠的。下次有活动还会考虑买，挺好的。,,深层补水【水润安瓶面膜】,,2022-03-16 07:38,2022-04-24 10:52:10.085,
p***y,PLUS会员,"<div class=""comment-star star5""></div>",好便宜呀，好便宜呀，好喜欢京东的活动，一次过买了四盒一共40片，冬天得补齐水来呀，里面有磁铁鉴别真假，已经验过是真的，带有绿色条纹。,,深层补水【水润安瓶面膜】,,2021-12-15 00:52,2022-04-24 10:52:10.145,
u***d,PLUS会员,"<div class=""comment-star star5""></div>",很服帖，我很喜欢，补水效果不错适合肤质：所有补水效果：满意,,深层补水【水润安瓶面膜】,,2021-11-26 11:25,2022-04-24 10:52:10.547,
w***6,PLUS会员,"<div class=""comment-star star5""></div>",第一次尝试用这个系列，果然没有让我失望。补水效果好，而且价格也特别实惠。用完以后也脸我不会觉得粘粘的。打算下次搞活动继续囤。,,【补水保湿】水润安瓶面膜,,2022-04-20 19:34,2022-04-24 10:52:10.597,
u***q,PLUS会员,"<div class=""comment-star star5""></div>",一直用这款面膜很多年啦，每年做活动的时候就买几盒囤着，用起来非常水润，很方便，非常好用很喜欢，买了很多啦够用挺长时间的很不错,,深层补水【水润安瓶面膜】,,2022-01-07 11:12,2022-04-24 10:52:10.647,
u***7,,"<div class=""comment-star star5""></div>",用了他家的黑色面膜，细致毛孔那款感觉用着还可以，所以趁活动就又买了很多，他家面膜的补水效果都是很可以的,,新品【透亮保湿】水润安瓶面膜,,2021-08-18 14:24,2022-04-24 10:52:10.695,
大***0,PLUS会员,"<div class=""comment-star star5""></div>",到货后就迫不及待地拆开试用啦，很服帖，味道小清新，精华不多不少。敷完20分钟，皮肤喝饱水的感觉，闭口也消下去一点了，后续护肤简单了很多。关键是京东的价格特别好，折合一片才四块多，完全不心疼哈哈哈,,新品【透亮保湿】水润安瓶面膜,,2021-05-16 19:03,2022-04-24 10:52:10.749,
****k,PLUS会员,"<div class=""comment-star star5""></div>",非常好用，很滋润，每次用完脸上都光滑细腻，如果经常有优惠就更好啦,,新品【透亮保湿】水润安瓶面膜,,2021-06-20 17:26,2022-04-24 10:52:10.788,
c***1,,"<div class=""comment-star star5""></div>",趁活动买的，很划算，这款跟其他美迪惠尔的不太一样，精华液也很多，敷着也舒服，挺好的，可以试试其他功效的，等下次活动载入手多些。,,新品【透亮保湿】水润安瓶面膜,,2021-07-17 00:17,2022-04-24 10:52:10.857,
m***2,PLUS会员,"<div class=""comment-star star5""></div>",产品质感：高端大气上档次使用感受：份足，补水效果好贴合效果：新品紧贴皮肤,,新品【透亮保湿】水润安瓶面膜,,2021-08-04 08:00,2022-04-24 10:52:10.900,
清***m,,"<div class=""comment-star star5""></div>",面膜非常好用，非常适合现在的干干燥的天气，已推荐亲朋好友都买了，自己也是回购很多次了，会继续关注这个产品的，总之就是很满意的啦,,深层补水【水润安瓶面膜】,,2021-10-29 16:30,2022-04-24 10:52:10.941,
林***爸,PLUS会员,"<div class=""comment-star star5""></div>",这款面膜质量非常好，水特别足，特别润！！！卖家发货快，服务好，品牌非常棒！下次还来买，放心用！！！！！！！！？！？？？？,,【补水保湿】水润安瓶面膜,,2022-04-19 13:29,2022-04-24 10:52:10.985,
