用户名,会员,星级,评论,类型1,类型2,评论时间1,评论时间2,采集时间,评论时间3
p***2,,"<div class=""comment-star star5""></div>",第一次購買希望好用家人會喜歡謝謝京東,,多肽水感面膜15片,,2022-02-25 02:35,2022-04-24 14:25:36.470,
竹***味,,"<div class=""comment-star star5""></div>",还行吧！毕竟钱在哪呢！面纸不够大！,,,,,2022-04-24 14:25:36.517,
z***9,PLUS会员,"<div class=""comment-star star5""></div>",货已收到，开始用起来，期待效果,,,,,2022-04-24 14:25:36.576,
****蓝,PLUS会员,"<div class=""comment-star star5""></div>",第一次买这款，还没有用，用完再来追评,,,,,2022-04-24 14:25:36.861,
j***3,,"<div class=""comment-star star5""></div>",就想问，现在京东也是不吭声就放自提柜了的吗？,,,,,2022-04-24 14:25:36.904,
u***g,,"<div class=""comment-star star5""></div>",没有衬，只有面膜。感觉有点不好。,,,,,2022-04-24 14:25:36.944,
没***包,PLUS会员,"<div class=""comment-star star5""></div>",昨天收到面膜啦，因为疫情影响我的面膜兜兜转转，京东快递还是很给力的！春秋换季肌肤已经泛红刺疼了，干的不行，昨晚试了下蓝色款水感面膜，看成分多重的***，现在非常需要补水的款，精华液很多不黏腻，淡淡的味道不刺鼻，很安心的感觉敷上没有什么刺激，吸收的也很快，十来分钟感觉精华都被我的肌肤吸收掉了，可能是脸太干了！敷完脸上没有那么紧綳了，还是需要坚持敷面膜护肤还买了粉色款包装很好看的，今晚再试试粉色希望可以改善肌肤状态，推荐大家可以入新品，用的很安心，老款新品一如既往好用,,新品-多肽水感面膜15片,,2022-04-06 15:12,2022-04-24 14:25:36.996,
芒***冰,PLUS会员,"<div class=""comment-star star5""></div>",产品质感：之前买了两袋用完了，又回购啦！塑料袋装的外包装不容易破损，之前盒子的送来有点挤压变形了这个就好好的～使用感受：粉色和蓝色的水感面膜味道都香香的，膜布不是很厚，我是混干皮，敷完皮肤感觉嫩嫩的，比较清爽好清洗，角质层比较薄的敏感肌敷着也不会有刺痛感！补水效果：这个比较适合早上妆前敷，只要7分钟，还是挺方便的，后续上妆不会卡粉，晚上熬夜了第二天早上可以来一片急救一下！其他特色：刚好面膜用完了想买，京东物流还是可以滴！第二天就到了！！,,新品-多肽水感面膜15片,,2022-04-06 15:09,2022-04-24 14:25:37.040,
****y,PLUS会员,"<div class=""comment-star star5""></div>",效果挺好的，水水的，保湿效果也很好，用了之后，脸水水的，滑滑的，很好用的，很喜欢，第一次购买这个，效果没让人失望,,,,,2022-04-24 14:25:37.080,
u***a,,"<div class=""comment-star star5""></div>",购买有一段时间了才来评价，产品确实棒棒哒，最近同事都说肤色红润，充满光泽，真的值得推荐给大家，,,,,,2022-04-24 14:25:37.125,
初****,,"<div class=""comment-star star5""></div>",一直用美迪惠尔。用了很多年，特别值得信赖，适合所有肤质，真的很不错，强烈推荐！物美价廉，美白效果不错，皮肤越来越好！,,,,,2022-04-24 14:25:37.170,
1***g,PLUS会员,"<div class=""comment-star star5""></div>",用过好几次了，味道很不错,,,,,2022-04-24 14:25:37.220,
****s,,"<div class=""comment-star star5""></div>",性价比超高性价比高性价比超高性价比高,,,,,2022-04-24 14:25:37.268,
J***3,PLUS会员,"<div class=""comment-star star5""></div>",家里生活用品都在京东买，快捷方便。,,,,,2022-04-24 14:25:37.776,
****x,PLUS会员,"<div class=""comment-star star5""></div>",买了很多，打算一天做一个,,,,,2022-04-24 14:25:37.822,
****p,PLUS会员,"<div class=""comment-star star5""></div>",好像好像哈弗想和这只系,,,,,2022-04-24 14:25:37.876,
h***g,PLUS会员,"<div class=""comment-star star5""></div>",该用户觉得商品不错,,,,,2022-04-24 14:25:37.924,
宁***班,,"<div class=""comment-star star5""></div>",该用户觉得商品不错,,,,,2022-04-24 14:25:37.976,
****q,PLUS会员,"<div class=""comment-star star5""></div>",已经收到了,,,,,2022-04-24 14:25:38.021,
阳***飞,,"<div class=""comment-star star5""></div>",保湿不错,,,,,2022-04-24 14:25:38.066,
盛***6,,"<div class=""comment-star star5""></div>",还可以,,,,,2022-04-24 14:25:38.107,
