用户名,会员,星级,评论,类型1,评论时间1,类型2,评论时间2,采集时间,评论时间3
紫***g,PLUS会员,"<div class=""comment-star star5""></div>",买了好多好多回了，价格实惠主要好用呀，适合我们这种低消费又好产品谁不喜欢产品质感：贴着很舒服使用感受：滑滑的贴合效果：很服帖其他特色：价格便宜实惠值得拥有哦，。,【收缩毛孔】毛孔紧致黑面膜,2021-12-13 12:50,,,2022-04-23 20:04:35.091,
s***h,PLUS会员,"<div class=""comment-star star5""></div>",性价比高，用起来很温和，不刺激皮肤，精华液挺多，用起来很舒服，活动力度大，非常值得购买，物流很快，一次愉快的购物,【收缩毛孔】毛孔紧致黑面膜,2021-05-11 17:55,,,2022-04-23 20:04:35.144,
骑***移,PLUS会员,"<div class=""comment-star star5""></div>",家里人都用这个牌子的面膜，这个面膜比较柔和，设计的也很好，能够完全贴合整个皮肤，用完以后感觉不错，效果很好，而且，面膜也比较大，男女通用，个人感觉适合所有肤质，赶上双十一价格比较有机会，一起屯了一些，够用好久的。京东自营的产品比较放心，而且京东物流送货很快很给力，强烈推荐给身边的朋友！！,,,【紧致细腻】毛孔紧致黑面膜,,2022-04-23 20:04:35.198,
E***g,PLUS会员,"<div class=""comment-star star5""></div>",产品质感：外观很严实，里面的面膜也非常有韧性，面膜厚度适中使用感受：敷到脸上能感觉到非常湿润，舒服适合肤质：干燥，油性皮肤皆可以补水效果：用了一段时间后，明显感觉脸部更有弹性，水润了,,,【收缩毛孔】毛孔紧致黑面膜,2022-03-13 20:57,2022-04-23 20:04:35.256,
-***0,,"<div class=""comment-star star5""></div>",好用，昨晚敷完就没洗脸直接睡的，早上起来感觉皮肤也很舒服，然后就再买了一份，这面膜不贵且好用，非常期待，一个月后的皮肤会不会提亮一个度呢，目前屯了八十片了，预计用半年吧，期待期待。,,,【收缩毛孔】毛孔紧致黑面膜,2022-01-27 20:15,2022-04-23 20:04:35.309,
t***7,PLUS会员,"<div class=""comment-star star5""></div>",产品质感：好用好用！质感太对得起这个价格了使用感受：补水效果很好，比其他包装的都要好用很多适合肤质：适合任何肤质补水效果：棒棒的，值得多囤贴合效果：大小适合，贴合度也好，面膜的材质也比较好,,,【收缩毛孔】毛孔紧致黑面膜,2021-12-24 22:22,2022-04-23 20:04:35.365,
B***s,,"<div class=""comment-star star5""></div>",产品质感：只看外包装就觉得高大上，说明很详尽，看得出卖家很用心。打开的时候有种淡淡的香气，非常好。使用感受：使用温和无刺激，补水效果好，关键是很多啊，还便宜。贴在脸上感觉很舒服，在家呆久了皮肤暗黄，干燥，希望持续用后能够有所改善适合肤质：这种东西吧，无所谓什么肤质，一般都能用，我买的我妈也能用，但如真的过敏，建议谨慎使用，毕竟每个人都是不一样的。补水效果：补水效果是真的好，贴完之后感觉嫩滑。贴合效果：贴合没得说，有弹性，我属于瓜子脸，稍微拉长点就Ok啦。其他特色：包装好，物流快，使用效果优秀！用完还来,,,【紧致细腻】毛孔紧致黑面膜,,2022-04-23 20:04:35.419,
老***3,PLUS会员,"<div class=""comment-star star5""></div>",第一次购买黑膜，一直用美迪惠尔蓝色那款水库补水面膜，物美价廉，京东自营购买放心，物流超级快的，昨晚下单今天就到了，这次试试黑膜和绿色这款，期待好效果,【收缩毛孔】毛孔紧致黑面膜,2021-09-05 22:13,,,2022-04-23 20:04:35.477,
哚***头,,"<div class=""comment-star star5""></div>",产品质感：很光滑，很柔软。使用感受：用在脸上很舒服，没有不适，我是过敏肌肤，但是这个用着很好。有毛孔比之前细多了。。适合肤质：我是混合肌肤，感觉现在皮肤滑滑的，水水的，之前油腻的地方现在不油了，起皮的地方也不干了。补水效果：本来以为主要是紧致肌肤的。结果补水效果也是棒棒的。很水润。贴合效果：无缝衔接呢。棒棒哒,毛孔紧致黑炭面膜,,,,2022-04-23 20:04:35.543,2019-08-31 15:46
南***-,PLUS会员,"<div class=""comment-star star5""></div>",这款面膜的贴合度很好，补水效果很棒，适合干燥的冬天使用。用完以后面部比较滋润，也很顺滑。我是油性皮肤，用起来也很合适。这次活动力度也很大，性价比很高。,,,【收缩毛孔】毛孔紧致黑面膜,2021-11-11 23:34,2022-04-23 20:04:35.944,
樂***n,PLUS会员,"<div class=""comment-star star5""></div>",产品质感：面膜用起来很好闻，有一股淡淡的清香适合肤质：本人干皮感觉用起来很舒服，补水效果很nice贴合效果：面膜贴合挺舒适，精华液也很充分，用了一段时间感觉有点美白的效果。,,,【收缩毛孔】毛孔紧致黑面膜,2021-08-03 21:44,2022-04-23 20:04:35.988,
1***7,PLUS会员,"<div class=""comment-star star5""></div>",产品质感：一直都很喜欢美迪惠尔面膜！超级好用！口袋里精华十足的，面膜敷脸收缩毛孔，面膜超级补水保湿效果非常不错。以后还会无限回购的！,,,【收缩毛孔】毛孔紧致黑面膜,2021-11-05 20:47,2022-04-23 20:04:36.024,
u***s,PLUS会员,"<div class=""comment-star star5""></div>",第二次回购了，趁着做活动又囤了好多。最喜欢蓝色跟黑色这款，每次交替使用，蓝色补水效果很好，精华液也很多，夏天吹空调用很好，黑色那款每次敷完清洁面膜后使用，用来收缩毛孔的。敷一片之后皮肤水水的感觉很舒服，会继续采购的。,【紧致肌肤】毛孔紧致黑面膜,2020-07-01 10:16,,,2022-04-23 20:04:36.067,
****H,PLUS会员,"<div class=""comment-star star5""></div>",产品质感：丝滑很好使用感受：很补水，很好用适合肤质：任何肤质补水效果：杠杠的贴合效果：完美啊很贴肤，透气，补水效果也很不错。价格也还行可以，不贵。你值得拥有！,,,【深层清洁】毛孔紧致黑面膜,2022-04-21 12:51,2022-04-23 20:04:36.133,
****w,PLUS会员,"<div class=""comment-star star5""></div>",美迪惠尔的面膜质感还是挺好，自己是干性皮肤，妹妹的是油性皮肤，就买了好几种搭配用，遇上活动购买价格也是一样的优惠，划算，物超所值，面膜弹力刚刚好！京东发货还是挺好的，自营购买也是方便！很棒的一次购物体验！,,,毛孔紧致黑炭面膜,,2022-04-23 20:04:36.176,
****h,,"<div class=""comment-star star5""></div>",好用的东西就要乘活动多囤点！各买了点，买得多点还是那个蓝色补水的，很好用！,,,【收缩毛孔】毛孔紧致黑面膜,2021-11-07 11:05,2022-04-23 20:04:36.224,
若***m,PLUS会员,"<div class=""comment-star star5""></div>",产品质感：质地细腻，大s节目里推荐，效果真心不错使用感受：味道淡淡散发着清香，无酒精味适合肤质：温润，任何肤质，深层补水效果佳补水效果：效果相当佳，舒适度强贴合效果：绵密贴肤，紧致感觉，极其舒适其他特色：颜值高，又补水,【紧致细腻】毛孔紧致黑面膜,,,,2022-04-23 20:04:36.274,2019-11-11 08:38
付***发,PLUS会员,"<div class=""comment-star star5""></div>",产品质感：产品质感没的说，看起来都是那种清爽利落的感觉使用感受：使用感受很舒服适合肤质：我是油性皮肤，用起来还好补水效果：补水效果杠杠的，很赞在京东商城购物，品质好物流快售后有保障,,,【收缩毛孔】毛孔紧致黑面膜,2021-09-07 21:57,2022-04-23 20:04:36.323,
白***光,,"<div class=""comment-star star5""></div>",效果很好易吸收适合肤质清洁收缩毛孔非常棒你的人生噢,【收缩毛孔】毛孔紧致黑面膜,2021-06-20 23:47,,,2022-04-23 20:04:36.374,
方***8,PLUS会员,"<div class=""comment-star star5""></div>",双十一剁手了，东西包装精美，可以用半年了，双十一买了很多，超值，应该都是正品，试过面膜很好用，补水效果很好,,,毛孔紧致黑炭面膜10片,2017-11-21 22:37,2022-04-23 20:04:36.771,
一***S,PLUS会员,"<div class=""comment-star star5""></div>",产品质感：用起来非常舒服，冰冰凉凉的，非常贴合脸部。使用感受：用了之后脸上滑滑的，不干燥，补水不错。适合肤质：适合毛孔粗大的小伙伴，效果可以，我刚刚用了两次就有效果。一直就在他家买面膜，最近坚持在用，皮肤好的不要不要的，会一直支持的！,【紧致细腻】毛孔紧致黑面膜,,,,2022-04-23 20:04:36.817,2020-05-23 14:42
u***f,PLUS会员,"<div class=""comment-star star5""></div>",最近这一年一直用他家的面膜，价廉物美，这次买了三种，其中一种就是这款黑面膜，敷在脸上润润的，我一般敷15分钟取下，精华也是满满的，可以涂在脖子上手上，再好用的护肤产品也比不上面膜来的补水，一周至少两次，买这款常敷不心疼，哈哈哈。,【紧致细腻】毛孔紧致黑面膜,,,,2022-04-23 20:04:36.870,2020-05-26 15:04
雁***学,,"<div class=""comment-star star5""></div>",面膜收到了。。。使用了收缩毛孔的这款。上脸不疼的。还觉得挺服帖的。超级棒？买了三套。价格也超级实惠，棒棒的！！！！三十片可以用两三个月了！！！！用完还会回购！！！无敌好用哈哈哈哈哈哈哈喜欢！！,,,毛孔紧致黑炭面膜,,2022-04-23 20:04:36.921,
给***萌,,"<div class=""comment-star star5""></div>",冬天皮肤容易变得干燥脱皮这款美迪惠尔水润保湿面膜是我的不选之二洗完脸后取出面膜调整好贴合脸部静待15分钟到20分钟取下面膜把剩余精华液轻轻按摩脸部致吸收我一般晚上都是不洗早上起来皮肤特别水润光滑一周敷两次皮肤也来也好光滑细腻,,,【收缩毛孔】毛孔紧致黑面膜,2022-02-03 17:07,2022-04-23 20:04:36.974,
事***啊,PLUS会员,"<div class=""comment-star star5""></div>",这个面膜实在太好用了，不油腻，易吸收，对皮肤很好，用完清爽，十分舒服，很喜欢的感觉，老人小孩都合适，十分喜欢的感觉，很不错,,,【收缩毛孔】毛孔紧致黑面膜,2021-07-29 11:06,2022-04-23 20:04:37.036,
****s,PLUS会员,"<div class=""comment-star star5""></div>",有活动果断囤起来，经济实惠，精华液很多，容易贴合，效果得长时间使用才能看出来吧，敷完15分钟取下后精华还是很多的，很保湿，坚持使用，希望有效果,,,【收缩毛孔】毛孔紧致黑面膜,2021-08-08 09:05,2022-04-23 20:04:37.092,
l***3,,"<div class=""comment-star star5""></div>",面膜很好，保湿效果不错。京东活动，价格优惠买了很多，结果被闺女拿去不少，下次有活动再囤一些。,【紧致肌肤】毛孔紧致黑面膜,2020-10-19 20:08,,,2022-04-23 20:04:37.146,
怎***仔,PLUS会员,"<div class=""comment-star star5""></div>",产品质感：这个祛除黑头款，效果还可以，质感不错哦。使用感受：使用后，好了脸部比较湿润。适合肤质：比较适合比较干燥的肤质。补水效果：补水效果不错，很优秀了觉得。贴合效果：贴个效果很好，不容易掉。其他特色：物美价廉，赶上做活动，优惠。,,,【收缩毛孔】毛孔紧致黑面膜,2021-09-21 00:19,2022-04-23 20:04:37.195,
****d,PLUS会员,"<div class=""comment-star star5""></div>",最近几年一直用这个，香香的，里面精华超级多，感觉哪一种都很好用洗完脸敷个十五分钟，舒服极了，感觉皮肤白白嫩嫩的，搞活动的时候买挺划算的,,,【收缩毛孔】毛孔紧致黑面膜,2021-12-13 18:19,2022-04-23 20:04:37.256,
尛***牛,PLUS会员,"<div class=""comment-star star5""></div>",物流速度一如既往的那么迅速，体验超棒包装很好产品质感：大品牌质量很好适合肤质：混油使用感受：水嫩水嫩的补水效果：好好贴合效果：我的大脸贴的满满的其他特色：打开后满满的精华液，舒服,,,【收缩毛孔】毛孔紧致黑面膜,2021-08-17 13:16,2022-04-23 20:04:37.673,
****y,PLUS会员,"<div class=""comment-star star5""></div>",首先，京东的物流非常的快，包装也很好，趁着优惠时买，老实惠了，这款面膜的乳液挺多，补水效果好，敷在脸上特别的顺滑，有股淡淡的清香，特别舒服，大小也合适，贴合效果好，美惠迪尔大牌子值得信赖，推荐小仙女购买噢,【紧致肌肤】毛孔紧致黑面膜,2020-09-19 18:56,,,2022-04-23 20:04:37.714,
S***m,PLUS会员,"<div class=""comment-star star5""></div>",产品质感：面膜纸是黑色的，感觉比白色面膜纸稍微厚一点，但是很服帖。厚面膜纸的好处就是精华液吸取的多，干的没有那么快使用感受：这款面膜使用后我觉得还挺惊喜的。第二天的肤色提亮并且均匀了，补水效果也感觉很到位。至于主打的收缩毛孔，也不是一片两片就有效果的，毕竟毛孔这个东西很难解决，我就是当补水面膜用，效果很好很满意适合肤质：我是混油，使用感受很好。干皮也可以，精华液很多，补水效果好贴合效果：这款面膜纸的裁剪我一定要说一下，不知道有没有和我一样使用感受到小伙伴，鼻子的部分特别短，还有鼻头很长一部分盖不到，我就只能多抹点精华液在盖不到的部分,,,【紧致肌肤】毛孔紧致黑面膜,2020-11-11 14:22,2022-04-23 20:04:37.752,
F***x,PLUS会员,"<div class=""comment-star star5""></div>",面膜非常不错，是去黑头的，但是效果目前还不知道，才买回来，不过看起来挺不错的，值得大家购买，关键也不贵，很舒服，可以用起来。,,,【收缩毛孔】毛孔紧致黑面膜,2021-11-14 21:12,2022-04-23 20:04:37.793,
_***-,PLUS会员,"<div class=""comment-star star5""></div>",还不错紧致皮肤推荐入手产品质感：包装盒收到后没有受损面膜盒子上方设置了一个非常好的开口方便我们拿面膜使用感受：还不错清爽适合肤质：所有肤质补水效果：nice！,,,【收缩毛孔】毛孔紧致黑面膜,2022-04-06 18:55,2022-04-23 20:04:37.832,
姜***帅,PLUS会员,"<div class=""comment-star star5""></div>",自己皮肤暗黄而且毛孔比较大，也有一些黑头，通过朋友的介绍说这款面膜比较好用所有自己多买了一些，今天已经用了十多天了，感觉皮肤不紧巴了，而且贴完之后有很多脏东西出来，然后把它清理出来感觉皮肤很透亮，现在我每天贴一贴，感觉很舒服很好也推荐给了别的朋友。,,,【收缩毛孔】毛孔紧致黑面膜,2022-03-18 22:30,2022-04-23 20:04:37.872,
i***0,PLUS会员,"<div class=""comment-star star5""></div>",经常在京东采购日用品、百货、进口零食、酒类和母婴用品等等，算是老客户了。面膜和纸类用品属于回购率比较高的。面膜呢，用过不少，不过黑膜用的不多，当时回购蓝款补水时赶巧发现有活动，就买来试试。很不错。补水效果也很好，精华液也很多，因为我皮肤属于干性，所以很怕黑膜贴上后会有干的现象，这款不会，敷一片之后皮肤水水的感觉很舒服。会再次采购,,,毛孔紧致黑炭面膜,,2022-04-23 20:04:37.911,
c***1,,"<div class=""comment-star star5""></div>",趁活动的时候买的，很划算，囤了很多，是正品，还有防伪查验，面膜是黑色的，能吸附一些脏东西，比起其他功能的，精华液少了些。等活动再入手。,,,【收缩毛孔】毛孔紧致黑面膜,2021-08-03 01:43,2022-04-23 20:04:37.953,
m***i,PLUS会员,"<div class=""comment-star star5""></div>",这款是经常买，黑色的面膜，面膜纸很柔软不厚不薄，香味也比较好闻，适合亚洲人的轮廓，用起来很贴合，不刺激，碰到活动就囤货才划算,,,【收缩毛孔】毛孔紧致黑面膜,2021-08-14 10:54,2022-04-23 20:04:37.997,
****9,PLUS会员,"<div class=""comment-star star5""></div>",购买此款毛孔紧致面膜后，感觉面部滑滑得很润。贴合度很不错。这款面膜布是厚的那种，贴着很舒服，敷完脸部感觉紧绷、滋润效果明显。,,,【收缩毛孔】毛孔紧致黑面膜,2021-11-21 16:47,2022-04-23 20:04:38.046,
S***咚,PLUS会员,"<div class=""comment-star star5""></div>",面膜超级超级好用，我是干皮平时不经常敷面膜洗完脸不擦东西都是掉皮的那种千，今天刚到的我就用了敷完面膜洗完脸就感觉皮肤不那么紧绷了，补水面膜这种东西用一次就知道好不好使适不适合自己，现在真的就是不紧绷，洗完脸喷点爽肤水十精华我脸上有斑还会用上祛斑产品，一套下来就完事了我脸上的斑除了天生的，再***燥皮肤引起的斑点所以我一定会补水为主了，用了确实不错有皮肤干燥的姐妹选这款绝对杠杠的,,,【收缩毛孔】毛孔紧致黑面膜,2022-02-17 16:39,2022-04-23 20:04:38.429,
村***芳,,"<div class=""comment-star star5""></div>",第一次购买这款面膜，但之前用过一次，同事买的，给了我一贴，我在单位午睡后醒来，闲来无事就洗了把脸，贴了一贴，感觉很水润，里边的精华也挺多的，但精华缺很滋润，一点也不粘，涂到手上很快就被手吸收了，完全不用担心多余的精华会很黏，要去洗掉，这款面膜的精华会被皮肤很好的吸收，也不拔干，特别很喜欢,,,【紧致细腻】毛孔紧致黑面膜,,2022-04-23 20:04:38.471,
z***e,PLUS会员,"<div class=""comment-star star5""></div>",以前就用这款的面膜，用着挺好，趁着有活动价格优惠，果断入手了两盒试试看。包装非常漂亮，上面弧形很美，看着很舒服，开口设计也很人性化，美观，面膜贴是黑色的，贴上很补水的紧致肌肤，是很多美女都喜欢用的。快递也很快，一直信任京东。下次有需要还会在这买的，是一次不错的体验。加油加油加油哦,【紧致细腻】毛孔紧致黑炭面膜,,,,2022-04-23 20:04:38.543,2019-10-31 21:37
y***4,PLUS会员,"<div class=""comment-star star5""></div>",是正品，用了一段时间，现在毛孔也小了很多，皮肤状态变得非常棒，面膜用起来感觉很好，真的很补水，而且用着现在皮肤都非常滋润，而且光滑细腻，有弹性,,,【收缩毛孔】毛孔紧致黑面膜,2021-07-19 10:11,2022-04-23 20:04:38.596,
事***啊,PLUS会员,"<div class=""comment-star star5""></div>",非常好用面膜，用完皮肤水润易吸收，产品质感十分细腻，使用感受非常舒服，适合我这种大油皮，没有异味，实在是非常好用面膜，喜欢,,,【收缩毛孔】毛孔紧致黑面膜,2021-07-29 11:05,2022-04-23 20:04:38.646,
洗***洗,,"<div class=""comment-star star5""></div>",面膜都是美迪惠尔的，对于干干的皮肤来说，敷面膜必不可少呀，面膜很好，而且精华液也挺多的，经济实惠，很不错哦，希望下次包装可以好点，至少用个盒子装,,,毛孔紧致黑炭面膜,,2022-04-23 20:04:38.694,
t***7,PLUS会员,"<div class=""comment-star star5""></div>",产品质感：好用好用好用好用，质感比其他的包装都要好使用感受：值得多次回购的那种，适合肤质：任任何肤质都可以，便宜又好用贴合效果：这个包装的面膜大小太太合适我了！,,,【收缩毛孔】毛孔紧致黑面膜,2021-12-24 22:27,2022-04-23 20:04:38.744,
****咪,PLUS会员,"<div class=""comment-star star5""></div>",双十一买的，性价比超高，用这款面膜时间不短了，特别是冬天干燥气候下用的很舒服，用完水水嫩嫩的，还特别贴肤，补水效果非常不错。,,,【收缩毛孔】毛孔紧致黑面膜,2021-12-15 14:46,2022-04-23 20:04:38.804,
米***5,PLUS会员,"<div class=""comment-star star5""></div>",京东上已经买了超多东西了，物流快，相对去他平台要实惠！一直想换个牌子的面膜，刚好看到这款，销量平价都不错！用了一张果然不错，用完很舒服，值得拥有！,【紧致肌肤】毛孔紧致黑面膜,2020-10-04 15:44,,,2022-04-23 20:04:38.864,
x***u,,"<div class=""comment-star star5""></div>","专门用了过后再来评价的,个人觉得这个面膜挺不错,面膜纸是很薄的我很喜欢,而且很服帖,最主要是面膜纸跟我脸刚刚好,太难得了敷完后感觉脸摸着挺舒服的,会回购",,,【收缩毛孔】毛孔紧致黑面膜,2021-08-13 10:56,2022-04-23 20:04:38.925,
****h,PLUS会员,"<div class=""comment-star star5""></div>",用着确实不错，对于我这种爱出油又毛孔粗大，还容易长痘的脸来说，这款面膜确实挺好的，补水效果也不错，很适合我的肤质，也很贴合。,,,【收缩毛孔】毛孔紧致黑面膜,2021-07-10 06:51,2022-04-23 20:04:39.338,
百***飞,PLUS会员,"<div class=""comment-star star5""></div>",还不错，有活动时购入好多，还有一些没没拍照的，用着很滋润，每天一次，冬天要保湿效果不错的，很喜欢。还会继续关注得,,,【清洁收缩毛孔】毛孔紧致黑面膜,2020-12-15 18:27,2022-04-23 20:04:39.384,
u***u,PLUS会员,"<div class=""comment-star star5""></div>",这次活动太给力了，通过一朋友介绍才用的这个面膜，一用，就是用了好久，真的很喜欢用，里面精华液很多，各种功能的都有，每次敷完面膜，感觉好舒服，水嫩嫩的，而且肌肤颜色也感觉改善了，囤货囤货，京东快递更没得说，支持就完了,【紧致细腻】毛孔紧致黑面膜,,,,2022-04-23 20:04:39.422,2019-11-17 18:39
b***9,PLUS会员,"<div class=""comment-star star5""></div>",产品质感：这款面膜是主打皮肤紧致的，但是它的补水功能是基础，无论是那个主打款都很补水使用感受：贴在脸上就知道面膜大小合适有多舒服，有的面膜便宜那么一点结果特别小，很尴尬的适合肤质：任意肤质,,,【清洁收缩毛孔】毛孔紧致黑面膜,2021-03-09 06:48,2022-04-23 20:04:39.467,
****9,PLUS会员,"<div class=""comment-star star5""></div>",产品质感：没有珍珠膜，我不喜欢用有珍珠膜的面膜，用起来很麻烦，而且这款精华很多本人比较喜欢，因为钱来比较方便补水效果：用完了以后脸上没有任何刺激补水效果很明显第二天化妆不脱妆使用感受：一直都在用这款面膜补水效果很好适合肤质：我个人是混合性皮肤，用起来效果比较不错其他特色：性价比高，价格便宜贴合效果：比较服帖补水效果明显,,,【紧致肌肤】毛孔紧致黑面膜,2020-12-01 21:52,2022-04-23 20:04:39.509,
****u,PLUS会员,"<div class=""comment-star star5""></div>",产品质感：面膜服帖自然，贴合面部肌肤，敷上去很舒服补水效果：补水效果很好，一直用这个牌子的面膜，性价比高，很好用适合肤质：适合各种肤质，我是混合性皮肤，用着很不错哦,,,【收缩毛孔】毛孔紧致黑面膜,2021-04-22 18:20,2022-04-23 20:04:39.555,
****0,PLUS会员,"<div class=""comment-star star5""></div>",用了半盒了，挺好用的，补水效果很不错，看了老爸评测来买的，挺好的，活动价格再给力点就更好啦，京东送货速度挺快的，会再回购de,,,【收缩毛孔】毛孔紧致黑面膜,2021-07-08 16:44,2022-04-23 20:04:39.600,
m***e,PLUS会员,"<div class=""comment-star star5""></div>",特地在用完以后才过来评价的。第一次使用这个系列，之前用过蓝色的，补水效果很不错，皮肤很舒服，不刺激。这一款不一样的是面膜是黑色的，补水效果依旧不错，皮肤也很舒服，没有刺激感。至于收缩毛孔，可能要长期坚持使用才有效果！总之，美迪惠尔的面膜，强烈推荐！,,,【紧致肌肤】毛孔紧致黑面膜,2020-11-07 23:04,2022-04-23 20:04:39.642,
****5,PLUS会员,"<div class=""comment-star star5""></div>",第一次买美迪惠尔的黑膜，之前只用过针剂补水蓝色盒的，产品质感：面膜纸很柔软使用感受：使用过后毛孔紧致补水效果：日常补水神器其他特色：包装严谨适合肤质：混合型肤质贴合效果：面部贴合度很好,,,【收缩毛孔】毛孔紧致黑面膜,2021-03-26 14:12,2022-04-23 20:04:39.685,
****v,PLUS会员,"<div class=""comment-star star5""></div>",买回来用了，非常好，脸色也透亮了，舒爽清透，感觉非常好。下回还要买，很满意。,,,毛孔紧致黑炭面膜10片,2018-09-24 08:51,2022-04-23 20:04:39.733,
****L,PLUS会员,"<div class=""comment-star star5""></div>",鼻子上黑头比较多，发现了这款面膜，超市也看到了，超市一盒的钱这边可以买两盒还多，用起来也不心疼钱，性价比非常高，活动的时候买,,,【收缩毛孔】毛孔紧致黑面膜,2022-01-07 17:24,2022-04-23 20:04:40.155,
x***5,PLUS会员,"<div class=""comment-star star5""></div>",产品质感：很好，面膜比较薄使用感受：很舒服，没有太浓的香味也没有酒精味，一点点清香适合肤质：不清楚，我是油性皮肤补水效果：补水效果可以，用完感觉皮肤很滋润贴合效果：很贴合,,,【收缩毛孔】毛孔紧致黑面膜,2021-04-25 08:32,2022-04-23 20:04:40.208,
巧***8,,"<div class=""comment-star star5""></div>",一直在用美迪惠尔的水库面膜，之前用过黑面膜还不错，这次趁活动囤了四盒，超级划算，这个黑面膜跟之前买的有点区别，如果好用的话后面会继续回购。。,,,【收缩毛孔】毛孔紧致黑面膜,2021-06-27 23:09,2022-04-23 20:04:40.255,
